rank,feature_index,feature,coef_std,abscoef_std,cluster_root,cluster_size
1,201,so W60p0 EOF2 lag0,-0.0977127200585765,0.0977127200585765,201,1
2,38,thetao W60p0 EOF9 lag3,0.0904527631161114,0.0904527631161114,38,1
3,84,thetao W30p0 EOF5 lag0,-0.0830639067170292,0.0830639067170292,84,1
4,163,thetao W10p0 EOF4 lag0,-0.0819579552491661,0.0819579552491661,163,1
5,0,thetao W60p0 EOF1 lag0,-0.0671068646484788,0.0671068646484788,0,8
6,28,thetao W60p0 EOF9 lag2,0.0666622864003801,0.0666622864003801,28,1
7,298,so W30p0 EOF9 lag1,-0.0654358565733436,0.0654358565733436,298,1
8,228,so W60p0 EOF9 lag2,0.0651934417747003,0.0651934417747003,228,1
9,384,so W10p0 EOF5 lag2,-0.0611199148464895,0.0611199148464895,384,1
10,209,so W60p0 EOF10 lag0,-0.0610807624027857,0.0610807624027857,209,1
11,33,thetao W60p0 EOF4 lag3,-0.0599487314633935,0.0599487314633935,33,1
12,162,thetao W10p0 EOF3 lag0,-0.0593568097994319,0.0593568097994319,162,1
13,122,thetao W20p0 EOF3 lag0,-0.0585955563148153,0.0585955563148153,122,1
14,156,thetao W20p0 EOF7 lag3,0.057518958687547,0.057518958687547,156,1
15,229,so W60p0 EOF10 lag2,-0.0572775975550165,0.0572775975550165,229,1
16,150,thetao W20p0 EOF1 lag3,0.0569250903910665,0.0569250903910665,150,1
17,114,thetao W30p0 EOF5 lag3,-0.0554637123915116,0.0554637123915116,114,1
18,85,thetao W30p0 EOF6 lag0,0.0552516670195483,0.0552516670195483,85,1
19,11,thetao W60p0 EOF2 lag1,0.0543223707550296,0.0543223707550296,11,1
20,231,so W60p0 EOF2 lag3,-0.0533313924880359,0.0533313924880359,231,1
21,187,thetao W10p0 EOF8 lag2,0.0531057328107043,0.0531057328107043,187,1
22,161,thetao W10p0 EOF2 lag0,-0.0524431698773801,0.0524431698773801,161,1
23,36,thetao W60p0 EOF7 lag3,0.0520283937389754,0.0520283937389754,36,1
24,397,so W10p0 EOF8 lag3,0.051328849473886,0.051328849473886,397,1
25,351,so W20p0 EOF2 lag3,-0.0511803847831588,0.0511803847831588,351,1
26,146,thetao W20p0 EOF7 lag2,0.0498767883016003,0.0498767883016003,146,1
27,277,so W40p0 EOF8 lag3,0.04807626398588,0.04807626398588,277,1
28,168,thetao W10p0 EOF9 lag0,0.0480423339742828,0.0480423339742828,168,1
29,112,thetao W30p0 EOF3 lag3,0.0474947555255842,0.0474947555255842,112,1
30,208,so W60p0 EOF9 lag0,0.0473595743618841,0.0473595743618841,208,1
31,94,thetao W30p0 EOF5 lag1,-0.047296308547443,0.047296308547443,94,1
32,104,thetao W30p0 EOF5 lag2,-0.047293105874704,0.047293105874704,104,1
33,212,so W60p0 EOF3 lag1,-0.0469691189209594,0.0469691189209594,212,1
34,45,thetao W40p0 EOF6 lag0,-0.0460763291170211,0.0460763291170211,45,1
35,394,so W10p0 EOF5 lag3,-0.0454999235751157,0.0454999235751157,394,1
