repeat,n_holdout_members,K,A_trainYears_r2,A_trainYears_corr,A_trainYears_var,B_testYears_r2,B_testYears_corr,B_testYears_var,C_allYears_r2,C_allYears_corr,C_allYears_var
0,2,35,0.14688598637621308,0.4171651548019756,0.2513703857590297,0.23570616185709048,0.7695060852022017,0.14278493796324723,0.20969574194262508,0.5043019558816744,0.2113899501141229
1,2,35,0.24378591161216845,0.5033622780068728,0.18730439571482752,-0.11364803278133384,0.7701919995498082,0.2406807606653586,0.26104774758373184,0.5334676919150152,0.17572962661975397
2,2,35,0.2583956320497379,0.5133680444143306,0.2600365766122355,0.039137877289420975,0.5258205105361335,0.27023713542089506,0.23134215854065765,0.5052925531835978,0.25412892368049383
3,2,35,0.14688598637621308,0.4171651548019756,0.2513703857590297,0.23570616185709048,0.7695060852022017,0.14278493796324723,0.20969574194262508,0.5043019558816744,0.2113899501141229
4,2,35,0.07908571115358964,0.30454484321196174,0.1772580427878644,0.0980562845641002,0.7351748664471601,0.15715638730311485,0.1875704862442248,0.4496377951856136,0.15926594995509782
5,2,35,0.16607276719124053,0.4500236510739136,0.23285981968229064,-0.07493246169940226,0.6059685824522147,0.20724818835957057,0.15022378412443538,0.47544599196638554,0.21651863924561154
6,2,35,0.2731497491521958,0.5466205156500236,0.21253979206518298,-0.09001441987445413,0.5490114140624921,0.3294793007789432,0.2327673023806508,0.5347342991894607,0.22639977669780176
7,2,35,0.14688598637621308,0.4171651548019756,0.2513703857590297,0.23570616185709048,0.7695060852022017,0.14278493796324723,0.20969574194262508,0.5043019558816744,0.2113899501141229
8,2,35,0.25959834504801416,0.5149809359902404,0.19587078795854654,0.17817605876038767,0.6799940893679025,0.39049730935403104,0.29880137113267935,0.5650568527606751,0.2203777505373308
9,2,35,0.2444506458290171,0.4993127362604443,0.3198990100191193,0.33070947040119136,0.7203067020154174,0.15892847410089478,0.29376727077566167,0.5495491204895984,0.263521813525365
10,2,35,0.21015058237918316,0.45869638162066567,0.2237562498983728,-0.01935353723663602,0.5828160596101528,0.15786597744226388,0.19587866164800016,0.45479374200484934,0.20157435811723584
11,2,35,0.2444506458290171,0.4993127362604443,0.3198990100191193,0.33070947040119136,0.7203067020154174,0.15892847410089478,0.29376727077566167,0.5495491204895984,0.263521813525365
12,2,35,0.19038703956083003,0.4621264490998741,0.2643185992518705,-0.047331048562783806,0.6244192409902088,0.20653835885732488,0.2167616575382435,0.4664083685801001,0.22336847267249785
13,2,35,0.18226549688503457,0.4292093898871216,0.15506889650712768,0.21553278188621172,0.761182447391723,0.19929690930070568,0.2851181503341177,0.5658885854435537,0.15900583640814273
14,2,35,0.13634734100374368,0.3829939948935243,0.17877060719331106,-0.2703651807297749,0.6188155362625589,0.3878535180895262,0.13504494525065747,0.37762647022733264,0.19970060720937505
15,2,35,0.16226377224732225,0.42006864055629467,0.13252559927244362,0.08418874664867848,0.7851757580978164,0.3242506279801375,0.21136991225396962,0.5176489857392297,0.15838983725331415
16,2,35,0.14794114975056216,0.39244984341525946,0.21747223271659827,-0.20172879196892346,0.7334116667486177,0.18843833613146346,0.17359537931225455,0.43930385615030393,0.18568817239280036
17,2,35,0.18226549688503457,0.4292093898871216,0.15506889650712768,0.21553278188621172,0.761182447391723,0.19929690930070568,0.2851181503341177,0.5658885854435537,0.15900583640814273
18,2,35,0.2832759218478682,0.5650551505772552,0.3455966141954186,0.09679569149073175,0.5125527735361844,0.1192693125985827,0.23757631467385798,0.5381899040260233,0.2702276048110163
19,2,35,0.16607276719124053,0.4500236510739136,0.23285981968229064,-0.07493246169940226,0.6059685824522147,0.20724818835957057,0.15022378412443538,0.47544599196638554,0.21651863924561154
20,2,35,0.14688598637621308,0.4171651548019756,0.2513703857590297,0.23570616185709048,0.7695060852022017,0.14278493796324723,0.20969574194262508,0.5043019558816744,0.2113899501141229
21,2,35,0.25959834504801416,0.5149809359902404,0.19587078795854654,0.17817605876038767,0.6799940893679025,0.39049730935403104,0.29880137113267935,0.5650568527606751,0.2203777505373308
22,2,35,0.26180660765730424,0.5267699984950783,0.19350169531889266,0.245535322057023,0.6747704067372561,0.19074327813815548,0.2859969769002457,0.5734817406538341,0.18770119395202667
23,2,35,0.18226549688503457,0.4292093898871216,0.15506889650712768,0.21553278188621172,0.761182447391723,0.19929690930070568,0.2851181503341177,0.5658885854435537,0.15900583640814273
24,2,35,0.18226549688503457,0.4292093898871216,0.15506889650712768,0.21553278188621172,0.761182447391723,0.19929690930070568,0.2851181503341177,0.5658885854435537,0.15900583640814273
25,2,35,0.1865929167136029,0.44329207374374924,0.2530594568176984,0.17369389406469904,0.5386993764585641,0.3455655287908178,0.22976917704885436,0.48036160321788723,0.2617375525322917
26,2,35,0.18226549688503457,0.4292093898871216,0.15506889650712768,0.21553278188621172,0.761182447391723,0.19929690930070568,0.2851181503341177,0.5658885854435537,0.15900583640814273
27,2,35,0.2527078491116179,0.5144655394992907,0.1806781958123598,-0.08541198020681073,0.7154820724193174,0.2841078446963548,0.273063641350076,0.5436209176122018,0.18019624128222408
28,2,35,0.16226377224732225,0.42006864055629467,0.13252559927244362,0.08418874664867848,0.7851757580978164,0.3242506279801375,0.21136991225396962,0.5176489857392297,0.15838983725331415
29,2,35,0.28777518899675725,0.5531969994440483,0.2257238974503541,0.3113809596987267,0.7874297975157145,0.17459952700679582,0.3253152276558098,0.6199294973342774,0.2038408672252454
