K,r2,corr,var_ratio
1,-0.31548522275724755,-0.14656313175287586,0.00010276739006443636
2,-0.10914443759776327,0.47244414191755596,0.01494666771649742
3,0.19354251451328464,0.566142835289915,0.0875778458427289
5,0.09473353535189055,0.5814786632665847,0.15948010198404416
8,-0.026091895342747362,0.5397276881161251,0.1390569493649634
10,0.0255782752187802,0.5541737458455533,0.16036390078115229
12,-0.06381454849485357,0.5396040104173923,0.1396888115864228
15,-0.16182613077878627,0.5185352636129508,0.12179906969568792
20,0.2384810581504806,0.5841132616139153,0.24804114684833578
25,0.27629692551504137,0.5986257494819869,0.3617686286946947
30,0.2820491710586843,0.6039203013219654,0.3808797416268016
35,0.29925085012444996,0.616845969072435,0.4035134587352141
40,0.28852545898307436,0.6175057592586447,0.40898021110842014
45,0.29372549221563726,0.6352972188894609,0.39783702225185175
50,0.15609768007845304,0.6255930531107367,0.3462169123831838
60,0.1550373838992638,0.6104657731036537,0.36573771085963314
80,0.10931963696909064,0.6110452583887742,0.3556755459173464
120,0.18094859448222567,0.6044051313414094,0.41461764276502167
160,0.17154928941483327,0.6052639299778019,0.4173156238065502
200,0.16825216875584592,0.6072409283835128,0.43283914895307307
300,0.16475411778448312,0.6049472441538042,0.4361708849296966
376,0.16307549999539472,0.605170476924457,0.4352645154531453
