rank,feature_index,feature,coef_std,abscoef_std,cluster_root,cluster_size
1,210,so W60p0 EOF1 lag1,0.2025781223496891,0.2025781223496891,210,1
2,84,thetao W30p0 EOF5 lag0,0.1765545635594201,0.1765545635594201,84,1
3,261,so W40p0 EOF2 lag2,-0.1671994515265394,0.1671994515265394,261,1
4,48,thetao W40p0 EOF9 lag0,0.1640599938183698,0.1640599938183698,48,1
5,163,thetao W10p0 EOF4 lag0,-0.1579051888317551,0.1579051888317551,163,1
6,200,so W60p0 EOF1 lag0,0.1570456360200428,0.1570456360200428,200,1
7,209,so W60p0 EOF10 lag0,-0.1508766435236661,0.1508766435236661,209,1
8,251,so W40p0 EOF2 lag1,-0.1508275435952709,0.1508275435952709,251,1
9,71,thetao W40p0 EOF2 lag3,-0.1413682132719445,0.1413682132719445,71,1
10,246,so W40p0 EOF7 lag0,-0.1367523432581879,0.1367523432581879,246,1
11,83,thetao W30p0 EOF4 lag0,0.1364952713584438,0.1364952713584438,83,1
12,45,thetao W40p0 EOF6 lag0,0.1254399834783435,0.1254399834783435,45,1
13,61,thetao W40p0 EOF2 lag2,-0.1253557495509795,0.1253557495509795,61,1
14,51,thetao W40p0 EOF2 lag1,-0.1220660584043972,0.1220660584043972,51,1
15,271,so W40p0 EOF2 lag3,-0.1144912998316723,0.1144912998316723,271,1
16,201,so W60p0 EOF2 lag0,0.1126052701160741,0.1126052701160741,201,1
17,162,thetao W10p0 EOF3 lag0,-0.0952092980793127,0.0952092980793127,162,1
18,240,so W40p0 EOF1 lag0,0.0942732798091558,0.0942732798091558,40,2
19,242,so W40p0 EOF3 lag0,0.0931197289643383,0.0931197289643383,242,1
20,208,so W60p0 EOF9 lag0,-0.0919741403374617,0.0919741403374617,208,1
21,94,thetao W30p0 EOF5 lag1,0.0889246187628557,0.0889246187628557,94,1
22,55,thetao W40p0 EOF6 lag1,0.0883489776833467,0.0883489776833467,55,1
23,90,thetao W30p0 EOF1 lag1,-0.0881877325300215,0.0881877325300215,90,1
24,290,so W30p0 EOF1 lag1,-0.0877654785336168,0.0877654785336168,290,1
25,211,so W60p0 EOF2 lag1,-0.0862530976336997,0.0862530976336997,211,1
26,100,thetao W30p0 EOF1 lag2,-0.0820664340498796,0.0820664340498796,100,1
27,371,so W10p0 EOF2 lag1,-0.0803483985146136,0.0803483985146136,361,4
28,62,thetao W40p0 EOF3 lag2,0.0794272597862214,0.0794272597862214,62,1
29,32,thetao W60p0 EOF3 lag3,-0.0782350328022398,0.0782350328022398,32,1
30,103,thetao W30p0 EOF4 lag2,0.0730331543829047,0.0730331543829047,103,1
31,213,so W60p0 EOF4 lag1,0.0717916683976567,0.0717916683976567,213,1
32,278,so W40p0 EOF9 lag3,-0.0682188810921145,0.0682188810921145,278,1
33,244,so W40p0 EOF5 lag0,-0.067252025945268,0.067252025945268,244,1
34,93,thetao W30p0 EOF4 lag1,0.0671150297108311,0.0671150297108311,93,1
35,329,so W20p0 EOF10 lag0,0.0668478429827689,0.0668478429827689,329,1
