rank,feature_index,feature,coef_std,abscoef_std,cluster_root,cluster_size
1,210,so W60p0 EOF1 lag1,0.20257812234968917,0.20257812234968917,210,1
2,84,thetao W30p0 EOF5 lag0,0.17655456355942017,0.17655456355942017,84,1
3,261,so W40p0 EOF2 lag2,-0.1671994515265394,0.1671994515265394,261,1
4,48,thetao W40p0 EOF9 lag0,0.16405999381836983,0.16405999381836983,48,1
5,163,thetao W10p0 EOF4 lag0,-0.15790518883175517,0.15790518883175517,163,1
6,200,so W60p0 EOF1 lag0,0.1570456360200428,0.1570456360200428,200,1
7,209,so W60p0 EOF10 lag0,-0.15087664352366614,0.15087664352366614,209,1
8,251,so W40p0 EOF2 lag1,-0.1508275435952709,0.1508275435952709,251,1
9,71,thetao W40p0 EOF2 lag3,-0.14136821327194452,0.14136821327194452,71,1
10,246,so W40p0 EOF7 lag0,-0.13675234325818791,0.13675234325818791,246,1
11,83,thetao W30p0 EOF4 lag0,0.13649527135844386,0.13649527135844386,83,1
12,45,thetao W40p0 EOF6 lag0,0.1254399834783435,0.1254399834783435,45,1
13,61,thetao W40p0 EOF2 lag2,-0.12535574955097956,0.12535574955097956,61,1
14,51,thetao W40p0 EOF2 lag1,-0.12206605840439728,0.12206605840439728,51,1
15,271,so W40p0 EOF2 lag3,-0.11449129983167233,0.11449129983167233,271,1
16,201,so W60p0 EOF2 lag0,0.11260527011607419,0.11260527011607419,201,1
17,162,thetao W10p0 EOF3 lag0,-0.09520929807931273,0.09520929807931273,162,1
18,240,so W40p0 EOF1 lag0,0.09427327980915583,0.09427327980915583,40,2
19,242,so W40p0 EOF3 lag0,0.0931197289643383,0.0931197289643383,242,1
20,208,so W60p0 EOF9 lag0,-0.09197414033746174,0.09197414033746174,208,1
21,94,thetao W30p0 EOF5 lag1,0.08892461876285575,0.08892461876285575,94,1
22,55,thetao W40p0 EOF6 lag1,0.08834897768334671,0.08834897768334671,55,1
23,90,thetao W30p0 EOF1 lag1,-0.08818773253002159,0.08818773253002159,90,1
24,290,so W30p0 EOF1 lag1,-0.08776547853361687,0.08776547853361687,290,1
25,211,so W60p0 EOF2 lag1,-0.08625309763369979,0.08625309763369979,211,1
26,100,thetao W30p0 EOF1 lag2,-0.08206643404987964,0.08206643404987964,100,1
27,371,so W10p0 EOF2 lag1,-0.08034839851461362,0.08034839851461362,361,4
28,62,thetao W40p0 EOF3 lag2,0.07942725978622149,0.07942725978622149,62,1
29,32,thetao W60p0 EOF3 lag3,-0.07823503280223981,0.07823503280223981,32,1
30,103,thetao W30p0 EOF4 lag2,0.0730331543829047,0.0730331543829047,103,1
31,213,so W60p0 EOF4 lag1,0.0717916683976567,0.0717916683976567,213,1
32,278,so W40p0 EOF9 lag3,-0.06821888109211453,0.06821888109211453,278,1
33,244,so W40p0 EOF5 lag0,-0.06725202594526802,0.06725202594526802,244,1
34,93,thetao W30p0 EOF4 lag1,0.06711502971083119,0.06711502971083119,93,1
35,329,so W20p0 EOF10 lag0,0.0668478429827689,0.0668478429827689,329,1
36,8,thetao W60p0 EOF9 lag0,0.0655904508602136,0.0655904508602136,8,1
37,142,thetao W20p0 EOF3 lag2,0.06525694971545123,0.06525694971545123,142,1
38,294,so W30p0 EOF5 lag1,0.06522014931794455,0.06522014931794455,294,1
39,166,thetao W10p0 EOF7 lag0,0.06495305603241759,0.06495305603241759,166,1
40,80,thetao W30p0 EOF1 lag0,0.06439126284209684,0.06439126284209684,80,1
41,268,so W40p0 EOF9 lag2,-0.06420872047854272,0.06420872047854272,268,1
42,310,so W30p0 EOF1 lag3,-0.06418431995647944,0.06418431995647944,310,1
43,327,so W20p0 EOF8 lag0,-0.06380874048418683,0.06380874048418683,327,1
44,282,so W30p0 EOF3 lag0,-0.06373343181372305,0.06373343181372305,282,1
45,218,so W60p0 EOF9 lag1,-0.06335039827841979,0.06335039827841979,218,1
46,104,thetao W30p0 EOF5 lag2,0.062180228472139575,0.062180228472139575,104,1
47,364,so W10p0 EOF5 lag0,0.061376664719406816,0.061376664719406816,364,1
48,248,so W40p0 EOF9 lag0,0.061229821504431146,0.061229821504431146,248,1
49,300,so W30p0 EOF1 lag2,-0.06116974225489623,0.06116974225489623,300,1
50,110,thetao W30p0 EOF1 lag3,-0.05998141453006158,0.05998141453006158,110,1
51,256,so W40p0 EOF7 lag1,-0.05914648376567429,0.05914648376567429,256,1
52,134,thetao W20p0 EOF5 lag1,-0.05889748207579893,0.05889748207579893,134,1
53,298,so W30p0 EOF9 lag1,0.0585079072789258,0.0585079072789258,298,1
54,365,so W10p0 EOF6 lag0,-0.05791324315079862,0.05791324315079862,365,1
55,158,thetao W20p0 EOF9 lag3,0.056996759717425106,0.056996759717425106,158,1
56,219,so W60p0 EOF10 lag1,-0.05682937828193146,0.05682937828193146,219,1
57,281,so W30p0 EOF2 lag0,-0.05604294009667885,0.05604294009667885,281,1
58,286,so W30p0 EOF7 lag0,-0.055610387844255336,0.055610387844255336,286,1
59,72,thetao W40p0 EOF3 lag3,0.05557540056055011,0.05557540056055011,72,1
60,121,thetao W20p0 EOF2 lag0,0.05546194534254092,0.05546194534254092,121,1
61,22,thetao W60p0 EOF3 lag2,-0.05481357404848475,0.05481357404848475,22,1
62,180,thetao W10p0 EOF1 lag2,-0.05408185374190444,0.05408185374190444,180,1
63,231,so W60p0 EOF2 lag3,0.05404586613585003,0.05404586613585003,231,1
64,28,thetao W60p0 EOF9 lag2,0.053690877682996616,0.053690877682996616,28,1
65,164,thetao W10p0 EOF5 lag0,-0.053263919218338916,0.053263919218338916,164,1
66,325,so W20p0 EOF6 lag0,-0.053079853950917806,0.053079853950917806,325,1
67,229,so W60p0 EOF10 lag2,-0.053032092316811025,0.053032092316811025,229,1
68,220,so W60p0 EOF1 lag2,0.052335884854699206,0.052335884854699206,220,1
69,238,so W60p0 EOF9 lag3,-0.0522481947310335,0.0522481947310335,238,1
70,124,thetao W20p0 EOF5 lag0,0.05202095778826113,0.05202095778826113,124,1
71,312,so W30p0 EOF3 lag3,0.051632162920401466,0.051632162920401466,312,1
72,274,so W40p0 EOF5 lag3,0.05152423624186192,0.05152423624186192,274,1
73,128,thetao W20p0 EOF9 lag0,0.051064487595192616,0.051064487595192616,128,1
74,301,so W30p0 EOF2 lag2,0.050621045158855994,0.050621045158855994,301,1
75,43,thetao W40p0 EOF4 lag0,-0.05050769409780797,0.05050769409780797,43,1
76,207,so W60p0 EOF8 lag0,0.049816101188617505,0.049816101188617505,207,1
77,308,so W30p0 EOF9 lag2,0.04935905502239373,0.04935905502239373,308,1
78,370,so W10p0 EOF1 lag1,-0.04916586600102063,0.04916586600102063,360,4
79,152,thetao W20p0 EOF3 lag3,0.0491495555359722,0.0491495555359722,152,1
80,296,so W30p0 EOF7 lag1,0.04897269690645275,0.04897269690645275,296,1
81,297,so W30p0 EOF8 lag1,0.04873621536159487,0.04873621536159487,297,1
82,119,thetao W30p0 EOF10 lag3,-0.048682015981403585,0.048682015981403585,119,1
83,187,thetao W10p0 EOF8 lag2,0.04772805214285477,0.04772805214285477,187,1
84,21,thetao W60p0 EOF2 lag2,-0.04769940752342633,0.04769940752342633,21,1
85,269,so W40p0 EOF10 lag2,0.04731236639646675,0.04731236639646675,269,1
