K,r2,corr,var_ratio
1,-0.10564101133754544,0.35859104245891504,0.21338800419138115
2,0.01799092010754988,0.40283159755704934,0.22507371382872088
3,0.09164668785517305,0.49061920366755196,0.2676195238006181
5,0.07848948052062066,0.5254612529739783,0.2767410806003086
8,0.2890237032060414,0.5945012692940906,0.34857584176914397
10,0.25288091656930833,0.686475207808342,0.42471598518060855
12,0.5155938618321171,0.7275751842060729,0.5460332101380541
15,0.5080947817026366,0.7544974029017789,0.6189658774105776
20,0.5754767956172598,0.7932479587612277,0.6741402502525125
25,0.6224885115309515,0.8024855924841162,0.7038702887423256
30,0.6215031034258414,0.8036561703814576,0.7310935189414296
35,0.6580746230206103,0.8171057879776995,0.7663744474118743
40,0.6765465837229427,0.8290586923426752,0.7830304945713612
45,0.6831022040176586,0.8331384223239329,0.8057555100204034
50,0.6966911439362673,0.8385591695698688,0.818178642008087
60,0.7079627699031263,0.8449022530000384,0.8476502116950069
80,0.7245245416643544,0.8541566559385598,0.8547508428470431
120,0.739968903435713,0.8631106241595644,0.870775614206255
160,0.754383114570522,0.8707992025570562,0.8675062367755455
200,0.7584114240124659,0.8732476308104697,0.8789002834441196
300,0.7581329242956467,0.8733674937513886,0.8788468681863815
386,0.7584351385389905,0.8735834233432274,0.876260946329774
