n_features,maxlag_used,overall_r2,overall_corr,delta_r2,calib_a,calib_b,n_train_used,n_test_used,last_added_feature
1,1,0.2803689175715278,0.7097453085668122,,1.3597122302158269,-4.496584930230381,139,25,so W60p0 EOF1 lag1
2,2,0.31192441093221224,0.7233608253515486,0.03155549336068442,1.187097777884037,-2.3393425133728134,138,25,so W60p0 EOF1 lag2
3,8,0.5136343856852659,0.7860869844555152,0.20170997475305363,1.1458561604397248,-1.8252308147757592,132,25,so W60p0 EOF1 lag8
4,8,0.5308620676485849,0.7885296611221163,0.01722768196331903,1.109302864050826,-1.3678061660704215,132,25,so W60p0 EOF1 lag6
5,16,0.7196051161410704,0.8504163774587136,0.18874304849248547,1.097694958305031,-1.2226568231931287,124,25,thetao W10p0 EOF2 lag16
6,16,0.7271073972737859,0.8528333240400588,0.00750228113271556,1.08231039384891,-1.0301183029820715,124,25,thetao W10p0 EOF2 lag15
7,16,0.6913096309607838,0.8365600713425368,-0.03579776631300213,1.0789754304944348,-0.9883810857173208,124,25,so W40p0 EOF3 lag0
8,16,0.7063653513410848,0.844231726082063,0.015055720380301008,1.0710249508972494,-0.8888804738555887,124,25,so W60p0 EOF1 lag3
9,18,0.6913242550768077,0.8361965974613792,-0.015041096264277076,1.0677964086797267,-0.8488110443864677,122,25,thetao W10p0 EOF2 lag18
10,18,0.6933456676220837,0.8370661257482117,0.0020214125452759912,1.0607827066025894,-0.7609994935824368,122,25,so W60p0 EOF1 lag7
11,18,0.6838553002114941,0.8321730179129295,-0.009490367410589617,1.0573638789129811,-0.7181957705194293,122,25,so W10p0 EOF5 lag16
12,18,0.680279172409182,0.8302481047048954,-0.00357612780231209,1.0561526457223624,-0.7030311308350218,122,25,thetao W10p0 EOF2 lag17
13,18,0.6741396613694661,0.8270318504529138,-0.006139511039715884,1.0543605684904296,-0.6805943236872632,122,25,thetao W10p0 EOF2 lag14
14,19,0.6688512688407944,0.82417860871199,-0.005288392528671748,1.054713952457745,-0.6851868715980458,121,25,thetao W10p0 EOF2 lag19
15,19,0.6380183661085148,0.8089955751019436,-0.030832902732279566,1.0543035839922674,-0.6800477969665721,121,25,thetao W20p0 EOF9 lag3
16,19,0.6766655772400234,0.8301602529725991,0.038647211131508596,1.0552787276631563,-0.6922595932488996,121,25,thetao W60p0 EOF2 lag0
17,19,0.679025550724546,0.8319048566283804,0.0023599734845225484,1.0546334245900943,-0.6841784151580764,121,25,thetao W40p0 EOF3 lag0
18,19,0.6840586167054385,0.8343827323347447,0.005033065980892593,1.0525279411852135,-0.6578112908216386,121,25,so W60p0 EOF1 lag4
19,19,0.6867568242560262,0.8356669656074961,0.0026982075505876946,1.0508013735175314,-0.6361893562751416,121,25,so W60p0 EOF1 lag5
20,19,0.7169956812095556,0.8512127367592314,0.030238856953529347,1.0499313939715629,-0.6252945381039101,121,25,so W60p0 EOF1 lag0
21,19,0.7153734021389695,0.8503864214700182,-0.0016222790705860968,1.049641866751898,-0.6216687673274699,121,25,so W10p0 EOF5 lag18
22,19,0.7311724734728527,0.859244520437752,0.015799071333883252,1.0488121105949912,-0.6112776696311475,121,25,so W30p0 EOF1 lag4
23,20,0.7434921010754263,0.8657890906225371,0.012319627602573546,1.047728527701884,-0.5977492156591068,120,25,so W10p0 EOF5 lag20
