k,subset_idx,subset_features,test_r2,test_corr,overall_r2,overall_corr,calib_a,calib_b
1,3,thetao W60p0 EOF2 lag0,0.7421463020955369,0.892387333314401,0.6190455826268979,0.7883696426559363,1.4132231404958675,-2.739342052145738e-16
2,"4,6",so W60p0 EOF1 lag0 | thetao W20p0 EOF9 lag6,0.8394205019923813,0.9327017342025467,0.6905527245288866,0.8346919041347082,1.3240439459758335,-2.0430191557947063e-16
3,"0,4,6",so W60p0 EOF1 lag2 | so W60p0 EOF1 lag0 | thetao W20p0 EOF9 lag6,0.83855776141566,0.9309719146166695,0.7074347734332865,0.8443446123190362,1.2016560316760805,-1.409241525009701e-16
4,"0,4,6,7",so W60p0 EOF1 lag2 | so W60p0 EOF1 lag0 | thetao W20p0 EOF9 lag6 | thetao W60p0 EOF6 lag15,0.8536555797382588,0.9320673213989564,0.7184678816130349,0.8490799467900892,1.2035561228330067,-1.4125145637594893e-16
5,"0,4,6,7,9",so W60p0 EOF1 lag2 | so W60p0 EOF1 lag0 | thetao W20p0 EOF9 lag6 | thetao W60p0 EOF6 lag15 | so W10p0 EOF8 lag19,0.8492772439731778,0.9325164996898496,0.7176856725413683,0.8495882706469562,1.2093345659203665,-1.4127881443770775e-16
6,"3,4,6,7,8,9",thetao W60p0 EOF2 lag0 | so W60p0 EOF1 lag0 | thetao W20p0 EOF9 lag6 | thetao W60p0 EOF6 lag15 | so W10p0 EOF8 lag18 | so W10p0 EOF8 lag19,0.8461745267087243,0.9235202010509889,0.7069202182237662,0.8418149608096341,1.2097339114221415,-1.4311805573569664e-16
7,"3,4,5,6,7,8,9",thetao W60p0 EOF2 lag0 | so W60p0 EOF1 lag0 | so W30p0 EOF9 lag12 | thetao W20p0 EOF9 lag6 | thetao W60p0 EOF6 lag15 | so W10p0 EOF8 lag18 | so W10p0 EOF8 lag19,0.8261835169128394,0.9148148039639913,0.7035515981848076,0.840732006950001,1.1957552901876014,-1.2392796670985828e-16
8,"0,2,3,4,6,7,8,9",so W60p0 EOF1 lag2 | thetao W10p0 EOF2 lag16 | thetao W60p0 EOF2 lag0 | so W60p0 EOF1 lag0 | thetao W20p0 EOF9 lag6 | thetao W60p0 EOF6 lag15 | so W10p0 EOF8 lag18 | so W10p0 EOF8 lag19,0.8182403128388533,0.909667072387287,0.7202609345503002,0.8494338780701292,1.1481952048796529,-9.602192615334816e-17
9,"0,2,3,4,5,6,7,8,9",so W60p0 EOF1 lag2 | thetao W10p0 EOF2 lag16 | thetao W60p0 EOF2 lag0 | so W60p0 EOF1 lag0 | so W30p0 EOF9 lag12 | thetao W20p0 EOF9 lag6 | thetao W60p0 EOF6 lag15 | so W10p0 EOF8 lag18 | so W10p0 EOF8 lag19,0.8050837660081571,0.9045273448766529,0.7176783451145758,0.8493068554954402,1.1432908931343546,-9.30946303986881e-17
10,"0,1,2,3,4,5,6,7,8,9",so W60p0 EOF1 lag2 | so W60p0 EOF1 lag8 | thetao W10p0 EOF2 lag16 | thetao W60p0 EOF2 lag0 | so W60p0 EOF1 lag0 | so W30p0 EOF9 lag12 | thetao W20p0 EOF9 lag6 | thetao W60p0 EOF6 lag15 | so W10p0 EOF8 lag18 | so W10p0 EOF8 lag19,0.6673324724646068,0.8964667005668154,0.704929624597326,0.8634710078547999,1.1553698833635937,-9.841660954451036e-17
