N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used,gap_used,trim_val_start_by,y_transform,pc_transform
30,2,50.0,-0.3978017132935122,0.18622016765197935,0.28358925960358033,0.5812192006875,67.5,19.5,2,0,none,none,none
30,2,30.0,-0.41553686183100524,0.16982276918734873,0.26680366009488965,0.5889136728191268,67.5,19.5,2,0,none,none,none
30,2,100.0,-0.42307762545550087,0.18861221753750046,0.3091166869595532,0.5688436583221237,67.5,19.5,2,0,none,none,none
20,2,20.0,-0.4379131444379697,0.06985837623536695,0.27811424808531354,0.5715685065363572,46.0,19.5,2,0,none,none,none
20,2,30.0,-0.4531236966737219,0.1082470931516516,0.2856766882979118,0.582399971495901,46.0,19.5,2,0,none,none,none
30,2,20.0,-0.4551298881773125,0.15274613288810834,0.2537963729901641,0.594804953424374,67.5,19.5,2,0,none,none,none
20,1,20.0,-0.468599954779797,0.0699124835126208,0.2995237448832015,0.5483189754793358,33.5,19.0,2,0,none,none,none
20,1,10.0,-0.4796574309604874,0.05194906115741238,0.2918025404896224,0.5263597759646295,33.5,19.0,2,0,none,none,none
30,1,50.0,-0.4948574847971342,0.1960265932436175,0.2727981064882193,0.6059277622722109,50.0,19.0,2,0,none,none,none
20,1,30.0,-0.5021861692436481,0.09054634853431909,0.30281899691963843,0.5568525052634803,33.5,19.0,2,0,none,none,none
30,1,100.0,-0.5022106053468071,0.18546767837611433,0.2923187339340435,0.5787796368283608,50.0,19.0,2,0,none,none,none
20,2,50.0,-0.5035709052070892,0.1478013931278851,0.2939438114206911,0.5905274681636121,46.0,19.5,2,0,none,none,none
20,2,10.0,-0.5117621316743903,0.03207681250822603,0.2597264572411991,0.5501485322471283,46.0,19.5,2,0,none,none,none
15,1,50.0,-0.5136811190690443,0.05904880891011188,0.23786081146347904,0.5560995582691132,27.0,13.5,2,0,none,none,none
15,1,30.0,-0.5146940366676888,0.033262322826102975,0.24057091078121856,0.5682124059897636,27.0,13.5,2,0,none,none,none
30,1,30.0,-0.5292314589624766,0.19052546032311846,0.2643937130401248,0.6283170759149179,50.0,19.0,2,0,none,none,none
30,0,50.0,-0.5308100588076724,0.024677694034135,0.3224192981766021,0.5502958835130604,30.0,18.5,2,0,none,none,none
15,1,100.0,-0.5360294431905149,0.10692647405549949,0.23964099451677706,0.534048056904365,27.0,13.5,2,0,none,none,none
15,1,20.0,-0.5386467692378348,0.008030351557382631,0.24314789938266235,0.5749846182913655,27.0,13.5,2,0,none,none,none
15,2,100.0,-0.54261807914787,0.09681145966345583,0.24703284404793519,0.5970539836681186,37.5,14.0,2,0,none,none,none
30,0,30.0,-0.5477074710546688,0.030450086252973296,0.30638354134469126,0.5639793457989319,30.0,18.5,2,0,none,none,none
15,2,50.0,-0.5541513969828487,0.19087471176558712,0.2494715101359069,0.6313313885944195,37.5,14.0,2,0,none,none,none
30,0,100.0,-0.5596542912977742,0.06881738306478136,0.34437064423165364,0.5403165412926522,30.0,18.5,2,0,none,none,none
15,0,100.0,-0.5604276228843,0.2753012721708511,0.26543476171576696,0.4990295791716356,15.0,13.0,2,0,none,none,none
30,2,10.0,-0.5620990804620342,0.1044499829958424,0.22604741152029362,0.6063496616994462,67.5,19.5,2,0,none,none,none
20,1,50.0,-0.5660511268399578,0.1075328155775016,0.30631360688568643,0.5622014349459841,33.5,19.0,2,0,none,none,none
15,0,50.0,-0.5737767410288979,0.2022220042119549,0.2659771323828613,0.5179298807967644,15.0,13.0,2,0,none,none,none
30,1,20.0,-0.5935638599510024,0.19298698063904307,0.26031064848187757,0.6505715453380037,50.0,19.0,2,0,none,none,none
20,2,100.0,-0.5952830247878261,0.17088886193272745,0.30586526208732967,0.5903723054457599,46.0,19.5,2,0,none,none,none
30,0,20.0,-0.5973488002563737,0.07824718556286447,0.2970336415125897,0.5808058160604899,30.0,18.5,2,0,none,none,none
15,2,30.0,-0.6120121502838708,0.2691979793623823,0.25318646919221166,0.6499702024549306,37.5,14.0,2,0,none,none,none
15,0,30.0,-0.6162897547132266,0.14824584806894225,0.26641005250525807,0.5316548525986272,15.0,13.0,2,0,none,none,none
20,0,20.0,-0.6568764219212974,0.10589625528367741,0.32794110236450635,0.4787021401675242,20.0,18.5,2,0,none,none,none
20,1,100.0,-0.6685021022066728,0.10791567184840112,0.31074231363108296,0.5618369454204033,33.5,19.0,2,0,none,none,none
15,1,10.0,-0.6707393478849009,0.09808817472178122,0.24437430209892963,0.5828066033377299,27.0,13.5,2,0,none,none,none
20,0,30.0,-0.6739747574687073,0.07636321573226501,0.33442420309612314,0.49190482128070234,20.0,18.5,2,0,none,none,none
15,0,20.0,-0.6762202479679996,0.10085858525665603,0.2673609931345531,0.5401089972523072,15.0,13.0,2,0,none,none,none
20,0,10.0,-0.6947933380114212,0.12964317270044623,0.31783067967739476,0.46219354273739327,20.0,18.5,2,0,none,none,none
15,2,20.0,-0.7118843823721458,0.3589720114253546,0.2544481543520714,0.6602174906538076,37.5,14.0,2,0,none,none,none
20,0,50.0,-0.7226271941389455,0.04078238748423768,0.33749543530225945,0.5097456752907239,20.0,18.5,2,0,none,none,none
30,2,1.0,-0.759026867911682,0.3809206446818806,0.0947466875063589,0.671783828582601,67.5,19.5,2,0,none,none,none
3,1,0.01,-0.7732923635419238,0.5525055929951277,0.09166104851988505,0.5005076295524103,8.0,3.5,2,0,none,none,none
3,1,0.1,-0.7744098655182268,0.5510784717059534,0.09151300629836946,0.49959171157837867,8.0,3.5,2,0,none,none,none
3,1,1.0,-0.7841973018286124,0.5383578911330853,0.09005993674517415,0.49172338251355474,8.0,3.5,2,0,none,none,none
30,0,10.0,-0.7933726268316522,0.10931234413570834,0.2875498318323563,0.6278531379394185,30.0,18.5,2,0,none,none,none
20,0,100.0,-0.8142049400426088,0.008308184843251576,0.3292197129882827,0.5322603117696185,20.0,18.5,2,0,none,none,none
2,1,0.01,-0.8166715785860522,0.5775491694396605,0.08938872700728084,0.5022028639846192,6.0,3.5,2,0,none,none,none
2,1,0.1,-0.8192967514892585,0.5755621677293575,0.08876596111478918,0.5015550409603935,6.0,3.5,2,0,none,none,none
30,1,10.0,-0.8231779160359164,0.26776584299278905,0.25182171809946075,0.7114410374596849,50.0,19.0,2,0,none,none,none
3,1,10.0,-0.8264564756310809,0.4770978742943536,0.08137709155771806,0.4580718603928884,8.0,3.5,2,0,none,none,none
2,1,1.0,-0.8418763547664003,0.5587088148348447,0.08321256190366533,0.49609340099084254,6.0,3.5,2,0,none,none,none
10,0,100.0,-0.8447312772491994,0.28991367981263505,0.18316113930596306,0.5320616936115236,10.0,12.5,2,0,none,none,none
3,1,20.0,-0.8447399147599399,0.44862590760844023,0.07734260364428,0.44462521855280446,8.0,3.5,2,0,none,none,none
15,0,10.0,-0.8511247323067872,0.020188662594614604,0.27012027591580107,0.5474462027137033,15.0,13.0,2,0,none,none,none
3,1,30.0,-0.8553727553528101,0.4322989121370626,0.07530188425654241,0.43763581177095867,8.0,3.5,2,0,none,none,none
3,0,100.0,-0.8661836831257825,0.36326336903391176,0.12180070969789766,0.4510798142431984,3.0,2.5,2,0,none,none,none
3,1,50.0,-0.8676083784323616,0.41389966815435164,0.07343177110035809,0.43042880988657767,8.0,3.5,2,0,none,none,none
3,2,10.0,-0.8703338396796264,0.6390051700291991,0.03267121454552034,0.44067749793293787,12.0,4.5,2,0,none,none,none
5,2,10.0,-0.8785217091427311,0.6308173005660944,0.03728329266225554,0.4406991429033149,13.0,4.5,2,0,none,none,none
3,1,100.0,-0.8806018840489124,0.39468204457469314,0.07221729961889259,0.4237071423588965,8.0,3.5,2,0,none,none,none
3,2,1.0,-0.8842034838978217,0.6546670607910361,-0.00875554222119472,0.4827278595727689,12.0,4.5,2,0,none,none,none
2,2,1.0,-0.889741113170347,0.5458564082879314,0.0351521982119974,0.5142703601222682,9.0,4.5,2,0,none,none,none
3,0,50.0,-0.8929507752228197,0.3938994985267671,0.11519549756698771,0.45196083900249917,3.0,2.5,2,0,none,none,none
5,0,100.0,-0.8951770850549885,0.4841622137676198,0.03628518405022571,0.4247474478458656,5.0,2.5,2,0,none,none,none
3,2,20.0,-0.8958646607304909,0.6007175629971776,0.04162721287103431,0.42392425027346237,12.0,4.5,2,0,none,none,none
2,2,0.1,-0.8959847319196482,0.5448876327568276,0.030996665161612286,0.5235899725068955,9.0,4.5,2,0,none,none,none
2,2,0.01,-0.8970804402058983,0.5446006194769923,0.03042040689199564,0.5247082335584035,9.0,4.5,2,0,none,none,none
5,2,20.0,-0.9013106702687532,0.5952715534589152,0.04725387209420641,0.4249968045032263,13.0,4.5,2,0,none,none,none
5,2,1.0,-0.9036295817200548,0.635240962968803,-0.017705215466451665,0.4779308574692219,13.0,4.5,2,0,none,none,none
3,2,0.1,-0.9061119768069107,0.6402378407443193,-0.023801488549887853,0.4933967548829745,12.0,4.5,2,0,none,none,none
3,2,0.01,-0.9094348837650018,0.6378169860578161,-0.02580269024845458,0.49472969998963734,12.0,4.5,2,0,none,none,none
3,0,30.0,-0.9159875381359937,0.4209965930540831,0.10972506930167172,0.4528176139132035,3.0,2.5,2,0,none,none,none
3,2,30.0,-0.917352923562492,0.5710795862378819,0.045025523728359135,0.4153731694792469,12.0,4.5,2,0,none,none,none
10,0,50.0,-0.9177079048274324,0.31192183168532295,0.18023170232155758,0.5472840284668341,10.0,12.5,2,0,none,none,none
5,2,30.0,-0.9203149331545337,0.5681175766458402,0.05080968388690535,0.41644691281253743,13.0,4.5,2,0,none,none,none
2,2,10.0,-0.9204844434075095,0.521262753842139,0.041114793050335635,0.4775428298776866,9.0,4.5,2,0,none,none,none
5,1,1.0,-0.9309289248366059,0.6110775067291792,0.03688877834034805,0.48483088823276815,9.5,3.5,2,0,none,none,none
5,1,0.1,-0.9318133100105336,0.6216291433311271,0.03301138624066008,0.4930988314099546,9.5,3.5,2,0,none,none,none
5,1,0.01,-0.932160841623381,0.6227565793823387,0.03245600586329868,0.4940929721350884,9.5,3.5,2,0,none,none,none
3,0,20.0,-0.9341860881563808,0.44306575308589036,0.10553540262999458,0.4535602778015214,3.0,2.5,2,0,none,none,none
2,1,10.0,-0.9349900277320903,0.4954279730105827,0.0576912284666895,0.47586987440354267,6.0,3.5,2,0,none,none,none
5,2,0.1,-0.943368360061953,0.602981457489277,-0.04554374395844522,0.4914370507916336,13.0,4.5,2,0,none,none,none
5,2,50.0,-0.9451288163479162,0.5316385004105678,0.0540631684345044,0.4073300772858809,13.0,4.5,2,0,none,none,none
5,0,50.0,-0.9456652248684455,0.5217719769788515,0.028616519214811696,0.4258185312233915,5.0,2.5,2,0,none,none,none
3,2,50.0,-0.9459121874053444,0.5308551293531396,0.04850532163805808,0.40677383549022583,12.0,4.5,2,0,none,none,none
5,1,10.0,-0.9465650298497607,0.5623075590593255,0.04159242227394103,0.45136237826055775,9.5,3.5,2,0,none,none,none
5,2,0.01,-0.9504352280288083,0.5968166417940096,-0.04980943409460536,0.49362075012298967,13.0,4.5,2,0,none,none,none
5,1,20.0,-0.9567190150368206,0.5419455132621904,0.03970695885509745,0.43792191868136665,9.5,3.5,2,0,none,none,none
