N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used,gap_used,trim_val_start_by,y_transform,pc_transform
30,0,1.0,0.24869104987056534,0.29888045239153993,0.826705481225339,0.565611738700433,30.0,5.5,2,20,maxlag,detrend,detrend
20,0,1.0,0.19078029293395737,0.18845536603623303,0.7816825951925774,0.579655223283812,20.0,5.5,2,20,maxlag,detrend,detrend
15,0,1.0,0.07031503322589061,0.47028146086755096,0.8151726832308668,0.5360639210117863,15.0,4.5,2,20,maxlag,detrend,detrend
10,0,1.0,-0.015285781735781434,0.31897112925727145,0.797971032677772,0.5452063072530224,10.0,4.0,2,20,maxlag,detrend,detrend
20,1,1.0,-0.015990813369271495,0.09823914221199587,0.7612802851754265,0.637553014757365,32.0,6.5,2,20,maxlag,detrend,detrend
30,1,1.0,-0.02037068386650881,0.15080126917495046,0.7508572340606509,0.49477618913164567,42.5,6.5,2,20,maxlag,detrend,detrend
5,0,1.0,-0.031194336335172157,0.21374622895424505,0.5980348849811739,0.4441357496521965,5.0,3.5,2,20,maxlag,detrend,detrend
15,1,1.0,-0.07026530966439787,0.6078065130345762,0.7942613514401562,0.5789341109108103,23.0,5.5,2,20,maxlag,detrend,detrend
5,1,1.0,-0.09213521307694361,0.3958205605984336,0.6185520522787044,0.526390697847742,9.5,4.5,2,20,maxlag,detrend,detrend
3,1,1.0,-0.10719152959429668,0.01675711789840073,0.4220891546847468,0.324817753682965,6.0,2.0,2,20,maxlag,detrend,detrend
1,1,1.0,-0.19287571066488662,0.055759460454150034,0.26150493745219544,0.3674583246788213,2.0,1.0,2,20,maxlag,detrend,detrend
3,0,1.0,-0.19568308334432494,0.08051141085272617,0.3646166498741312,0.2976845016461323,3.0,1.0,2,20,maxlag,detrend,detrend
2,0,1.0,-0.2056184485684006,0.06850219835766402,0.2485704770511517,0.3006538242840106,2.0,0.5,2,20,maxlag,detrend,detrend
10,1,1.0,-0.22359072347039283,0.5336287015622088,0.7491691340000595,0.5683595668076024,16.0,5.0,2,20,maxlag,detrend,detrend
2,1,1.0,-0.2237947578483378,0.048565798301969054,0.24273744192848629,0.31739689392112813,3.5,1.5,2,20,maxlag,detrend,detrend
1,0,1.0,-0.238853894849271,0.10767633199954696,0.22161324417825917,0.36793348289832783,1.0,0.0,2,20,maxlag,detrend,detrend
