var,lon,mode,lag,corr,abs_corr
thetao,W20p0,3,14,0.7266096651148266,0.7266096651148266
thetao,W20p0,3,15,0.7212741390147821,0.7212741390147821
so,W20p0,5,13,-0.7121715811640249,0.7121715811640249
thetao,W20p0,3,13,0.7077792356296084,0.7077792356296084
so,W20p0,5,12,-0.6950831714715799,0.6950831714715799
so,W20p0,5,14,-0.6948803174374897,0.6948803174374897
thetao,W20p0,3,12,0.6815126153306464,0.6815126153306464
thetao,W20p0,3,16,0.6783102657091115,0.6783102657091115
thetao,W20p0,1,0,0.6767765645844861,0.6767765645844861
so,W20p0,5,15,-0.6761097390763434,0.6761097390763434
so,W10p0,2,9,0.6648951190647043,0.6648951190647043
thetao,W20p0,3,11,0.6648940238395862,0.6648940238395862
so,W10p0,2,8,0.6639655767732087,0.6639655767732087
so,W20p0,5,9,-0.6638910828498462,0.6638910828498462
thetao,W20p0,1,1,0.6626281362422878,0.6626281362422878
so,W10p0,2,7,0.65962524441977,0.65962524441977
thetao,W20p0,1,2,0.6588451137938712,0.6588451137938712
thetao,W20p0,1,3,0.6572819841505192,0.6572819841505192
so,W10p0,2,6,0.6564099039063243,0.6564099039063243
so,W20p0,5,8,-0.6550485470113113,0.6550485470113113
so,W20p0,5,11,-0.6494674376461529,0.6494674376461529
thetao,W20p0,1,4,0.6460731881919497,0.6460731881919497
thetao,W20p0,3,10,0.6436384707076362,0.6436384707076362
so,W20p0,5,10,-0.6415537976459512,0.6415537976459512
so,W10p0,2,10,0.6413959984215052,0.6413959984215052
thetao,W10p0,1,0,0.6386282561832345,0.6386282561832345
thetao,W20p0,3,8,0.6353233566253663,0.6353233566253663
thetao,W20p0,3,9,0.6344596680208624,0.6344596680208624
so,W10p0,2,5,0.6343870405561995,0.6343870405561995
thetao,W20p0,1,5,0.6329680607743498,0.6329680607743498
so,W20p0,5,16,-0.632700762619104,0.632700762619104
thetao,W40p0,10,4,0.6291490150124843,0.6291490150124843
thetao,W10p0,1,1,0.6288308905404852,0.6288308905404852
thetao,W10p0,7,15,-0.6263659529841518,0.6263659529841518
so,W20p0,1,0,-0.6262651076319367,0.6262651076319367
thetao,W20p0,3,17,0.6251406648787607,0.6251406648787607
so,W40p0,2,6,0.6246917658593375,0.6246917658593375
so,W40p0,2,5,0.6223212814970772,0.6223212814970772
thetao,W10p0,7,14,-0.621936518887379,0.621936518887379
thetao,W10p0,7,13,-0.6217432969343355,0.6217432969343355
so,W10p0,2,4,0.6192441888858432,0.6192441888858432
so,W20p0,1,1,-0.6176929358816494,0.6176929358816494
so,W40p0,2,4,0.6165795623513672,0.6165795623513672
thetao,W20p0,1,6,0.6150954622827256,0.6150954622827256
so,W30p0,10,19,-0.6150105918996643,0.6150105918996643
thetao,W10p0,7,17,-0.6137146293901202,0.6137146293901202
thetao,W40p0,10,5,0.6129467632643771,0.6129467632643771
thetao,W10p0,1,2,0.6114694785182699,0.6114694785182699
thetao,W10p0,7,16,-0.6111027946647902,0.6111027946647902
so,W30p0,10,20,-0.6108536718173182,0.6108536718173182
so,W20p0,5,7,-0.6092626373200853,0.6092626373200853
so,W10p0,2,11,0.608971323874032,0.608971323874032
thetao,W20p0,3,7,0.6084057977323101,0.6084057977323101
thetao,W10p0,2,14,0.6073951512204897,0.6073951512204897
so,W30p0,10,18,-0.6050088054333224,0.6050088054333224
so,W20p0,1,2,-0.60470629427271,0.60470629427271
thetao,W10p0,2,15,0.6044645445690651,0.6044645445690651
thetao,W20p0,1,7,0.6043099244824293,0.6043099244824293
thetao,W40p0,10,3,0.6030359909438701,0.6030359909438701
thetao,W10p0,7,12,-0.6025466339926244,0.6025466339926244
so,W40p0,2,3,0.6016687240072515,0.6016687240072515
so,W60p0,1,0,0.5995477861723651,0.5995477861723651
thetao,W20p0,1,8,0.597713490305071,0.597713490305071
so,W10p0,2,2,0.5974776984810366,0.5974776984810366
thetao,W40p0,2,5,0.596359202949434,0.596359202949434
so,W40p0,2,7,0.5956460232448659,0.5956460232448659
thetao,W10p0,2,16,0.5954289819316407,0.5954289819316407
thetao,W40p0,10,6,0.5948031362624568,0.5948031362624568
thetao,W40p0,2,4,0.5946521797007449,0.5946521797007449
so,W10p0,2,3,0.5942949267120069,0.5942949267120069
thetao,W40p0,2,2,0.5932875673146748,0.5932875673146748
thetao,W40p0,10,2,0.592577640756365,0.592577640756365
so,W20p0,5,17,-0.5920367380493411,0.5920367380493411
thetao,W40p0,2,3,0.5918631837334165,0.5918631837334165
thetao,W10p0,1,3,0.5910543558361194,0.5910543558361194
thetao,W20p0,2,14,-0.5893885123898832,0.5893885123898832
so,W40p0,2,2,0.5879780010316101,0.5879780010316101
thetao,W10p0,7,18,-0.5871953005167182,0.5871953005167182
thetao,W40p0,10,7,0.5865936456434021,0.5865936456434021
so,W10p0,8,20,-0.5854169755085805,0.5854169755085805
thetao,W30p0,10,15,0.5849609353932667,0.5849609353932667
thetao,W40p0,2,6,0.5846795452914925,0.5846795452914925
thetao,W10p0,2,13,0.5834304758594473,0.5834304758594473
so,W10p0,2,1,0.5826682254513789,0.5826682254513789
thetao,W20p0,1,9,0.5825347206025114,0.5825347206025114
thetao,W30p0,2,18,0.5814726581894306,0.5814726581894306
thetao,W30p0,10,17,0.5813770980840379,0.5813770980840379
thetao,W30p0,2,17,0.5808675639405805,0.5808675639405805
so,W60p0,8,17,0.5796481811430163,0.5796481811430163
thetao,W30p0,10,16,0.5795732732754191,0.5795732732754191
thetao,W60p0,10,0,-0.5787298141860376,0.5787298141860376
thetao,W20p0,2,15,-0.5783340261403599,0.5783340261403599
thetao,W40p0,2,1,0.5780905519742872,0.5780905519742872
so,W60p0,8,16,0.5767997019873864,0.5767997019873864
thetao,W10p0,1,4,0.5759301118387629,0.5759301118387629
thetao,W30p0,2,16,0.5753999633759442,0.5753999633759442
so,W20p0,5,6,-0.57522491247422,0.57522491247422
thetao,W30p0,2,19,0.574887914542725,0.574887914542725
so,W30p0,10,17,-0.5740303556812568,0.5740303556812568
so,W10p0,8,19,-0.5736820671440257,0.5736820671440257
thetao,W10p0,3,9,0.5731006901947202,0.5731006901947202
thetao,W30p0,10,18,0.5717958284034887,0.5717958284034887
thetao,W10p0,3,10,0.5714989735300926,0.5714989735300926
so,W30p0,2,6,0.5706093998381021,0.5706093998381021
thetao,W40p0,10,8,0.5696484479131126,0.5696484479131126
thetao,W20p0,3,6,0.5695232640502566,0.5695232640502566
thetao,W10p0,2,17,0.568907465938756,0.568907465938756
thetao,W40p0,10,9,0.5687731826761718,0.5687731826761718
thetao,W30p0,2,15,0.5681898127442924,0.5681898127442924
thetao,W20p0,2,13,-0.565335055429792,0.565335055429792
thetao,W10p0,3,11,0.5653221044782557,0.5653221044782557
so,W10p0,1,0,-0.5649838562681412,0.5649838562681412
thetao,W40p0,2,7,0.5646420914775964,0.5646420914775964
so,W20p0,1,3,-0.5646404165498021,0.5646404165498021
so,W30p0,2,5,0.5638796386016995,0.5638796386016995
thetao,W10p0,7,19,-0.5636818342678289,0.5636818342678289
so,W60p0,8,15,0.5634545096909818,0.5634545096909818
thetao,W10p0,3,8,0.563099151542535,0.563099151542535
so,W10p0,2,12,0.562951383425424,0.562951383425424
so,W30p0,1,1,-0.5626170792574587,0.5626170792574587
so,W60p0,1,1,0.5614206719266394,0.5614206719266394
thetao,W40p0,2,0,0.5612935941355545,0.5612935941355545
thetao,W40p0,10,10,0.5603602407734515,0.5603602407734515
thetao,W20p0,1,10,0.5597802303346796,0.5597802303346796
thetao,W20p0,3,18,0.5592328304707996,0.5592328304707996
so,W30p0,1,2,-0.55882623729867,0.55882623729867
so,W30p0,2,7,0.5579934878415994,0.5579934878415994
so,W20p0,2,10,0.5574464296711849,0.5574464296711849
so,W10p0,10,0,-0.557408900929222,0.557408900929222
so,W40p0,2,1,0.5572955097743438,0.5572955097743438
thetao,W30p0,2,20,0.5569513195084099,0.5569513195084099
thetao,W10p0,1,5,0.5564697584635676,0.5564697584635676
so,W20p0,5,5,-0.5562219674620046,0.5562219674620046
so,W60p0,8,18,0.5558590383663152,0.5558590383663152
thetao,W30p0,10,14,0.555623511111709,0.555623511111709
so,W30p0,2,4,0.5553518414247376,0.5553518414247376
thetao,W30p0,2,14,0.5547073811140547,0.5547073811140547
thetao,W10p0,4,0,-0.5545645815299617,0.5545645815299617
thetao,W20p0,8,7,0.5519461791801299,0.5519461791801299
thetao,W10p0,7,11,-0.5511341620520429,0.5511341620520429
so,W10p0,10,1,-0.550682344229603,0.550682344229603
thetao,W10p0,2,12,0.5494303437357484,0.5494303437357484
thetao,W30p0,1,1,-0.5482037023003453,0.5482037023003453
so,W60p0,8,14,0.54753071551325,0.54753071551325
thetao,W40p0,10,11,0.5471293059887362,0.5471293059887362
thetao,W10p0,4,1,-0.5469529605560539,0.5469529605560539
so,W10p0,2,13,0.5465922704238707,0.5465922704238707
thetao,W40p0,10,1,0.5455681671383857,0.5455681671383857
thetao,W40p0,1,0,-0.5454738098015913,0.5454738098015913
so,W30p0,1,0,-0.5444024522642262,0.5444024522642262
thetao,W30p0,1,0,-0.5425765641934762,0.5425765641934762
thetao,W30p0,2,13,0.5424704959606071,0.5424704959606071
thetao,W10p0,3,7,0.5424037682377886,0.5424037682377886
so,W20p0,5,4,-0.5417753842115933,0.5417753842115933
so,W60p0,1,2,0.5416805798706416,0.5416805798706416
so,W10p0,8,18,-0.5408296584699359,0.5408296584699359
so,W10p0,2,14,0.5408004458566675,0.5408004458566675
thetao,W10p0,1,6,0.5403701901420759,0.5403701901420759
so,W20p0,2,9,0.5396522459038195,0.5396522459038195
so,W40p0,2,8,0.5393280770389436,0.5393280770389436
thetao,W10p0,2,18,0.5386207097671212,0.5386207097671212
so,W10p0,1,1,-0.5364830510910766,0.5364830510910766
thetao,W30p0,1,2,-0.5362422777292921,0.5362422777292921
so,W30p0,1,3,-0.5362324713293014,0.5362324713293014
thetao,W20p0,2,12,-0.5351253829386864,0.5351253829386864
thetao,W10p0,7,20,-0.5346334845544343,0.5346334845544343
