var,lon,mode,lag
so,W10p0,2,0
so,W10p0,2,1
so,W10p0,2,2
so,W10p0,2,3
so,W10p0,2,4
so,W10p0,2,5
so,W10p0,2,6
so,W10p0,2,7
so,W10p0,2,8
so,W10p0,2,9
so,W10p0,2,10
so,W20p0,2,4
so,W20p0,2,5
so,W20p0,2,6
so,W20p0,2,7
so,W20p0,2,8
so,W20p0,2,9
so,W20p0,2,10
so,W30p0,2,1
so,W30p0,2,2
so,W30p0,2,3
so,W30p0,2,4
so,W30p0,2,5
so,W30p0,2,6
so,W30p0,2,7
so,W30p0,2,8
so,W30p0,2,9
so,W30p0,2,10
so,W40p0,2,0
so,W40p0,2,1
so,W40p0,2,2
so,W40p0,2,3
so,W40p0,2,4
so,W40p0,2,5
so,W40p0,2,6
so,W40p0,2,7
so,W40p0,2,8
so,W40p0,2,9
so,W40p0,2,10
so,W60p0,2,5
so,W60p0,2,6
so,W60p0,2,7
so,W60p0,2,8
so,W60p0,2,9
thetao,W10p0,2,5
thetao,W10p0,2,6
thetao,W10p0,2,7
thetao,W10p0,2,8
thetao,W10p0,2,9
thetao,W10p0,2,10
thetao,W20p0,3,2
thetao,W20p0,3,3
thetao,W20p0,3,4
thetao,W20p0,3,5
thetao,W20p0,3,6
thetao,W20p0,3,7
thetao,W20p0,3,8
thetao,W20p0,3,9
thetao,W20p0,3,10
thetao,W30p0,2,4
thetao,W30p0,2,5
thetao,W30p0,2,6
thetao,W30p0,2,7
thetao,W30p0,2,8
thetao,W30p0,2,9
thetao,W30p0,2,10
thetao,W30p0,5,0
thetao,W30p0,5,1
thetao,W30p0,5,2
thetao,W30p0,5,3
thetao,W30p0,5,4
thetao,W30p0,5,5
thetao,W40p0,2,0
thetao,W40p0,2,1
thetao,W40p0,2,2
thetao,W40p0,2,3
thetao,W40p0,2,4
thetao,W40p0,2,5
thetao,W40p0,2,6
thetao,W40p0,2,7
thetao,W40p0,2,8
thetao,W40p0,2,9
thetao,W40p0,2,10
thetao,W60p0,10,0
thetao,W60p0,10,1
thetao,W60p0,10,2
thetao,W60p0,10,3
thetao,W60p0,10,4
thetao,W60p0,10,5
