var,lon,mode,lag,corr,abs_corr
thetao,W20p0,3,10,0.7176627618574629,0.7176627618574629
so,W40p0,2,6,0.7110281274003709,0.7110281274003709
thetao,W20p0,3,9,0.7075757107887164,0.7075757107887164
thetao,W20p0,3,8,0.7045373484379863,0.7045373484379863
so,W40p0,2,7,0.7005855647197445,0.7005855647197445
so,W40p0,2,5,0.6983266860841786,0.6983266860841786
so,W20p0,2,10,0.6910791859155568,0.6910791859155568
so,W40p0,2,4,0.6843495425405927,0.6843495425405927
so,W20p0,2,9,0.6798071129883043,0.6798071129883043
thetao,W40p0,2,6,0.6795676310404789,0.6795676310404789
thetao,W40p0,2,5,0.6779423771516816,0.6779423771516816
thetao,W20p0,3,7,0.6771454500821694,0.6771454500821694
thetao,W40p0,2,7,0.6751689670839606,0.6751689670839606
so,W40p0,2,8,0.6713792666803633,0.6713792666803633
so,W40p0,2,3,0.6688801612969634,0.6688801612969634
thetao,W40p0,2,4,0.66738597345803,0.66738597345803
thetao,W40p0,2,3,0.6611251345894441,0.6611251345894441
so,W20p0,2,8,0.6596285821888977,0.6596285821888977
so,W30p0,2,8,0.6593486463018253,0.6593486463018253
so,W30p0,2,9,0.655554729292418,0.655554729292418
thetao,W40p0,2,2,0.6516995165200543,0.6516995165200543
so,W30p0,2,7,0.6510025172568171,0.6510025172568171
so,W10p0,2,9,0.6506149637376694,0.6506149637376694
thetao,W40p0,2,8,0.650543609769001,0.650543609769001
so,W40p0,2,9,0.6499764646063357,0.6499764646063357
so,W10p0,2,8,0.6489889515028705,0.6489889515028705
so,W10p0,2,6,0.647645865257098,0.647645865257098
so,W10p0,2,7,0.6470481736867895,0.6470481736867895
so,W40p0,2,2,0.6470208788865445,0.6470208788865445
thetao,W30p0,2,9,0.6410184731641749,0.6410184731641749
thetao,W30p0,2,10,0.6407315642403671,0.6407315642403671
thetao,W20p0,3,6,0.638656970538235,0.638656970538235
so,W30p0,2,6,0.6376992796997901,0.6376992796997901
so,W30p0,2,10,0.6360019101177669,0.6360019101177669
so,W20p0,2,7,0.6355055543767626,0.6355055543767626
thetao,W40p0,2,1,0.6327719819631741,0.6327719819631741
so,W10p0,2,10,0.632208451653571,0.632208451653571
so,W10p0,2,5,0.6312587393000945,0.6312587393000945
thetao,W60p0,10,0,-0.6294808007612577,0.6294808007612577
so,W40p0,2,10,0.6292284216158428,0.6292284216158428
thetao,W30p0,2,8,0.6281772088015932,0.6281772088015932
thetao,W10p0,2,9,0.6272028592221025,0.6272028592221025
thetao,W40p0,2,9,0.6268306214613072,0.6268306214613072
thetao,W10p0,2,10,0.6240137004675254,0.6240137004675254
so,W10p0,2,4,0.618448470302278,0.618448470302278
so,W30p0,2,5,0.615609223007075,0.615609223007075
so,W40p0,2,1,0.6154895962683595,0.6154895962683595
thetao,W40p0,2,0,0.6148963009678551,0.6148963009678551
thetao,W30p0,2,7,0.6035422020214696,0.6035422020214696
thetao,W20p0,3,5,0.6014312968136074,0.6014312968136074
thetao,W40p0,2,10,0.6013137637004705,0.6013137637004705
so,W10p0,2,2,0.5996106420339197,0.5996106420339197
thetao,W10p0,2,8,0.5971687644658427,0.5971687644658427
so,W30p0,2,4,0.5955703532938063,0.5955703532938063
so,W10p0,2,3,0.5952645767037292,0.5952645767037292
so,W20p0,2,6,0.5926842422224491,0.5926842422224491
thetao,W60p0,10,1,-0.5887256060274861,0.5887256060274861
so,W10p0,2,1,0.5833168953616912,0.5833168953616912
thetao,W60p0,10,3,-0.581424845188684,0.581424845188684
thetao,W30p0,2,6,0.5753901872780525,0.5753901872780525
so,W30p0,2,3,0.5747701043104265,0.5747701043104265
thetao,W60p0,10,2,-0.5706015603570624,0.5706015603570624
thetao,W20p0,3,4,0.5689485046491077,0.5689485046491077
so,W40p0,2,0,0.568375479299141,0.568375479299141
thetao,W30p0,5,1,0.5652407183900384,0.5652407183900384
thetao,W30p0,5,2,0.5614867854155402,0.5614867854155402
thetao,W10p0,2,7,0.560177954747089,0.560177954747089
thetao,W60p0,10,4,-0.5506414288526237,0.5506414288526237
thetao,W30p0,5,0,0.5500654293356119,0.5500654293356119
so,W60p0,2,7,0.5478637006501702,0.5478637006501702
so,W20p0,2,5,0.5474486376334409,0.5474486376334409
thetao,W30p0,2,5,0.5442118456737187,0.5442118456737187
so,W30p0,2,2,0.5424415277237209,0.5424415277237209
so,W60p0,2,6,0.5393841790499591,0.5393841790499591
thetao,W10p0,2,6,0.536831926177695,0.536831926177695
thetao,W20p0,3,3,0.5368284145872098,0.5368284145872098
thetao,W30p0,5,3,0.5358138281676695,0.5358138281676695
so,W10p0,2,0,0.5331297991496768,0.5331297991496768
so,W60p0,2,8,0.5326919374000892,0.5326919374000892
thetao,W30p0,5,4,0.5290226227663717,0.5290226227663717
thetao,W10p0,6,9,0.5279107431190703,0.5279107431190703
so,W10p0,10,0,-0.5244133232808222,0.5244133232808222
thetao,W10p0,6,3,0.5225694765244726,0.5225694765244726
so,W20p0,2,4,0.5204835265330428,0.5204835265330428
thetao,W60p0,10,5,-0.5180917999228296,0.5180917999228296
thetao,W10p0,6,8,0.5178481997513172,0.5178481997513172
thetao,W10p0,6,2,0.5177365463314156,0.5177365463314156
thetao,W10p0,6,4,0.5173796215560321,0.5173796215560321
so,W10p0,10,1,-0.5158262673088684,0.5158262673088684
thetao,W10p0,2,5,0.5146114170375706,0.5146114170375706
thetao,W60p0,2,7,0.5138158034992296,0.5138158034992296
thetao,W30p0,2,4,0.5104154779163724,0.5104154779163724
so,W60p0,2,9,0.5096686222530952,0.5096686222530952
so,W60p0,2,5,0.5087249434707763,0.5087249434707763
so,W30p0,2,1,0.5069577506266226,0.5069577506266226
