N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used,gap_used,trim_val_start_by,y_transform,pc_transform
20,1,100.0,0.2925697453331204,0.2144094244506134,0.6837944817799312,0.4566185476401602,39.5,13.5,2,15,maxlag,detrend,detrend
20,1,50.0,0.28758083662455486,0.26798885297617897,0.6874757078948324,0.5115171598446796,39.5,13.5,2,15,maxlag,detrend,detrend
3,1,30.0,0.2875444340621865,0.13940733999472338,0.5819895017297566,0.47130763433007516,8.5,11.0,2,15,maxlag,detrend,detrend
3,1,20.0,0.2868347116532102,0.1375660867650106,0.5802681211085547,0.477243949517851,8.5,11.0,2,15,maxlag,detrend,detrend
3,1,50.0,0.2841197000035318,0.14384854455914287,0.5800639385967883,0.4644044223601056,8.5,11.0,2,15,maxlag,detrend,detrend
20,0,20.0,0.2769246018667626,0.29250413339197157,0.6818448137654676,0.5262687619809483,20.0,12.5,2,15,maxlag,detrend,detrend
3,1,10.0,0.27620747794391315,0.1405042491319271,0.5697582177075812,0.4879689271493948,8.5,11.0,2,15,maxlag,detrend,detrend
3,1,100.0,0.27546253007860544,0.15070170184903364,0.572971343065596,0.45665081810117125,8.5,11.0,2,15,maxlag,detrend,detrend
20,0,30.0,0.274390871909404,0.2731941606085759,0.6838527899244307,0.4951650712199805,20.0,12.5,2,15,maxlag,detrend,detrend
20,0,10.0,0.2688990993384702,0.327873059047188,0.6643081724724196,0.5972123482766957,20.0,12.5,2,15,maxlag,detrend,detrend
20,0,50.0,0.26800251616563797,0.2458710325867488,0.6785518736230304,0.46357478895201204,20.0,12.5,2,15,maxlag,detrend,detrend
20,1,30.0,0.26136422035959084,0.3226530304128231,0.6841970588888688,0.5495184072305133,39.5,13.5,2,15,maxlag,detrend,detrend
3,0,1.0,0.259429311377672,0.13878134388158214,0.5472000810913799,0.511055769603719,3.0,10.0,2,15,maxlag,detrend,detrend
3,0,0.1,0.2594229154625292,0.13832009173089727,0.547351845828709,0.5117070241854613,3.0,10.0,2,15,maxlag,detrend,detrend
3,0,0.01,0.2594212886228092,0.1382723759516581,0.5473671650782008,0.5117750402304885,3.0,10.0,2,15,maxlag,detrend,detrend
3,0,0.001,0.25942111526136585,0.13826758812694667,0.5473686983055635,0.5117818721004368,3.0,10.0,2,15,maxlag,detrend,detrend
3,0,10.0,0.2589858827059108,0.14213529397503993,0.5458723741203174,0.5065161488975902,3.0,10.0,2,15,maxlag,detrend,detrend
3,0,20.0,0.2582322229592497,0.14421960700595166,0.5447763465090412,0.5036811832073362,3.0,10.0,2,15,maxlag,detrend,detrend
3,0,30.0,0.2575405232016583,0.14545884912240548,0.5439580751861106,0.501888680846349,3.0,10.0,2,15,maxlag,detrend,detrend
3,0,50.0,0.2564589240140297,0.14679846453821743,0.5428201206443588,0.4997305243043309,3.0,10.0,2,15,maxlag,detrend,detrend
20,0,100.0,0.25569549379052475,0.20492744274867364,0.663461963028032,0.4283959685945531,20.0,12.5,2,15,maxlag,detrend,detrend
3,0,100.0,0.2548830348796917,0.14799265414041834,0.5413078643652971,0.49731769317746444,3.0,10.0,2,15,maxlag,detrend,detrend
30,1,100.0,0.24768898854244992,0.2159849243620554,0.654202881062214,0.4610682638184127,60.0,13.5,2,15,maxlag,detrend,detrend
30,0,100.0,0.24609240837553548,0.23032062226353212,0.6539274434934101,0.4423690195497292,30.0,13.0,2,15,maxlag,detrend,detrend
15,1,50.0,0.23483390976123558,0.17854404950721442,0.6189349736067756,0.4750974014171102,32.0,13.0,2,15,maxlag,detrend,detrend
30,0,50.0,0.23334169568003094,0.2937012635035785,0.6750465812536848,0.49709943416770097,30.0,13.0,2,15,maxlag,detrend,detrend
15,1,100.0,0.2303734747427243,0.16600265176787143,0.6239909194385855,0.43279367541489516,32.0,13.0,2,15,maxlag,detrend,detrend
20,1,20.0,0.22835097045030794,0.3737278201505889,0.6797894559898761,0.5781817552062256,39.5,13.5,2,15,maxlag,detrend,detrend
15,1,30.0,0.22341124299141168,0.190419543191356,0.6063913840468758,0.5049734205289662,32.0,13.0,2,15,maxlag,detrend,detrend
15,1,20.0,0.20412877909471727,0.20452942611188218,0.5920800592193544,0.5292851664276692,32.0,13.0,2,15,maxlag,detrend,detrend
30,1,50.0,0.20363979544786787,0.2970566010785804,0.667852708523891,0.5270435605177853,60.0,13.5,2,15,maxlag,detrend,detrend
30,0,30.0,0.19972111133118037,0.3623739085744407,0.6884468137353712,0.5500387068084456,30.0,13.0,2,15,maxlag,detrend,detrend
3,1,1.0,0.19500068727535536,0.195791488615638,0.5146811053111101,0.5256871186166363,8.5,11.0,2,15,maxlag,detrend,detrend
10,1,50.0,0.1894316107283911,0.1874697322590122,0.5921911920868181,0.4346885854590506,23.0,13.0,2,15,maxlag,detrend,detrend
10,1,30.0,0.18347081330106713,0.19668055108880783,0.575623708704222,0.4641931736920331,23.0,13.0,2,15,maxlag,detrend,detrend
10,1,100.0,0.18062872996182422,0.18241801691952297,0.6056225683230303,0.40000174880029327,23.0,13.0,2,15,maxlag,detrend,detrend
5,1,100.0,0.17052130811527433,0.2362859298377622,0.5970938052692588,0.4517499209154626,14.5,11.0,2,15,maxlag,detrend,detrend
10,1,20.0,0.16747965235357992,0.2100875288332859,0.5591234812126913,0.4888875232347603,23.0,13.0,2,15,maxlag,detrend,detrend
2,1,10.0,0.16138710469535417,0.23270820898775174,0.524032398174995,0.48743544945720435,6.0,7.0,2,15,maxlag,detrend,detrend
3,1,0.1,0.15995799860528365,0.22514089277162846,0.4977093607562174,0.5415694823983925,8.5,11.0,2,15,maxlag,detrend,detrend
2,1,20.0,0.15822131005820317,0.24290242148171604,0.5150322365377646,0.47506628587755984,6.0,7.0,2,15,maxlag,detrend,detrend
5,1,50.0,0.15758611648292442,0.262779563341774,0.5774838994611764,0.4784648549967334,14.5,11.0,2,15,maxlag,detrend,detrend
3,1,0.01,0.1552134070051684,0.22925422837058107,0.4956534772621455,0.5437319759567389,8.5,11.0,2,15,maxlag,detrend,detrend
3,1,0.001,0.15472186432306118,0.22968196637831534,0.4954435087748284,0.5439559657189923,8.5,11.0,2,15,maxlag,detrend,detrend
2,1,30.0,0.15445040000546634,0.24982546818584478,0.5078944488732047,0.46913821067057526,6.0,7.0,2,15,maxlag,detrend,detrend
15,0,20.0,0.15170144984843215,0.25143582052804714,0.6141381287890058,0.5187974048617343,15.0,12.0,2,15,maxlag,detrend,detrend
15,0,30.0,0.15049132774635782,0.24297475200651691,0.6164389646709637,0.49039898395451986,15.0,12.0,2,15,maxlag,detrend,detrend
30,0,20.0,0.14976450920822593,0.43734314250253636,0.6960842828109872,0.6023051528461525,30.0,13.0,2,15,maxlag,detrend,detrend
2,1,50.0,0.1488234483985919,0.25832499393496605,0.4979772327058306,0.46325665701043195,6.0,7.0,2,15,maxlag,detrend,detrend
20,1,10.0,0.1483759056192091,0.4769685786874902,0.6714173238614758,0.6317128827260796,39.5,13.5,2,15,maxlag,detrend,detrend
15,0,50.0,0.1473645856565146,0.22768488729664432,0.6112618620839436,0.46221060870977626,15.0,12.0,2,15,maxlag,detrend,detrend
15,1,10.0,0.14341383352105447,0.2523905231695423,0.5613202677888997,0.5824270275231698,32.0,13.0,2,15,maxlag,detrend,detrend
15,0,10.0,0.14324608426666402,0.26906729245586763,0.5956993925439994,0.5844568650867241,15.0,12.0,2,15,maxlag,detrend,detrend
2,1,100.0,0.1412446896607094,0.2681446226002358,0.48510762038117183,0.4579313087564462,6.0,7.0,2,15,maxlag,detrend,detrend
15,0,100.0,0.14088825635562524,0.1987335779218255,0.5957903128407768,0.4317009147118333,15.0,12.0,2,15,maxlag,detrend,detrend
5,1,30.0,0.13570019058262556,0.2877021167974298,0.5569622142602823,0.499949324403486,14.5,11.0,2,15,maxlag,detrend,detrend
30,1,30.0,0.13191786735205835,0.38685688025342746,0.6697926513205905,0.5840993944049967,60.0,13.5,2,15,maxlag,detrend,detrend
2,1,1.0,0.13083202130520033,0.24374175797730668,0.5237543747938691,0.5308844158999011,6.0,7.0,2,15,maxlag,detrend,detrend
10,1,10.0,0.1099640026441428,0.2529849495386924,0.5249854902701325,0.5340858532217061,23.0,13.0,2,15,maxlag,detrend,detrend
5,1,20.0,0.10901657755368971,0.3107540090658844,0.5376122231520462,0.516876310040457,14.5,11.0,2,15,maxlag,detrend,detrend
