var,lon,mode,lag
so,W10p0,1,0
so,W10p0,1,1
so,W20p0,1,0
so,W20p0,1,1
so,W20p0,1,2
so,W60p0,1,3
so,W60p0,1,4
so,W60p0,1,5
so,W60p0,1,6
so,W60p0,1,7
so,W60p0,1,8
so,W60p0,1,9
so,W60p0,1,10
so,W60p0,1,11
so,W60p0,1,12
thetao,W10p0,3,0
thetao,W10p0,3,1
thetao,W10p0,3,2
thetao,W10p0,3,3
thetao,W10p0,8,3
thetao,W10p0,8,4
thetao,W10p0,8,5
thetao,W10p0,8,6
thetao,W10p0,9,1
thetao,W10p0,9,2
thetao,W10p0,9,3
thetao,W10p0,9,4
thetao,W10p0,9,10
thetao,W10p0,9,11
thetao,W10p0,9,12
thetao,W20p0,9,3
thetao,W20p0,9,4
thetao,W20p0,9,5
thetao,W20p0,10,0
thetao,W20p0,10,1
thetao,W40p0,8,0
thetao,W40p0,8,1
thetao,W60p0,2,0
thetao,W60p0,2,1
