var,lon,mode,lag,corr,abs_corr
so,W60p0,1,10,0.5799225866802927,0.5799225866802927
thetao,W10p0,9,2,0.5776583335569893,0.5776583335569893
so,W60p0,1,9,0.56013422147354,0.56013422147354
so,W20p0,1,1,-0.5584762940782495,0.5584762940782495
thetao,W40p0,8,0,0.5543263908856351,0.5543263908856351
so,W60p0,1,11,0.5484385897314132,0.5484385897314132
so,W60p0,1,4,0.5383459459123142,0.5383459459123142
thetao,W10p0,9,3,0.5381884096499953,0.5381884096499953
so,W60p0,1,7,0.5379427880999952,0.5379427880999952
thetao,W10p0,9,11,0.5362024044677958,0.5362024044677958
so,W60p0,1,6,0.5336739935279836,0.5336739935279836
thetao,W60p0,2,0,-0.5311906241429243,0.5311906241429243
thetao,W20p0,10,0,0.5307071085251394,0.5307071085251394
thetao,W20p0,9,4,-0.5301691990069461,0.5301691990069461
thetao,W10p0,3,1,-0.5289915471123654,0.5289915471123654
thetao,W10p0,8,4,0.5283205263669594,0.5283205263669594
so,W10p0,1,0,-0.5260002164747569,0.5260002164747569
thetao,W10p0,3,0,-0.5255342633359376,0.5255342633359376
thetao,W10p0,3,2,-0.5235653147900439,0.5235653147900439
thetao,W10p0,8,5,0.5225607328522777,0.5225607328522777
thetao,W10p0,9,10,0.5210559955873527,0.5210559955873527
thetao,W10p0,9,12,0.5181091483012519,0.5181091483012519
so,W60p0,1,14,0.5158331237915927,0.5158331237915927
so,W30p0,1,5,-0.5150756153796764,0.5150756153796764
so,W60p0,1,3,0.5109536650632661,0.5109536650632661
so,W60p0,1,5,0.5108774549884239,0.5108774549884239
so,W20p0,1,0,-0.509775660139632,0.509775660139632
thetao,W10p0,8,7,0.5085856035454739,0.5085856035454739
thetao,W10p0,9,8,0.5054904506696971,0.5054904506696971
so,W60p0,1,12,0.5034881955407109,0.5034881955407109
so,W60p0,1,8,0.5010731207229773,0.5010731207229773
thetao,W10p0,8,6,0.49951858366935414,0.49951858366935414
thetao,W10p0,9,9,0.49873568068554225,0.49873568068554225
thetao,W10p0,3,3,-0.497612686064396,0.497612686064396
thetao,W10p0,9,5,0.49527849236387367,0.49527849236387367
so,W60p0,1,15,0.4931848749754387,0.4931848749754387
so,W60p0,1,13,0.49270736573799356,0.49270736573799356
thetao,W10p0,8,3,0.48785006290110206,0.48785006290110206
thetao,W40p0,8,1,0.4869677911836353,0.4869677911836353
thetao,W20p0,9,5,-0.48621345282518375,0.48621345282518375
thetao,W20p0,2,1,-0.4826100407477324,0.4826100407477324
thetao,W10p0,9,4,0.48229334654467987,0.48229334654467987
so,W30p0,1,6,-0.480010414049256,0.480010414049256
thetao,W60p0,2,1,-0.47756031127663634,0.47756031127663634
so,W30p0,1,4,-0.4773996806342533,0.4773996806342533
thetao,W10p0,9,1,0.47641766506045274,0.47641766506045274
thetao,W10p0,3,4,-0.4683956835856628,0.4683956835856628
thetao,W10p0,9,7,0.46684826421660097,0.46684826421660097
thetao,W40p0,8,2,0.4653633579005611,0.4653633579005611
so,W60p0,1,2,0.4615248664042215,0.4615248664042215
thetao,W10p0,9,6,0.46126646863565834,0.46126646863565834
thetao,W10p0,8,9,0.46086379830967156,0.46086379830967156
thetao,W10p0,8,10,0.46049991058336887,0.46049991058336887
thetao,W20p0,9,3,-0.4595200816314792,0.4595200816314792
thetao,W10p0,8,15,0.45778966962231626,0.45778966962231626
thetao,W20p0,9,7,-0.4564333908918414,0.4564333908918414
thetao,W10p0,8,8,0.4562152355993136,0.4562152355993136
thetao,W40p0,8,3,0.4558065546834697,0.4558065546834697
so,W20p0,9,1,0.449396205073134,0.449396205073134
so,W30p0,1,7,-0.4483364772590707,0.4483364772590707
thetao,W30p0,2,1,-0.4477198223053828,0.4477198223053828
thetao,W10p0,10,15,0.4474114428162935,0.4474114428162935
thetao,W10p0,3,5,-0.4467472739866979,0.4467472739866979
so,W10p0,1,6,-0.44259994702423533,0.44259994702423533
thetao,W20p0,9,6,-0.4379772638982712,0.4379772638982712
so,W10p0,1,5,-0.43470262476880145,0.43470262476880145
so,W40p0,2,14,0.43388749931419546,0.43388749931419546
so,W10p0,9,1,-0.4327042478448453,0.4327042478448453
so,W10p0,9,2,-0.431927573905313,0.431927573905313
so,W40p0,2,13,0.42993547328414244,0.42993547328414244
thetao,W10p0,8,11,0.42873716408790963,0.42873716408790963
so,W20p0,1,2,-0.4285810004951927,0.4285810004951927
thetao,W10p0,9,0,0.42770892895928764,0.42770892895928764
thetao,W10p0,8,0,0.424427771876041,0.424427771876041
thetao,W10p0,5,1,-0.42369366760642024,0.42369366760642024
thetao,W20p0,9,8,-0.4231946053980831,0.4231946053980831
thetao,W60p0,1,15,0.42064315499432786,0.42064315499432786
thetao,W20p0,2,2,-0.4188557451728505,0.4188557451728505
thetao,W40p0,8,6,0.41791202600426325,0.41791202600426325
thetao,W60p0,7,7,-0.41735615266585385,0.41735615266585385
thetao,W10p0,8,2,0.41723463149171786,0.41723463149171786
thetao,W10p0,9,13,0.41715881157969803,0.41715881157969803
so,W30p0,5,15,-0.4169031622015006,0.4169031622015006
thetao,W10p0,8,12,0.4157941071431427,0.4157941071431427
so,W40p0,2,5,0.41206829287011537,0.41206829287011537
so,W20p0,9,2,0.4113310372477461,0.4113310372477461
thetao,W10p0,2,13,-0.40774308902697826,0.40774308902697826
so,W40p0,3,3,-0.40729319183580087,0.40729319183580087
so,W40p0,2,9,0.4056916144055613,0.4056916144055613
thetao,W10p0,8,14,0.40504343359666845,0.40504343359666845
so,W10p0,1,4,-0.40456829087416407,0.40456829087416407
so,W60p0,3,1,-0.4021987971092998,0.4021987971092998
so,W30p0,2,1,0.4021256137016498,0.4021256137016498
thetao,W40p0,8,5,0.40206142456184374,0.40206142456184374
so,W10p0,1,1,-0.4005044259798066,0.4005044259798066
thetao,W60p0,2,2,-0.39988437281740186,0.39988437281740186
thetao,W30p0,8,15,0.39980135190479454,0.39980135190479454
so,W40p0,2,8,0.3991448591197573,0.3991448591197573
thetao,W60p0,1,14,0.3985793127474154,0.3985793127474154
thetao,W10p0,5,0,-0.3978509657809124,0.3978509657809124
thetao,W20p0,9,15,-0.3974549617783463,0.3974549617783463
thetao,W10p0,3,6,-0.39700832528314317,0.39700832528314317
so,W30p0,2,2,0.3959191810278018,0.3959191810278018
so,W40p0,2,15,0.39269301524302425,0.39269301524302425
thetao,W40p0,8,4,0.38957804440633326,0.38957804440633326
thetao,W10p0,2,14,-0.38918491407772254,0.38918491407772254
thetao,W10p0,8,1,0.38878440404694015,0.38878440404694015
so,W10p0,9,3,-0.38846497825352205,0.38846497825352205
so,W10p0,1,7,-0.388235699439964,0.388235699439964
so,W40p0,2,10,0.3877291821923619,0.3877291821923619
thetao,W20p0,9,12,-0.3872379512759429,0.3872379512759429
so,W30p0,1,9,-0.38612579665934577,0.38612579665934577
thetao,W40p0,6,2,-0.3857379578106931,0.3857379578106931
thetao,W60p0,1,10,0.3835974722149253,0.3835974722149253
so,W30p0,1,10,-0.38351858922531984,0.38351858922531984
so,W10p0,10,1,0.3827427130944585,0.3827427130944585
so,W10p0,9,4,-0.3817652540703368,0.3817652540703368
so,W40p0,2,4,0.38126144633923426,0.38126144633923426
so,W30p0,1,8,-0.3811080829405957,0.3811080829405957
thetao,W60p0,2,9,-0.38095064395266603,0.38095064395266603
thetao,W30p0,2,0,-0.3799317074636264,0.3799317074636264
thetao,W10p0,9,14,0.3799031532122421,0.3799031532122421
thetao,W10p0,8,13,0.3784408845913045,0.3784408845913045
so,W30p0,1,0,-0.3782250023478699,0.3782250023478699
so,W20p0,4,4,0.3771971957584569,0.3771971957584569
thetao,W10p0,2,15,-0.3771420056597082,0.3771420056597082
so,W20p0,4,5,0.37706088545511884,0.37706088545511884
thetao,W40p0,6,1,-0.37541067027024716,0.37541067027024716
thetao,W10p0,2,12,-0.3753097739157003,0.3753097739157003
thetao,W30p0,5,1,-0.3737759864695829,0.3737759864695829
so,W60p0,3,2,-0.3726417836044703,0.3726417836044703
so,W10p0,1,3,-0.37215370776422274,0.37215370776422274
so,W40p0,2,12,0.37210917635510765,0.37210917635510765
thetao,W30p0,6,4,0.37088146940029787,0.37088146940029787
thetao,W20p0,9,13,-0.36967685432469066,0.36967685432469066
so,W10p0,9,0,-0.36941847641173375,0.36941847641173375
thetao,W10p0,2,5,-0.3689477095058802,0.3689477095058802
so,W40p0,1,0,-0.3686152493951686,0.3686152493951686
so,W30p0,6,0,-0.36651098563901946,0.36651098563901946
thetao,W20p0,9,14,-0.3664651873938778,0.3664651873938778
so,W40p0,2,11,0.36639419233036946,0.36639419233036946
so,W30p0,3,1,0.36617525698376346,0.36617525698376346
thetao,W60p0,10,10,0.36215918255525875,0.36215918255525875
thetao,W20p0,9,0,-0.36172409412113726,0.36172409412113726
thetao,W30p0,7,14,0.36159100212699674,0.36159100212699674
thetao,W60p0,10,12,0.3614454597798997,0.3614454597798997
thetao,W10p0,10,10,0.3614160460931189,0.3614160460931189
thetao,W10p0,1,1,-0.3608933255599151,0.3608933255599151
so,W60p0,5,11,-0.36052787460808267,0.36052787460808267
thetao,W20p0,9,11,-0.35977013114424755,0.35977013114424755
thetao,W10p0,3,7,-0.35924195083571897,0.35924195083571897
thetao,W60p0,1,11,0.3585997347066192,0.3585997347066192
thetao,W60p0,2,8,-0.35710348176587137,0.35710348176587137
so,W40p0,3,4,-0.3570452307705748,0.3570452307705748
thetao,W10p0,2,4,-0.3556136598311749,0.3556136598311749
thetao,W20p0,9,9,-0.35539676750407717,0.35539676750407717
so,W60p0,1,1,0.3545999145123558,0.3545999145123558
so,W40p0,2,6,0.3544072985411351,0.3544072985411351
thetao,W60p0,2,10,-0.3538851104632301,0.3538851104632301
so,W40p0,7,2,0.3538690494673163,0.3538690494673163
thetao,W30p0,6,3,0.3531087252901381,0.3531087252901381
thetao,W10p0,1,0,-0.3520612881232594,0.3520612881232594
thetao,W60p0,10,9,0.3515142621722008,0.3515142621722008
thetao,W20p0,10,1,0.350446157826362,0.350446157826362
thetao,W20p0,2,0,-0.3497095201650158,0.3497095201650158
so,W60p0,3,0,-0.3494011835505148,0.3494011835505148
thetao,W60p0,7,8,-0.348781384347986,0.348781384347986
thetao,W60p0,10,11,0.34869337387005134,0.34869337387005134
so,W10p0,1,2,-0.34862810481985895,0.34862810481985895
so,W30p0,1,15,-0.34640929510809687,0.34640929510809687
so,W40p0,3,2,-0.34630640572506843,0.34630640572506843
so,W40p0,2,3,0.3459432728695148,0.3459432728695148
thetao,W30p0,7,13,0.34522867325915635,0.34522867325915635
so,W40p0,3,5,-0.3452034590600638,0.3452034590600638
thetao,W60p0,10,13,0.3449101157775118,0.3449101157775118
so,W40p0,2,7,0.3446013502595167,0.3446013502595167
so,W30p0,2,3,0.34398810078956665,0.34398810078956665
so,W40p0,10,15,-0.34373632449995334,0.34373632449995334
so,W20p0,2,4,0.34334717079859367,0.34334717079859367
so,W30p0,2,8,0.3421143737384037,0.3421143737384037
so,W60p0,4,0,-0.34149910791086885,0.34149910791086885
so,W40p0,3,1,-0.34093578042871425,0.34093578042871425
so,W30p0,5,14,-0.3408395085864954,0.3408395085864954
so,W20p0,2,15,0.3405998182359829,0.3405998182359829
so,W60p0,1,0,0.33966371904066583,0.33966371904066583
so,W10p0,9,5,-0.3388912215812877,0.3388912215812877
thetao,W10p0,1,7,-0.3387252522049637,0.3387252522049637
thetao,W10p0,2,6,-0.33855156982196105,0.33855156982196105
thetao,W10p0,10,14,0.3378098002915396,0.3378098002915396
thetao,W10p0,5,7,-0.33736095520720794,0.33736095520720794
thetao,W40p0,3,14,0.33656234459953327,0.33656234459953327
so,W10p0,10,0,0.3362058092570296,0.3362058092570296
so,W20p0,2,5,0.3361607018557255,0.3361607018557255
thetao,W60p0,7,6,-0.33585465458853736,0.33585465458853736
thetao,W20p0,9,2,-0.3358028612393322,0.3358028612393322
thetao,W10p0,1,11,-0.3357504689162964,0.3357504689162964
thetao,W20p0,5,1,-0.3357461214350945,0.3357461214350945
thetao,W60p0,10,14,0.33458670849442596,0.33458670849442596
so,W20p0,9,3,0.33425081821364794,0.33425081821364794
thetao,W10p0,5,2,-0.33420957599200873,0.33420957599200873
so,W30p0,1,3,-0.3338445605393464,0.3338445605393464
thetao,W30p0,8,0,0.3328719480407845,0.3328719480407845
so,W20p0,9,0,0.3322822515944659,0.3322822515944659
thetao,W40p0,1,1,-0.3320022776094069,0.3320022776094069
thetao,W60p0,2,7,-0.33195888169282445,0.33195888169282445
so,W30p0,3,3,0.33175301367093407,0.33175301367093407
thetao,W20p0,9,10,-0.33128157331841235,0.33128157331841235
thetao,W40p0,8,7,0.331168699970514,0.331168699970514
thetao,W10p0,1,10,-0.330533973158606,0.330533973158606
so,W60p0,5,14,-0.3300756525549624,0.3300756525549624
so,W30p0,3,2,0.32985600835388024,0.32985600835388024
thetao,W10p0,2,11,-0.32886849806833784,0.32886849806833784
thetao,W10p0,1,6,-0.3284722016611949,0.3284722016611949
so,W40p0,10,8,-0.3284509762916184,0.3284509762916184
