var,lon,mode,lag,corr,abs_corr
so,W60p0,1,1,0.753797160462236,0.753797160462236
so,W60p0,1,2,0.7471197792858187,0.7471197792858187
so,W60p0,1,3,0.7218953732906572,0.7218953732906572
so,W60p0,1,0,0.7188077407579709,0.7188077407579709
so,W10p0,5,16,-0.7036080347057461,0.7036080347057461
so,W60p0,1,8,0.6977647718886815,0.6977647718886815
so,W60p0,1,4,0.6967466458863559,0.6967466458863559
thetao,W30p0,6,28,-0.6948281086039622,0.6948281086039622
thetao,W30p0,6,29,-0.6932750837199597,0.6932750837199597
so,W60p0,1,6,0.6931378234558835,0.6931378234558835
thetao,W10p0,2,16,-0.6887916762156803,0.6887916762156803
thetao,W30p0,6,27,-0.6882927917294024,0.6882927917294024
so,W60p0,1,5,0.6877490833531925,0.6877490833531925
so,W10p0,5,18,-0.6858100075419153,0.6858100075419153
thetao,W10p0,2,15,-0.6832146726035324,0.6832146726035324
so,W10p0,5,21,-0.6802304366135112,0.6802304366135112
so,W60p0,1,7,0.6797510213999238,0.6797510213999238
thetao,W40p0,3,0,0.6784130654090067,0.6784130654090067
so,W10p0,5,20,-0.6783978980140585,0.6783978980140585
so,W40p0,3,0,-0.6775794571427838,0.6775794571427838
thetao,W60p0,2,0,-0.6774329591170176,0.6774329591170176
thetao,W20p0,3,26,-0.677400409478461,0.677400409478461
so,W10p0,5,15,-0.6769662243909863,0.6769662243909863
thetao,W30p0,6,26,-0.6769240916317281,0.6769240916317281
thetao,W20p0,3,27,-0.6768237558318375,0.6768237558318375
thetao,W10p0,2,18,-0.67534378653838,0.67534378653838
thetao,W60p0,3,30,0.6744978810357376,0.6744978810357376
thetao,W10p0,2,17,-0.6740689225522105,0.6740689225522105
thetao,W30p0,6,30,-0.673659542079202,0.673659542079202
thetao,W10p0,2,14,-0.6706945260234346,0.6706945260234346
thetao,W20p0,3,28,-0.6670542345845252,0.6670542345845252
thetao,W20p0,3,25,-0.6661868629533303,0.6661868629533303
thetao,W60p0,3,29,0.6661541449101731,0.6661541449101731
thetao,W40p0,5,28,0.6656512177401264,0.6656512177401264
so,W20p0,10,20,-0.6638761645623127,0.6638761645623127
thetao,W10p0,2,19,-0.6637893126035682,0.6637893126035682
so,W10p0,5,17,-0.6624658003931577,0.6624658003931577
so,W60p0,6,29,-0.6618500369267073,0.6618500369267073
thetao,W20p0,4,26,-0.6613264113257908,0.6613264113257908
thetao,W40p0,5,27,0.6612992962094393,0.6612992962094393
so,W10p0,5,19,-0.6606190431455471,0.6606190431455471
thetao,W20p0,4,27,-0.660075669492331,0.660075669492331
so,W60p0,3,27,0.6597815204049826,0.6597815204049826
thetao,W20p0,3,24,-0.6597435513513783,0.6597435513513783
thetao,W20p0,3,20,-0.6590050430521608,0.6590050430521608
