var,lon,mode,lag,corr,abs_corr
so,W10p0,5,16,0.7503155506546981,0.7503155506546981
thetao,W30p0,9,16,-0.7311843739505652,0.7311843739505652
so,W10p0,5,18,0.724357653616251,0.724357653616251
so,W10p0,5,15,0.7218174919722189,0.7218174919722189
thetao,W30p0,9,15,-0.71721954314783,0.71721954314783
so,W10p0,5,17,0.7164678358550717,0.7164678358550717
so,W10p0,5,20,0.7081883092753234,0.7081883092753234
so,W40p0,3,0,-0.7068612424921403,0.7068612424921403
so,W10p0,5,14,0.7057624694443212,0.7057624694443212
thetao,W30p0,9,17,-0.7008127786394415,0.7008127786394415
so,W10p0,5,19,0.69763385085697,0.69763385085697
thetao,W40p0,3,0,-0.6869278344590198,0.6869278344590198
thetao,W30p0,9,14,-0.6718273608445248,0.6718273608445248
so,W60p0,1,1,0.6707547030545806,0.6707547030545806
thetao,W60p0,10,6,-0.6662360305811602,0.6662360305811602
thetao,W10p0,3,16,0.6644824583656987,0.6644824583656987
thetao,W60p0,10,7,-0.6607429743518082,0.6607429743518082
thetao,W10p0,3,17,0.6596131771686347,0.6596131771686347
so,W20p0,10,20,-0.6589681407353198,0.6589681407353198
thetao,W30p0,9,13,-0.6586378903670705,0.6586378903670705
thetao,W10p0,3,18,0.656176500189061,0.656176500189061
so,W60p0,1,2,0.6548487158478641,0.6548487158478641
so,W40p0,3,2,-0.6528522805881248,0.6528522805881248
thetao,W30p0,9,18,-0.6526955565779564,0.6526955565779564
thetao,W10p0,3,15,0.6524960172280035,0.6524960172280035
thetao,W30p0,9,12,-0.6482332331258917,0.6482332331258917
thetao,W60p0,2,0,-0.6481050655704835,0.6481050655704835
thetao,W20p0,3,20,-0.6438333039228242,0.6438333039228242
thetao,W20p0,3,19,-0.6429089737242009,0.6429089737242009
thetao,W10p0,3,19,0.6423977165386251,0.6423977165386251
so,W20p0,10,16,-0.6412444225182748,0.6412444225182748
thetao,W20p0,5,20,0.6410765726434131,0.6410765726434131
so,W20p0,10,18,-0.6405707168994919,0.6405707168994919
thetao,W60p0,10,1,-0.6386418853013849,0.6386418853013849
thetao,W10p0,3,20,0.6375185470149765,0.6375185470149765
so,W40p0,3,1,-0.6349210036295222,0.6349210036295222
so,W10p0,5,13,0.6345192040460569,0.6345192040460569
thetao,W30p0,9,11,-0.634373630222736,0.634373630222736
thetao,W20p0,3,18,-0.6337014510238005,0.6337014510238005
thetao,W20p0,3,17,-0.6319952614546656,0.6319952614546656
thetao,W60p0,3,12,0.6318762451753837,0.6318762451753837
so,W60p0,2,20,-0.6303685863462593,0.6303685863462593
so,W40p0,3,3,-0.629777727626224,0.629777727626224
so,W20p0,10,17,-0.6292004715523669,0.6292004715523669
thetao,W20p0,5,19,0.6291730145156486,0.6291730145156486
thetao,W20p0,5,18,0.6283140523074131,0.6283140523074131
thetao,W60p0,10,8,-0.6282665977274376,0.6282665977274376
thetao,W30p0,9,20,-0.6258367851763262,0.6258367851763262
thetao,W10p0,1,20,-0.6221663487223847,0.6221663487223847
thetao,W10p0,1,18,-0.6219995343546264,0.6219995343546264
thetao,W20p0,5,17,0.6219259746526016,0.6219259746526016
thetao,W10p0,1,19,-0.6202842488682621,0.6202842488682621
so,W60p0,1,0,0.6199406140982767,0.6199406140982767
so,W40p0,3,7,-0.619547662293832,0.619547662293832
thetao,W10p0,1,16,-0.6193283574310842,0.6193283574310842
thetao,W10p0,1,17,-0.6184655549753801,0.6184655549753801
thetao,W20p0,3,16,-0.6183337002282849,0.6183337002282849
thetao,W10p0,1,15,-0.6180152801328807,0.6180152801328807
thetao,W20p0,5,16,0.6172955118364474,0.6172955118364474
thetao,W10p0,3,14,0.6157347696333525,0.6157347696333525
so,W20p0,10,19,-0.6151766315590738,0.6151766315590738
so,W40p0,3,4,-0.6139817732735853,0.6139817732735853
thetao,W30p0,4,20,0.6135307797303468,0.6135307797303468
thetao,W60p0,10,5,-0.6131306971101487,0.6131306971101487
thetao,W60p0,10,2,-0.6127156405224005,0.6127156405224005
so,W60p0,1,3,0.6113476653002407,0.6113476653002407
so,W60p0,2,19,-0.6101857886826069,0.6101857886826069
thetao,W60p0,4,20,-0.6100360492002752,0.6100360492002752
thetao,W30p0,4,10,0.6098420271790729,0.6098420271790729
so,W10p0,9,16,0.6084895792163907,0.6084895792163907
thetao,W30p0,4,19,0.6080866192869809,0.6080866192869809
thetao,W20p0,3,15,-0.6058421230332093,0.6058421230332093
so,W20p0,10,15,-0.6056669308665797,0.6056669308665797
so,W30p0,5,17,0.6056587036089566,0.6056587036089566
thetao,W60p0,2,1,-0.6044294592085215,0.6044294592085215
thetao,W10p0,1,14,-0.6042211515022162,0.6042211515022162
so,W30p0,9,16,0.6025286895463375,0.6025286895463375
thetao,W40p0,8,18,-0.6024747614942296,0.6024747614942296
thetao,W60p0,2,16,-0.602034698313786,0.602034698313786
thetao,W30p0,9,19,-0.601650528561954,0.601650528561954
thetao,W40p0,3,18,-0.5995304401295857,0.5995304401295857
thetao,W40p0,3,12,-0.5984072632509466,0.5984072632509466
so,W10p0,5,11,0.597530785498138,0.597530785498138
so,W10p0,5,6,0.5974785948930144,0.5974785948930144
thetao,W60p0,3,11,0.5973031240291359,0.5973031240291359
thetao,W30p0,4,11,0.5971649651679168,0.5971649651679168
so,W10p0,5,4,0.5963589288266772,0.5963589288266772
