member,best_r2,best_k,ranking_file
19,0.7240433991453584,17,TESTR2_0.534_N5_W0_A0.01_member19_train_feature_ranking.csv
31,0.6498495996584237,16,TESTR2_0.383_N5_W0_A300_member31_train_feature_ranking.csv
29,0.5823019300814329,12,TESTR2_0.148_N10_W0_A10_member29_train_feature_ranking.csv
21,0.4919572975560347,18,TESTR2_0.232_N5_W0_A100_member21_train_feature_ranking.csv
5,0.4897766400033716,2,TESTR2_-0.331_N10_W0_A300_member5_train_feature_ranking.csv
2,0.48927125850701614,45,TESTR2_0.006_N5_W0_A1000_member2_train_feature_ranking.csv
0,0.48629552150608624,8,TESTR2_0.033_N5_W0_A1000_member0_train_feature_ranking.csv
20,0.455189232362438,2,TESTR2_-1.704_N5_W0_A1000_member20_train_feature_ranking.csv
18,0.44146799034843853,1,TESTR2_-1.126_N15_W0_A1_member18_train_feature_ranking.csv
3,0.43700035818933647,23,TESTR2_0.220_N5_W0_A30_member3_train_feature_ranking.csv
14,0.4082834921633176,52,TESTR2_0.139_N5_W1_A30_member14_train_feature_ranking.csv
10,0.40108154374279636,33,TESTR2_0.059_N5_W0_A100_member10_train_feature_ranking.csv
9,0.3986333313495136,7,TESTR2_0.197_N15_W0_A1000_member9_train_feature_ranking.csv
13,0.3970055042423656,19,TESTR2_-0.470_N5_W0_A30_member13_train_feature_ranking.csv
26,0.32796190555365823,2,TESTR2_0.040_N5_W0_A1000_member26_train_feature_ranking.csv
24,0.31926473978729475,8,TESTR2_-0.127_N15_W0_A3_member24_train_feature_ranking.csv
25,0.26712202579901934,6,TESTR2_0.263_N5_W0_A30_member25_train_feature_ranking.csv
15,0.23867014560506716,9,TESTR2_-0.000_N5_W0_A1000_member15_train_feature_ranking.csv
27,0.22617481737966427,49,TESTR2_-1.627_N10_W0_A100_member27_train_feature_ranking.csv
17,0.21120693431791548,60,TESTR2_-0.680_N5_W0_A100_member17_train_feature_ranking.csv
12,0.18823009207733443,28,TESTR2_-0.286_N5_W0_A300_member12_train_feature_ranking.csv
1,0.16720095921342049,6,TESTR2_0.102_N10_W0_A10_member1_train_feature_ranking.csv
4,0.1351797270172832,42,TESTR2_-0.898_N10_W0_A100_member4_train_feature_ranking.csv
30,0.11852718490754599,5,TESTR2_0.156_N5_W1_A100_member30_train_feature_ranking.csv
23,0.08411957844258111,17,TESTR2_-0.055_N15_W0_A100_member23_train_feature_ranking.csv
16,-0.0018047912498750929,7,TESTR2_-1.140_N5_W0_A300_member16_train_feature_ranking.csv
8,-0.02352755432532838,1,TESTR2_-1.522_N5_W0_A300_member8_train_feature_ranking.csv
6,-0.057214949787878666,2,TESTR2_-0.020_N5_W0_A300_member6_train_feature_ranking.csv
28,-0.0772362984886541,1,TESTR2_-1.323_N5_W0_A1000_member28_train_feature_ranking.csv
7,-0.14166081045467038,21,TESTR2_0.454_N10_W0_A1000_member7_train_feature_ranking.csv
32,-0.1747727810145796,54,TESTR2_-1.703_N5_W1_A100_member32_train_feature_ranking.csv
11,-0.2314186710206818,21,TESTR2_-3.015_N5_W0_A10_member11_train_feature_ranking.csv
22,-0.2377116002585058,1,TESTR2_-2.984_N10_W0_A3_member22_train_feature_ranking.csv
