var,lon,mode,mode0,lag,member
so,W60p0,1,0,0,0
so,W60p0,1,0,1,0
so,W60p0,1,0,2,0
so,W60p0,1,0,3,0
thetao,W40p0,3,2,0,0
so,W40p0,3,2,0,1
thetao,W30p0,5,4,0,1
thetao,W40p0,3,2,0,1
thetao,W40p0,4,3,0,1
thetao,W60p0,1,0,0,1
thetao,W10p0,2,1,10,2
thetao,W40p0,4,3,0,2
thetao,W60p0,2,1,0,2
thetao,W60p0,2,1,1,2
thetao,W60p0,2,1,2,2
so,W30p0,1,0,0,3
so,W30p0,1,0,1,3
so,W30p0,1,0,2,3
so,W40p0,2,1,0,3
so,W40p0,2,1,2,3
so,W40p0,3,2,0,3
so,W60p0,1,0,0,3
so,W60p0,1,0,1,3
so,W60p0,1,0,2,3
thetao,W30p0,5,4,0,3
thetao,W40p0,3,2,0,3
thetao,W40p0,4,3,0,3
thetao,W60p0,2,1,0,3
thetao,W60p0,2,1,1,3
thetao,W60p0,2,1,2,3
thetao,W10p0,2,1,0,4
thetao,W10p0,2,1,1,4
thetao,W30p0,1,0,7,4
thetao,W30p0,1,0,8,4
thetao,W60p0,2,1,0,4
so,W40p0,3,2,0,5
so,W60p0,1,0,7,5
so,W60p0,1,0,8,5
so,W60p0,1,0,9,5
so,W60p0,1,0,10,5
thetao,W30p0,5,4,0,5
thetao,W30p0,7,6,7,5
thetao,W30p0,7,6,8,5
thetao,W60p0,2,1,0,5
thetao,W60p0,2,1,1,5
so,W60p0,1,0,0,6
so,W60p0,1,0,1,6
thetao,W20p0,2,1,0,6
thetao,W40p0,3,2,0,6
thetao,W60p0,2,1,0,6
so,W40p0,1,0,0,7
so,W40p0,2,1,1,7
so,W60p0,1,0,0,7
so,W60p0,1,0,1,7
thetao,W40p0,3,2,0,7
thetao,W20p0,1,0,5,8
thetao,W30p0,5,4,0,8
thetao,W30p0,5,4,3,8
thetao,W40p0,10,9,2,8
thetao,W60p0,2,1,0,8
so,W20p0,6,5,0,9
so,W20p0,6,5,1,9
thetao,W20p0,2,1,0,9
