member,best_N,best_W,best_alpha,max_lag_used,n_features_used,train_r2,train_corr,train_var_ratio,test_r2,test_corr,test_var_ratio,test_r2_anom,test_corr_anom,test_var_ratio_anom,late_r2,late_corr,late_var_ratio,late_r2_anom,late_corr_anom,late_var_ratio_anom
0,5,0,300.0,3,5,0.4233024620630492,0.6506169856859325,0.650616985685934,0.1283373693296488,0.5020742034296917,0.4997138817639362,0.2520729346311937,0.5020742034296914,0.4997138817639361,-0.253311374559207,0.4868092452744391,0.6499828593696295,0.2103576129477828,0.4868092452744391,0.6499828593696295
1,5,0,1000.0,0,5,0.6188061453997993,0.7866423236769046,0.7866423236769045,0.1229230525314087,0.6337636883330953,0.6257623262887031,0.401592390855003,0.6337636883330947,0.6257623262887031,0.2095794299858202,0.5490344279605918,0.5825019185884537,0.300318730157088,0.5490344279605915,0.5825019185884536
2,5,0,1000.0,10,5,0.4560811457238028,0.6753378011956708,0.6753378011956719,-0.26815037376938,0.6244414661712963,0.4085588836439328,0.3433218552354741,0.6244414661712959,0.4085588836439329,-0.2284569820312962,-0.0924429314381447,0.3930140587171351,-0.227122793717746,-0.0924429314381447,0.3930140587171351
3,15,0,100.0,2,15,0.7403828034713035,0.8604549979349898,0.8604549979349901,-1.1685333702045546,0.6448014485471311,0.7429997534172091,0.406126000969122,0.6448014485471311,0.7429997534172093,-0.0774216110755228,0.6298246623117983,0.821358872948746,0.3599937514118519,0.6298246623117986,0.821358872948746
4,5,0,100.0,8,5,0.5650217905287046,0.7516793136229734,0.7516793136229736,-0.2625158622422654,0.3681527448038333,0.6050973401204267,0.079393702256852,0.3681527448038335,0.6050973401204267,0.1292882137510144,0.41158075975996,0.4133931025611636,0.1693954372181568,0.41158075975996,0.4133931025611636
5,10,0,100.0,10,10,0.4936111352847921,0.7025746474822384,0.7025746474822382,-0.015718707482784,0.6725820785474669,0.3400646277278147,0.341798797283631,0.6725820785474671,0.3400646277278147,0.5780438762581144,0.8850415214520684,0.5039631220629969,0.6380777482132552,0.8850415214520686,0.503963122062997
6,5,0,100.0,1,5,0.5842652334104411,0.7643724441726305,0.7643724441726301,-0.5085657858001085,-0.0357432402830547,0.3234508908713727,-0.1277428446298518,-0.0357432402830548,0.3234508908713727,-0.1949961114945229,0.4077824555046322,0.7251209831868296,0.0655827898658824,0.4077824555046321,0.7251209831868298
7,5,0,1000.0,1,5,0.4355874074803119,0.6599904601434113,0.6599904601434122,-0.0949265790591826,0.3538219353755904,0.4065143403764311,0.1224134724081557,0.3538219353755905,0.4065143403764312,-0.242635186380405,0.520751344804508,0.4776026950844025,0.269320157143035,0.5207513448045079,0.4776026950844025
8,5,0,1000.0,5,5,0.3644811470090543,0.6037227401788459,0.6037227401788454,-0.9888608341154732,0.2401966281013757,0.3350006876122385,0.0487066104515313,0.2401966281013757,0.3350006876122386,0.4248526705657741,0.6619075465779314,0.5493563586854793,0.4254538303208145,0.6619075465779315,0.5493563586854793
9,5,1,1.0,1,10,0.7047325249797836,0.8394834870203132,0.8394834870203126,0.4113003924606022,0.7951961736743639,0.6455491337121699,0.6099427180569027,0.7951961736743639,0.6455491337121699,0.4333966616359453,0.7530863039205697,0.5830934855613409,0.5382414228590311,0.7530863039205701,0.5830934855613409
