member,best_N,best_W,best_alpha,max_lag_used,n_features_used,train_r2,train_corr,train_var_ratio,test_r2,test_corr,test_var_ratio,test_r2_anom,test_corr_anom,test_var_ratio_anom,late_r2,late_corr,late_var_ratio,late_r2_anom,late_corr_anom,late_var_ratio_anom,bucket,corr_drop_anom,varratio_change_anom
0,5,0,1000.0,13,5,0.4811318237943142,0.6936366655492736,0.6936366655492738,0.0333272128938687,0.4018218810588007,0.4654251673568874,0.1574154460697167,0.4018218810588006,0.4654251673568874,-0.4635757239363451,0.5170536943424555,0.749099364191156,0.2134993299376495,0.5170536943424557,0.7490993641911559,stable_good,-0.11523181328365512,0.2836741968342685
1,10,0,10.0,13,10,0.6711166398450019,0.8192170895708913,0.8192170895708917,0.1015452926525721,0.4081422521160387,0.4468640235018347,0.1650807223830983,0.4081422521160386,0.4468640235018347,-0.0319233519340023,0.6643361524524168,0.5031274086938389,0.4153542643910617,0.6643361524524166,0.5031274086938389,stable_good,-0.256193900336378,0.05626338519200419
2,5,0,1000.0,18,5,0.4673406917086643,0.6836232088721573,0.6836232088721547,0.0059810092601818,0.6022747405399809,0.4662828864091957,0.3442410787025725,0.6022747405399809,0.4662828864091957,-1.3049620682162169,-0.2715457528676778,0.8932374078738403,-1.282982715646528,-0.2715457528676777,0.8932374078738403,breakdown_late,0.8738204934076585,0.42695452146464463
3,5,0,30.0,0,5,0.7184626837973632,0.8476217811013133,0.8476217811013135,0.2202898316080991,0.7507689952734103,0.448094618438474,0.4720423058714289,0.7507689952734102,0.448094618438474,0.0469909965363848,0.7527600780722542,0.5207149760563738,0.5128028057697858,0.7527600780722541,0.5207149760563737,stable_good,-0.0019910827988438573,0.07262035761789976
4,10,0,100.0,8,10,0.6052955729601222,0.7780074375994884,0.7780074375994884,-0.8983917913598061,0.0673129044310375,0.5104675943162317,-0.1918550520643007,0.0673129044310376,0.5104675943162317,-0.1737180438783907,0.4219457465387526,0.4291321852895349,0.1779865681202264,0.4219457465387525,0.4291321852895349,late_only,-0.3546328421077149,-0.08133540902669678
5,10,0,300.0,10,10,0.4786837178828428,0.6918697260921617,0.6918697260921612,-0.3309301949623595,0.8000714739641379,0.3878636548296606,0.4701990772955461,0.8000714739641378,0.3878636548296606,0.5230264574410073,0.8335184935474098,0.488463635752616,0.5756902241977582,0.8335184935474098,0.488463635752616,stable_good,-0.03344701958327201,0.10059998092295536
6,5,0,300.0,23,5,0.604932669561245,0.7777741764556373,0.7777741764556372,-0.0203094922127091,0.2418953230933768,0.2856951948759161,0.0565949185662822,0.2418953230933769,0.285695194875916,-0.0998881067434562,0.630970627817739,0.6624694516898293,0.3971317572633868,0.6309706278177387,0.6624694516898293,other,-0.3890753047243618,0.3767742568139133
7,10,0,1000.0,18,10,0.5451584630390214,0.738348469923939,0.7383484699239372,0.4540273232415407,0.7099738176693482,0.5250817478773273,0.4698777443040119,0.7099738176693484,0.5250817478773273,-0.879356302205077,0.4883171512520756,0.6467511642421657,0.2133523037347984,0.4883171512520756,0.6467511642421657,stable_good,0.22165666641727283,0.12166941636483841
8,5,0,300.0,25,5,0.3390830762178776,0.5823084030115635,0.5823084030115624,-1.5217732290547774,0.5184871233044196,0.3161674195509717,0.2278956345056092,0.5184871233044196,0.3161674195509718,0.367090011019582,0.6241031930606168,0.5089840510376499,0.3762523787283534,0.6241031930606167,0.5089840510376498,stable_good,-0.10561606975619708,0.192816631486678
9,15,0,1000.0,18,15,0.5347764094934215,0.731284082620032,0.7312840826200293,0.1972391168001275,0.5100575875511595,0.3615445521217529,0.2381026209260522,0.5100575875511598,0.361544552121753,0.3888143656123133,0.8180251214105299,0.5354009690726416,0.5892886877740025,0.8180251214105299,0.5354009690726416,stable_good,-0.30796753385937004,0.17385641695088855
10,5,0,100.0,24,5,0.4811454396173005,0.6936464802889877,0.6936464802889866,0.0592419225966319,0.4364224734301986,0.4690129020737358,0.1894024392757629,0.4364224734301987,0.4690129020737358,-0.5445874179466197,0.3412930291182449,0.8083536946812294,-0.1016647335914309,0.3412930291182448,0.8083536946812294,breakdown_late,0.09512944431195391,0.3393407926074936
11,5,0,10.0,25,5,0.5798965655439747,0.7615093995112437,0.761509399511244,-3.015033771123453,0.0043692959929226,0.1997715368965001,-0.0381629450026659,0.0043692959929226,0.1997715368965001,-0.8904347800063515,-0.1650170838752119,0.6426858830864509,-0.6251534448679943,-0.1650170838752119,0.642685883086451,no_skill,0.1693863798681345,0.44291434618995096
12,5,0,300.0,7,5,0.516138856051037,0.7184280451451189,0.7184280451451177,-0.2857299435032268,0.0903873824032302,0.4162417537155427,-0.0980111924056346,0.0903873824032302,0.4162417537155427,-1.2299762647336236,0.5987847222924597,0.4663067322293339,0.3409927257996924,0.5987847222924598,0.4663067322293339,late_only,-0.5083973398892296,0.050064978513791214
13,5,0,30.0,9,5,0.6525539565492249,0.8078081186452787,0.8078081186452789,-0.4696974195350163,0.6020331945278582,0.4768724306977771,0.3467787505108887,0.6020331945278581,0.4768724306977772,0.4353198043808041,0.6849002817981857,0.5305514000976274,0.4452648187250213,0.6849002817981859,0.5305514000976274,stable_good,-0.08286708727032777,0.053678969399850174
14,5,1,30.0,5,8,0.6197669188390529,0.7872527668030469,0.7872527668030476,0.1393452229737912,0.4873549815968603,0.3097317145972385,0.2059648531076571,0.4873549815968602,0.3097317145972386,-1.6741133046200174,-0.3346775950816053,0.8802891013447827,-1.364134980775643,-0.3346775950816053,0.8802891013447827,breakdown_late,0.8220325766784655,0.5705573867475441
15,5,0,1000.0,4,5,0.5270264842795735,0.7259658974632172,0.7259658974632179,-0.0004926356605496,0.2810080857561584,0.3044978361060738,0.0784137758888391,0.2810080857561584,0.3044978361060738,-0.2823237595415411,0.4689488978785426,0.4459504059091872,0.2193841381886353,0.4689488978785426,0.4459504059091871,other,-0.18794081212238423,0.14145256980311333
16,5,0,300.0,3,5,0.693950035133616,0.8330366349288701,0.8330366349288703,-1.140410040995378,0.4342704436281963,0.9779084387473098,-0.1069514515280984,0.4342704436281963,0.9779084387473098,0.0347306089651219,0.7545209926629883,0.5027931517851978,0.5059350224961472,0.7545209926629882,0.5027931517851978,late_only,-0.32025054903479194,-0.475115286962112
17,5,0,100.0,2,5,0.5644443202557384,0.751295095322563,0.7512950953225628,-0.6804308149029807,0.6599734382912547,0.3466552909704294,0.3373966778094263,0.6599734382912547,0.3466552909704294,-3.844664538794481,0.5760010438494675,1.1047872181955256,0.0521623843361364,0.5760010438494676,1.1047872181955258,other,0.08397239444178706,0.7581319272250964
18,15,0,1.0,18,15,0.6394565134051877,0.7996602487339153,0.7996602487339156,-1.1255935344094516,0.4504974912177611,0.8573605725177,0.0374104226686159,0.4504974912177609,0.8573605725177001,-4.01041045254508,0.2385905587568117,1.1585930135249454,-0.789479062051504,0.2385905587568117,1.1585930135249454,other,0.2119069324609492,0.3012324410072452
19,5,0,0.01,1,5,0.5854762401716046,0.7651641916422939,0.7651641916422932,0.5344904290595469,0.8298496104902305,0.5408497198561169,0.6051294392442577,0.8298496104902306,0.5408497198561169,0.1164601875406702,0.6602569995891375,0.6813962425785753,0.4354924379122838,0.6602569995891375,0.6813962425785755,stable_good,0.16959261090109312,0.1405465227224586
20,5,0,1000.0,1,5,0.6568891952236554,0.8104870111381521,0.8104870111381525,-1.7037837438086043,0.6842891995829452,1.0510053810554651,0.3337709509120821,0.6842891995829452,1.0510053810554651,-2.2520161337756965,0.6905529969581072,0.899210220603553,0.4333256046283986,0.6905529969581075,0.8992102206035529,stable_good,-0.00626379737516225,-0.15179516045191221
21,5,0,100.0,25,5,0.5058392715710218,0.7112237844525602,0.7112237844525602,0.2317720442005396,0.6552588741535288,0.4136737307064076,0.3710008106225841,0.6552588741535288,0.4136737307064076,-0.1774417069468881,0.7055006859718398,0.3523688383546133,0.3730291161051808,0.7055006859718401,0.3523688383546134,stable_good,-0.05024181181831133,-0.061304892351794205
22,10,0,3.0,3,10,0.617353126104036,0.7857182230952998,0.7857182230952993,-2.983778381134956,0.0661374856947244,0.8158583637076099,-0.5577072279143922,0.0661374856947244,0.8158583637076099,-1.0439148870788877,0.1992935266970924,0.5603242746726974,-0.0906252912004599,0.1992935266970926,0.5603242746726974,no_skill,-0.13315604100236822,-0.2555340890349125
23,15,0,100.0,22,15,0.6382528997426113,0.7989073161153372,0.7989073161153369,-0.0553815136218136,0.447407892254069,0.8063678416017425,0.071321576815544,0.4474078922540688,0.8063678416017426,-0.8368463936002495,0.2131519253921791,0.5936097579164066,-0.09931441903064,0.2131519253921791,0.5936097579164067,other,0.2342559668618897,-0.21275808368533589
24,15,0,3.0,17,15,0.7145270765062339,0.8452970344832837,0.8452970344832836,-0.1267511811409378,0.4831763975505407,0.3686631289196751,0.2203461424573932,0.4831763975505407,0.3686631289196751,-0.9141314239025085,0.1239480158862485,0.4359726720662367,-0.0819962754221022,0.1239480158862485,0.4359726720662367,breakdown_late,0.3592283816642922,0.06730954314656157
