N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,n_folds_used
15,1,30.0,-0.021522849058370375,0.07029799771778972,0.3605194485064148,0.35448505277930875,2
15,1,100.0,-0.04890676577468894,0.11670471703814828,0.38027142455956964,0.2639156922742427,2
15,1,10.0,-0.05741971900539916,0.07846840851113929,0.3181437930322754,0.4466904590367731,2
15,0,300.0,-0.06337938068638282,0.11901502124164465,0.3733927227611983,0.16037261954347376,2
15,1,300.0,-0.06987720406719278,0.1493740790108068,0.3785353927108138,0.18929980661200435,2
10,0,300.0,-0.08027689360378426,0.12643771589568892,0.31043436128071017,0.16080236983461935,2
15,1,1000.0,-0.09167201037111378,0.13977593828897467,0.3772891248414991,0.10897167823116716,2
15,0,1000.0,-0.09236322019122345,0.09121170542549462,0.37690885840666133,0.08057527681130584,2
15,0,100.0,-0.1019171544074367,0.10321225521870064,0.36178121804401214,0.23762396071760683,2
10,0,1000.0,-0.10405301290462055,0.08856936394029058,0.3168861998518031,0.07417045035297307,2
10,1,1000.0,-0.1254122100265488,0.16952739113860849,0.3049761723004464,0.11083994463388849,2
10,0,100.0,-0.14709731847487062,0.13663446819860148,0.2964361970825631,0.2506992186365575,2
10,1,300.0,-0.15056298567372883,0.22351328479613353,0.2945539744002405,0.20452954110139437,2
15,1,3.0,-0.159474988943049,0.11834918504926051,0.2805438525460159,0.5435127197446689,2
5,0,1000.0,-0.16578069681492968,0.08967485831528388,0.21937086811387296,0.0757430897685078,2
5,0,300.0,-0.1778466343013836,0.16974508071019656,0.22364125965391746,0.1908036940004199,2
15,0,30.0,-0.1835296169601357,0.07444402200691091,0.3287106753596447,0.3203477927600914,2
5,1,1000.0,-0.18890578769039446,0.16693767075211075,0.16474981194481902,0.134766913044465,2
10,1,100.0,-0.21928170252925466,0.27617104342441884,0.2796719524832959,0.29028248319330474,2
5,0,100.0,-0.23383656692605886,0.2701881360182486,0.23373123980744184,0.3421568827176492,2
5,1,300.0,-0.2435783179361749,0.26551215488254976,0.1748547953680637,0.2837278226829569,2
15,0,10.0,-0.24518644842353254,0.13202634299512928,0.2858498964615712,0.3958056194694396,2
10,0,30.0,-0.28130848209269643,0.19485353831447594,0.27195342094499936,0.3353228239194497,2
15,0,3.0,-0.29716397424720636,0.32948279683254283,0.25088413970103873,0.4688781845976172,2
5,1,100.0,-0.3126447842911758,0.31456665957966845,0.19682385424842636,0.42075883777026174,2
5,0,30.0,-0.31863619165268053,0.33069408754767204,0.25540810459318636,0.48480602230453984,2
5,1,30.0,-0.34080348064104504,0.2916351804612777,0.23687616076314455,0.5280487844018613,2
10,1,30.0,-0.3515725146097518,0.4127538072953606,0.2647888373399906,0.38286093733348464,2
5,0,10.0,-0.36938301116534933,0.32124636826080666,0.28051018295917957,0.5664987538543448,2
15,0,1.0,-0.3721314074516715,0.47331713778360385,0.23996277200700855,0.5226037406285018,2
10,0,10.0,-0.391245156783536,0.3636572559194655,0.2571106611273942,0.4027108161643289,2
15,1,1.0,-0.41547203055147375,0.06222927301573555,0.22972690162070725,0.645084021932373,2
5,1,10.0,-0.43119065987455596,0.14784212017208465,0.2732672361556611,0.6266932624125515,2
5,0,3.0,-0.43849753808241443,0.2493572056672374,0.30305965093910714,0.6254079175696813,2
10,0,3.0,-0.47791262418366925,0.6016448617334798,0.2713969109309723,0.4623946197028289,2
15,0,0.1,-0.4989378330195461,0.5197812327707435,0.23715440475425148,0.5735876973238718,2
15,0,0.01,-0.5231026155859406,0.5174203961477639,0.2369837547920106,0.5811722980387255,2
15,0,0.001,-0.525729218664839,0.5170302002720761,0.23696753435025333,0.5819706011155527,2
15,0,0.0001,-0.525994150584015,0.5169894832689369,0.23696592009700063,0.5820508541209441,2
5,0,1.0,-0.5269907120569339,0.15571685337789964,0.3146382905167432,0.6608842702844373,2
10,1,10.0,-0.560847467175587,0.5993327434351058,0.2525156174570901,0.46755288539745476,2
10,0,1.0,-0.5642202239774881,0.7150777234865366,0.29518485005025435,0.501447771712661,2
5,0,0.1,-0.62174608113115,0.057899947441945376,0.321523966568785,0.6871781171959541,2
5,0,0.01,-0.6353757868704786,0.04394180627192723,0.3222896223950089,0.6904757608010886,2
5,0,0.001,-0.6367962888139116,0.042488263121276626,0.32236703574982384,0.6908142051620093,2
5,0,0.0001,-0.63693893600183,0.04234230986883025,0.3223747856387139,0.6908481389856398,2
10,0,0.1,-0.692428436298244,0.7195805215822092,0.31291214846102555,0.5365064125940243,2
10,0,0.01,-0.7148801246859084,0.7127103599630786,0.31481342723069095,0.5415567594665578,2
10,0,0.001,-0.7172831589655472,0.7118932191220478,0.3150028915337135,0.5420852685755188,2
10,0,0.0001,-0.7175251373492672,0.7118101131340181,0.31502182810912016,0.5421383661884507,2
10,1,3.0,-0.7888887228430983,0.7162207060576273,0.2202268415793468,0.5467828387238108,2
10,1,1.0,-1.0639443798350903,0.5025987032013335,0.12484187491541757,0.623994469849161,2
5,1,3.0,-1.1221643400215522,0.5907312479995526,0.2960064285829766,0.7778538097526462,2
5,1,1.0,-2.598657117768954,2.0912558313225764,0.30234763842871304,0.9327603249497731,2
5,1,0.1,-5.2793087295254715,4.788390870780371,0.30346191537056155,1.114305376827036,2
5,1,0.01,-5.84452497101639,5.3556605964046655,0.3034477880273718,1.1454319535414264,2
5,1,0.001,-5.907534938241479,5.418881456104293,0.30344513984752786,1.1487963104183572,2
5,1,0.0001,-5.913908764812252,5.42527642936731,0.3034448634664866,1.149135519053964,2
15,1,0.1,-11.638873072592963,11.288522113930375,0.0641177124903077,1.381742251617054,2
10,1,0.1,-13.939443832132863,12.449512536574804,-0.0600922590742963,1.316757891141822,2
15,1,0.01,-44.64849477653828,44.30722751569309,0.04095868769642452,2.2041874796272785,2
15,1,0.001,-54.041376066851406,53.70120586760748,0.03886106587953336,2.370910753748444,2
15,1,0.0001,-55.13328321779963,54.79322471157025,0.038654200674759,2.3892967082678216,2
10,1,0.01,-63.86475719849238,62.39267208199352,-0.0734129686512412,2.2787561189246075,2
10,1,0.001,-80.89750210494671,79.4273571481157,-0.07484064588213468,2.4990951428938457,2
10,1,0.0001,-82.96136077224035,81.49141146458639,-0.07498940096125215,2.5240485690059864,2
