N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,n_folds_used
10,1,1.0,0.1886943695740499,0.08653808464295015,0.5332314918494387,0.8249730251587531,2
10,0,0.0001,0.15568202899700567,0.06352923960455681,0.5234358350940118,0.7791710299990988,2
10,0,0.001,0.15564069661157276,0.06345304205110247,0.5233951250968369,0.7791152330966595,2
10,0,0.01,0.15522706728665053,0.06269208760173745,0.522988780601017,0.7785594250850623,2
10,0,0.1,0.151065738820316,0.05518483312931294,0.5189985925033754,0.7732071234090251,2
10,0,1.0,0.11011852597984528,0.010128001330094949,0.484892800501151,0.7336853983008232,2
5,0,0.0001,0.10491508088877927,0.20222134594210867,0.5238302324914803,0.7980349896985243,2
5,0,0.001,0.10488985244410431,0.20222065859049076,0.5238157556269838,0.7980020578581082,2
5,0,0.01,0.104637610292181,0.20221412904677483,0.5236713524460483,0.7976738088908124,2
5,0,0.1,0.10211983685464804,0.20218202607714536,0.5222627917841571,0.7944936793171491,2
5,0,1.0,0.07760635864834531,0.20420411339193767,0.5109039739466315,0.7698158993594248,2
10,1,3.0,0.07260297420215411,0.20241674572800594,0.48244887816203674,0.703038241796919,2
10,0,3.0,0.03777418540295935,0.10798047687392448,0.43263425728470284,0.6866342307087334,2
5,0,3.0,0.028013005951664505,0.21421136135877078,0.4951183575177406,0.7360342465317276,2
5,1,1.0,0.009745251689587509,0.3933446773669176,0.5380359604118843,0.8345702261667813,2
5,0,1000.0,-0.017060592069471414,0.07245919081242647,0.38169918504216227,0.12806312422047775,2
5,1,0.1,-0.03666919041462274,0.338179494003003,0.5580323198929018,0.9422608326600468,2
10,0,1000.0,-0.04096984558400241,0.1468294438629596,0.19472483765582554,0.1724494580666162,2
5,1,3.0,-0.04156264811586757,0.36286884055920304,0.485226252390892,0.7444629668830208,2
5,1,1000.0,-0.04993415237357923,0.07944809246348994,0.21948050824302243,0.18391374210665928,2
5,1,0.01,-0.05292698714241456,0.3211390772563613,0.5590730783985344,0.9599714882637345,2
5,1,0.001,-0.054790830501879495,0.3191986794170155,0.5591586236178363,0.9618654365132027,2
5,1,0.0001,-0.05497983724288913,0.31900203563603435,0.5591669761416908,0.9620561642841454,2
5,0,300.0,-0.08209457794685182,0.01817187841892154,0.3889234911458813,0.28865106619829434,2
10,0,10.0,-0.08919553639890976,0.24287118156060783,0.3496675727368979,0.6235593073735723,2
5,0,10.0,-0.09908265123360754,0.24554620863527737,0.46836235677796356,0.6756204794836721,2
10,1,1000.0,-0.12266463104108677,0.24664040323598174,0.09659813592772977,0.23122257509611538,2
10,0,300.0,-0.13661404394485926,0.16995750172767227,0.20863130109575562,0.3359447393593983,2
15,1,1.0,-0.14997263365538283,0.11789003078594762,0.2872290341139034,0.7122466098504582,2
15,0,1000.0,-0.16259470852577995,0.3088869257427267,0.012940153074219557,0.2025539371250806,2
10,1,10.0,-0.17282250310032776,0.4277662703112398,0.34347361117743397,0.6000051385492625,2
5,1,10.0,-0.19593336139016876,0.27598964467417614,0.3848067305633269,0.6611641138361453,2
10,0,30.0,-0.19653952485413406,0.28683437869315564,0.28520873948443587,0.5611473415968521,2
5,1,300.0,-0.22229061356365976,0.0320865210400747,0.23054483232637202,0.3588944694438583,2
15,1,1000.0,-0.2281433672680409,0.35319573056602377,-0.027499277407182526,0.25340579241397515,2
10,0,100.0,-0.23041391887090057,0.2187013297021868,0.23630009888265152,0.4679489810236219,2
5,0,100.0,-0.23227153092578467,0.19526090913769922,0.4052145679600405,0.4583947949632797,2
5,0,30.0,-0.24229783216135609,0.27399279940705584,0.43679428131819265,0.5953341697529742,2
15,1,3.0,-0.26738243868033534,0.359806618255941,0.2116515054557368,0.6776854469320919,2
10,1,300.0,-0.2757323063731101,0.33916911977991937,0.1182544675379467,0.37940054014160907,2
15,1,0.1,-0.2910919870739721,0.10479673825940106,0.4306819957413306,1.0103630032209665,2
10,1,30.0,-0.3026855651735903,0.507793847274427,0.22167536806318922,0.5365349316278673,2
15,0,300.0,-0.3064973366709268,0.4115673943017043,0.017456204160588323,0.3638142173533562,2
10,1,0.1,-0.3250639631398648,0.5891812829730438,0.5337226563789108,1.104332350762502,2
15,1,10.0,-0.3425053578218049,0.5196451510015676,0.1519203857883194,0.6205132344111223,2
10,1,100.0,-0.3459624452793486,0.4491022864302501,0.1533668462047412,0.4697700272701577,2
5,1,30.0,-0.3558520554461162,0.22583735987546527,0.3074950167810627,0.5937523890385745,2
15,1,300.0,-0.3849119075377938,0.4631951719121594,-0.01017908865802411,0.39208726344186895,2
5,1,100.0,-0.3956278815877746,0.16698461453593405,0.2551271416763639,0.4983632218156864,2
15,1,30.0,-0.415185314653185,0.5989930527870087,0.07734447491723967,0.5569550402260803,2
15,0,100.0,-0.4448073692486904,0.5614933914122557,0.020422427822341965,0.49119076041362,2
15,1,100.0,-0.4454241724877305,0.5760977746151016,0.019344303660724593,0.47996154676842573,2
15,0,30.0,-0.5583487523488405,0.7240026505018943,0.024702070259417425,0.616723039115687,2
15,0,10.0,-0.6845130491231073,0.8369768209258326,0.03757529447065511,0.7428271859914317,2
15,1,0.01,-0.8906834194212063,0.6791656410665681,0.41833690411123525,1.2966413999606627,2
15,0,3.0,-0.9502602050713135,1.0483716707106874,0.04440329474196597,0.9080139179328675,2
15,1,0.001,-1.0416570798938158,0.8274528415059429,0.4152018849691349,1.3564860318778904,2
15,1,0.0001,-1.0595203599703196,0.8450457191119483,0.414848552640393,1.3633129054932653,2
15,0,1.0,-1.4517687749310928,1.4973727533246273,0.03441594508390636,1.094620878005281,2
10,1,0.01,-2.198255441948362,2.459627227404926,0.48931237050011267,1.5472827314000164,2
15,0,0.1,-2.560303135144272,2.5573421815693864,0.02566921925657817,1.395101916309071,2
15,0,0.01,-3.0154161347101924,3.0057635771546725,0.025788378140384927,1.4931416124756551,2
15,0,0.001,-3.0906733998769016,3.080326319450269,0.02581125274400603,1.508123024780591,2
15,0,0.0001,-3.098755571834027,3.0883387758840106,0.025813420694131617,1.5097139798586339,2
10,1,0.001,-3.1161715832318686,3.377235604730778,0.4787500065112896,1.7110121235160094,2
10,1,0.0001,-3.2396269920279863,3.5006598716837396,0.4776093424440481,1.7315247363411568,2
