var,lon,mode,lag,corr,abs_corr
thetao,W40p0,3,0,-0.6881860957847493,0.6881860957847493
so,W60p0,1,0,0.6290256189916752,0.6290256189916752
so,W60p0,1,1,0.5451123166850947,0.5451123166850947
thetao,W60p0,2,0,-0.5414712758262854,0.5414712758262854
so,W40p0,2,0,0.5250203021515073,0.5250203021515073
so,W30p0,1,0,0.4935271880781361,0.4935271880781361
so,W40p0,2,2,0.4933812567755972,0.4933812567755972
so,W30p0,1,1,0.4927596440275584,0.4927596440275584
thetao,W40p0,4,0,-0.49157238927890284,0.49157238927890284
so,W40p0,2,1,0.48853955938520005,0.48853955938520005
thetao,W20p0,1,3,0.48578797924268485,0.48578797924268485
thetao,W20p0,1,2,0.48538958203369614,0.48538958203369614
so,W30p0,1,2,0.4853737965673013,0.4853737965673013
so,W40p0,3,0,-0.48347774221376344,0.48347774221376344
so,W10p0,3,1,0.47848170415190644,0.47848170415190644
thetao,W30p0,5,0,0.4498514805674776,0.4498514805674776
thetao,W60p0,4,21,-0.4431363331558742,0.4431363331558742
so,W60p0,9,0,-0.4419635332801655,0.4419635332801655
so,W10p0,3,0,0.4310332044143868,0.4310332044143868
so,W10p0,4,11,0.4295248158756274,0.4295248158756274
so,W20p0,1,0,0.42900881371514005,0.42900881371514005
so,W10p0,2,2,0.42768142297262485,0.42768142297262485
so,W20p0,6,0,0.4276247923039133,0.4276247923039133
so,W40p0,2,3,0.42460941938167646,0.42460941938167646
so,W10p0,2,1,0.4239030340451144,0.4239030340451144
thetao,W20p0,2,0,-0.4234938639657427,0.4234938639657427
so,W10p0,4,10,0.4208448667432111,0.4208448667432111
thetao,W60p0,4,22,-0.4195437221971357,0.4195437221971357
so,W30p0,2,4,-0.4169557610205316,0.4169557610205316
thetao,W40p0,6,3,0.4162529130955518,0.4162529130955518
so,W60p0,1,2,0.4160031531400887,0.4160031531400887
thetao,W40p0,3,1,-0.4159024066128293,0.4159024066128293
so,W20p0,1,1,0.41547348500647835,0.41547348500647835
thetao,W40p0,6,4,0.4111398668063527,0.4111398668063527
thetao,W60p0,2,1,-0.4077284004831271,0.4077284004831271
thetao,W10p0,6,12,0.40725441675559293,0.40725441675559293
so,W30p0,2,3,-0.40568244616491317,0.40568244616491317
so,W30p0,1,3,0.4033531389833936,0.4033531389833936
thetao,W40p0,10,22,0.40314085277411815,0.40314085277411815
thetao,W30p0,9,17,-0.40171225269912136,0.40171225269912136
thetao,W40p0,10,23,0.40124694103656394,0.40124694103656394
so,W20p0,1,2,0.4000552409847831,0.4000552409847831
thetao,W10p0,1,6,-0.397209481019331,0.397209481019331
thetao,W20p0,1,1,0.3932818441383017,0.3932818441383017
thetao,W10p0,1,5,-0.39008382808116815,0.39008382808116815
thetao,W20p0,1,4,0.3836886372827067,0.3836886372827067
so,W60p0,7,2,0.3834351409373215,0.3834351409373215
thetao,W60p0,5,0,0.382490644245925,0.382490644245925
thetao,W60p0,4,20,-0.3819315573335368,0.3819315573335368
thetao,W10p0,2,0,-0.3797547203946598,0.3797547203946598
so,W10p0,5,7,0.3786774781487268,0.3786774781487268
thetao,W10p0,8,3,-0.37512719482783474,0.37512719482783474
thetao,W10p0,6,13,0.3737839651979391,0.3737839651979391
so,W20p0,1,3,0.36960885001828236,0.36960885001828236
thetao,W40p0,3,2,-0.3678982787653302,0.3678982787653302
so,W30p0,2,2,-0.3657958329098652,0.3657958329098652
thetao,W30p0,9,18,-0.3652997437842885,0.3652997437842885
thetao,W20p0,8,19,0.3646753571534163,0.3646753571534163
so,W20p0,10,7,-0.3639018562338294,0.3639018562338294
so,W10p0,2,0,0.36293130989516115,0.36293130989516115
thetao,W40p0,6,2,0.36150316898874146,0.36150316898874146
so,W20p0,9,17,0.3614668104352512,0.3614668104352512
so,W30p0,8,22,0.361174733619149,0.361174733619149
thetao,W60p0,5,19,-0.3607161625438679,0.3607161625438679
so,W10p0,2,3,0.36029039340084995,0.36029039340084995
thetao,W10p0,8,4,-0.3602730403537046,0.3602730403537046
thetao,W20p0,6,0,-0.3594284566739349,0.3594284566739349
so,W60p0,9,20,0.35932142681242357,0.35932142681242357
thetao,W10p0,4,23,0.3592234546441952,0.3592234546441952
thetao,W10p0,3,17,0.35823359645440167,0.35823359645440167
thetao,W10p0,8,25,0.35728429102740883,0.35728429102740883
so,W10p0,5,1,0.35610177240966007,0.35610177240966007
thetao,W10p0,1,4,-0.35539877176239293,0.35539877176239293
thetao,W10p0,2,1,-0.3553192644881666,0.3553192644881666
thetao,W40p0,8,22,-0.35486123891220034,0.35486123891220034
so,W30p0,2,5,-0.35475790518262007,0.35475790518262007
so,W10p0,4,20,0.35028291672953493,0.35028291672953493
thetao,W10p0,3,16,0.3500733326739894,0.3500733326739894
thetao,W10p0,10,25,-0.34959200141800084,0.34959200141800084
thetao,W10p0,8,2,-0.3492901423228077,0.3492901423228077
so,W60p0,7,1,0.34826955899254985,0.34826955899254985
thetao,W10p0,1,3,-0.3481048300532351,0.3481048300532351
thetao,W30p0,6,19,0.34650343922245613,0.34650343922245613
thetao,W30p0,4,2,0.3446989401488255,0.3446989401488255
so,W30p0,8,23,0.34466534445155067,0.34466534445155067
so,W30p0,1,4,0.34254830326574515,0.34254830326574515
so,W60p0,9,19,0.342431218236477,0.342431218236477
so,W30p0,8,24,0.34209372155992435,0.34209372155992435
so,W20p0,10,6,-0.3412920936491985,0.3412920936491985
thetao,W30p0,5,1,0.3409394105029025,0.3409394105029025
thetao,W10p0,1,2,-0.34093036484086897,0.34093036484086897
thetao,W10p0,8,23,0.34086718695111434,0.34086718695111434
thetao,W10p0,1,0,-0.3407039982552071,0.3407039982552071
thetao,W10p0,8,5,-0.3400960596005516,0.3400960596005516
so,W60p0,7,3,0.3399332369174197,0.3399332369174197
so,W10p0,4,21,0.33964893475425517,0.33964893475425517
so,W20p0,1,4,0.3386019946812944,0.3386019946812944
thetao,W10p0,2,2,-0.3368330450485309,0.3368330450485309
thetao,W10p0,8,24,0.33667076844129695,0.33667076844129695
thetao,W30p0,4,7,0.33595607156752044,0.33595607156752044
so,W60p0,9,18,0.3346494096012936,0.3346494096012936
so,W40p0,8,24,-0.33435458714061544,0.33435458714061544
so,W60p0,7,16,-0.334316536532748,0.334316536532748
thetao,W40p0,8,21,-0.3332674834811683,0.3332674834811683
thetao,W30p0,8,7,-0.3323796999552509,0.3323796999552509
thetao,W10p0,3,3,0.33178428851580627,0.33178428851580627
thetao,W20p0,9,20,0.3315262118165967,0.3315262118165967
so,W20p0,9,23,0.3314768496630216,0.3314768496630216
thetao,W10p0,6,11,0.33075237780678196,0.33075237780678196
thetao,W10p0,3,18,0.33021276906124913,0.33021276906124913
thetao,W10p0,4,0,0.32997610307953174,0.32997610307953174
thetao,W30p0,9,20,-0.329646135804221,0.329646135804221
thetao,W30p0,4,6,0.3290052655794886,0.3290052655794886
so,W30p0,5,19,0.32815107255521386,0.32815107255521386
so,W10p0,4,4,0.32800442491064535,0.32800442491064535
thetao,W40p0,8,20,-0.3276326915605437,0.3276326915605437
so,W10p0,3,2,0.3263328163366203,0.3263328163366203
so,W10p0,5,15,0.3262588672813657,0.3262588672813657
thetao,W40p0,6,5,0.3259639585155678,0.3259639585155678
so,W20p0,3,11,0.3254701018100475,0.3254701018100475
thetao,W10p0,1,1,-0.32533940652130816,0.32533940652130816
thetao,W10p0,5,22,-0.3248987446554379,0.3248987446554379
thetao,W30p0,6,20,0.32431648197323215,0.32431648197323215
so,W60p0,2,16,-0.3243030835363827,0.3243030835363827
so,W10p0,3,7,0.3242954873953527,0.3242954873953527
so,W40p0,1,4,-0.3241768639005814,0.3241768639005814
so,W20p0,1,5,0.32385442382467516,0.32385442382467516
so,W10p0,1,22,0.32332563294616207,0.32332563294616207
thetao,W10p0,2,4,-0.3228146699246281,0.3228146699246281
so,W60p0,10,19,0.3224035083042371,0.3224035083042371
thetao,W60p0,6,3,0.3220795197620101,0.3220795197620101
