var,lon,mode,lag,corr,abs_corr
thetao,W20p0,2,0,-0.758659532069856,0.758659532069856
thetao,W60p0,2,0,-0.7526853728940296,0.7526853728940296
thetao,W40p0,4,0,-0.7518986870305235,0.7518986870305235
thetao,W60p0,2,18,-0.7427704122476777,0.7427704122476777
thetao,W60p0,2,19,-0.7390523271537087,0.7390523271537087
thetao,W60p0,2,20,-0.7382533371786428,0.7382533371786428
thetao,W10p0,1,19,-0.7320440032517556,0.7320440032517556
thetao,W60p0,2,12,-0.7308340541465468,0.7308340541465468
so,W20p0,1,21,0.7297743044249229,0.7297743044249229
thetao,W60p0,2,17,-0.726481062183428,0.726481062183428
thetao,W20p0,2,22,-0.7214996076097396,0.7214996076097396
thetao,W60p0,2,21,-0.7207351774968308,0.7207351774968308
so,W30p0,1,21,0.7185855269071242,0.7185855269071242
thetao,W40p0,2,0,-0.7144296187588574,0.7144296187588574
so,W20p0,1,20,0.7115537396006577,0.7115537396006577
so,W20p0,6,0,0.7106218380272796,0.7106218380272796
so,W30p0,1,22,0.7104721771221488,0.7104721771221488
so,W60p0,1,13,0.7101695989886352,0.7101695989886352
thetao,W60p0,2,16,-0.708913830312904,0.708913830312904
thetao,W60p0,2,11,-0.7074419231418086,0.7074419231418086
thetao,W60p0,2,13,-0.7061742867381089,0.7061742867381089
thetao,W60p0,2,24,-0.7049510670302349,0.7049510670302349
so,W60p0,1,18,0.7038581796107297,0.7038581796107297
so,W60p0,1,24,0.7036615837952401,0.7036615837952401
thetao,W20p0,2,21,-0.7033045609275054,0.7033045609275054
thetao,W60p0,2,22,-0.7029353254603111,0.7029353254603111
so,W60p0,1,25,0.7012473973397845,0.7012473973397845
thetao,W10p0,1,21,-0.7006541484088146,0.7006541484088146
thetao,W60p0,2,23,-0.7001142535722854,0.7001142535722854
thetao,W60p0,2,25,-0.6970062984487394,0.6970062984487394
thetao,W60p0,2,5,-0.6966900210555537,0.6966900210555537
thetao,W20p0,2,23,-0.696223196206227,0.696223196206227
thetao,W10p0,1,18,-0.6947708537187507,0.6947708537187507
thetao,W10p0,1,20,-0.6923407832139167,0.6923407832139167
so,W20p0,1,22,0.6919257036940105,0.6919257036940105
thetao,W60p0,2,15,-0.6900871968832787,0.6900871968832787
so,W30p0,1,20,0.6900851258609692,0.6900851258609692
thetao,W60p0,2,1,-0.6885218750490042,0.6885218750490042
so,W60p0,1,14,0.6878877595209237,0.6878877595209237
