var,lon,mode,lag,corr,abs_corr
so,W40p0,1,0,0.6243154064484189,0.6243154064484189
so,W10p0,5,23,0.6015519013783592,0.6015519013783592
thetao,W40p0,3,0,-0.5765498751733124,0.5765498751733124
so,W60p0,1,0,0.561841881580402,0.561841881580402
thetao,W20p0,1,2,0.5530935190890566,0.5530935190890566
thetao,W20p0,1,3,0.5447512710316285,0.5447512710316285
so,W60p0,1,1,0.53965212323722,0.53965212323722
so,W30p0,1,2,0.5327266591375525,0.5327266591375525
so,W40p0,2,2,0.5319810499019924,0.5319810499019924
so,W10p0,5,24,0.5154539851590512,0.5154539851590512
thetao,W40p0,1,0,0.5122674347963543,0.5122674347963543
so,W30p0,1,1,0.4993329340901288,0.4993329340901288
so,W30p0,2,0,0.4986085547578474,0.4986085547578474
so,W40p0,2,1,0.4973847951503195,0.4973847951503195
thetao,W60p0,1,0,0.4941352582815051,0.4941352582815051
thetao,W60p0,4,25,-0.4802801111863117,0.4802801111863117
so,W10p0,5,25,0.47901054731436815,0.47901054731436815
so,W60p0,1,2,0.47706826078453507,0.47706826078453507
thetao,W60p0,2,0,-0.4749771150348959,0.4749771150348959
thetao,W60p0,1,1,0.4698985573313075,0.4698985573313075
thetao,W30p0,5,2,0.46498977530542346,0.46498977530542346
so,W40p0,2,3,0.46332793930862826,0.46332793930862826
thetao,W20p0,4,22,-0.46187747044669714,0.46187747044669714
thetao,W20p0,1,4,0.4614112005495715,0.4614112005495715
thetao,W30p0,2,0,-0.4542015923058611,0.4542015923058611
so,W30p0,4,0,-0.45368763058797834,0.45368763058797834
thetao,W30p0,5,0,0.4524045560335298,0.4524045560335298
thetao,W30p0,4,2,0.45031942657242985,0.45031942657242985
thetao,W30p0,5,1,0.44929019785570073,0.44929019785570073
thetao,W20p0,2,0,-0.44904938579720766,0.44904938579720766
so,W40p0,7,20,-0.4458869104863474,0.4458869104863474
thetao,W20p0,4,21,-0.4456525356488876,0.4456525356488876
so,W40p0,3,0,-0.44250996901242085,0.44250996901242085
so,W20p0,6,1,0.4402000101335483,0.4402000101335483
so,W20p0,6,0,0.4379621029901645,0.4379621029901645
so,W10p0,8,0,-0.43509866602498753,0.43509866602498753
so,W40p0,5,0,-0.4347387372643288,0.4347387372643288
thetao,W60p0,4,16,-0.4303397253853957,0.4303397253853957
