N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used,gap_used,trim_val_start_by,y_transform,pc_transform
3,1,1.0,-0.07208883762033275,0.41362133578012955,0.31159973814335584,0.7525407340835164,7.5,10.0,2,15,maxlag,detrend,detrend
3,1,0.1,-0.07762995161155689,0.40078663831544986,0.31084914172638817,0.7628230668505546,7.5,10.0,2,15,maxlag,detrend,detrend
3,1,0.01,-0.07868204690821601,0.3989924685760705,0.31053878036498533,0.7638957688994421,7.5,10.0,2,15,maxlag,detrend,detrend
3,1,0.001,-0.07879440754501421,0.3988057845874864,0.31050424056041603,0.7640028991610195,7.5,10.0,2,15,maxlag,detrend,detrend
3,1,10.0,-0.09608855680331024,0.4504970241353233,0.2868385593647773,0.7075532676295901,7.5,10.0,2,15,maxlag,detrend,detrend
3,1,20.0,-0.1253374611379755,0.4732279960416913,0.26641932298336124,0.6973186622666483,7.5,10.0,2,15,maxlag,detrend,detrend
1,1,100.0,-0.1320082277720458,0.14762820441371338,0.43453139157272463,0.6538067168662467,2.5,7.0,2,15,maxlag,detrend,detrend
1,1,50.0,-0.13391981147016124,0.14792126638513453,0.43377573882926523,0.6543944119805605,2.5,7.0,2,15,maxlag,detrend,detrend
1,1,30.0,-0.13597240286385037,0.14807332477216095,0.4329226112568783,0.6550371906817012,2.5,7.0,2,15,maxlag,detrend,detrend
1,1,20.0,-0.1380001223208313,0.1480486345270498,0.4320263013892553,0.6556839923359922,2.5,7.0,2,15,maxlag,detrend,detrend
1,1,10.0,-0.1421122771573723,0.1474358611658565,0.4299821276486683,0.6570284068242647,2.5,7.0,2,15,maxlag,detrend,detrend
3,1,30.0,-0.1486661582839235,0.49206669071676945,0.2534810608500505,0.6961844605835945,7.5,10.0,2,15,maxlag,detrend,detrend
5,1,1.0,-0.14923060502068813,0.5043535026129509,0.2656790846139495,0.7174352177113226,11.5,14.5,2,15,maxlag,detrend,detrend
1,1,1.0,-0.15572984721003336,0.14031883960588154,0.4188162387970122,0.6615218355021553,2.5,7.0,2,15,maxlag,detrend,detrend
1,1,0.1,-0.16068615961098665,0.13639044270551282,0.41164912541879084,0.662899022403304,2.5,7.0,2,15,maxlag,detrend,detrend
1,1,0.01,-0.16134833976438157,0.1358370430047413,0.4104775853709432,0.6630538552703951,2.5,7.0,2,15,maxlag,detrend,detrend
1,1,0.001,-0.16141678398435666,0.13577954021411098,0.410352903633044,0.6630693223818261,2.5,7.0,2,15,maxlag,detrend,detrend
5,1,0.1,-0.1699866089991139,0.4703175049158054,0.27025270245672284,0.7597081465456471,11.5,14.5,2,15,maxlag,detrend,detrend
5,1,0.01,-0.17819385802251358,0.4606048228071497,0.27034138750841397,0.7669371912539591,11.5,14.5,2,15,maxlag,detrend,detrend
5,1,0.001,-0.17917190680084905,0.4594742492593744,0.2703390188881152,0.7677235220019611,11.5,14.5,2,15,maxlag,detrend,detrend
1,0,0.1,-0.1810559583388751,0.16731373886527123,0.3861262679508641,0.6530575553266176,1.0,6.0,2,15,maxlag,detrend,detrend
1,0,1.0,-0.18105595833887522,0.16731373886527112,0.38612626795086413,0.6530575553266177,1.0,6.0,2,15,maxlag,detrend,detrend
1,0,30.0,-0.18105595833887533,0.167313738865271,0.3861262679508641,0.6530575553266178,1.0,6.0,2,15,maxlag,detrend,detrend
1,0,100.0,-0.18105595833887533,0.16731373886527146,0.3861262679508641,0.6530575553266178,1.0,6.0,2,15,maxlag,detrend,detrend
1,0,20.0,-0.18105595833887567,0.16731373886527157,0.38612626795086413,0.653057555326618,1.0,6.0,2,15,maxlag,detrend,detrend
1,0,50.0,-0.18105595833887567,0.1673137388652718,0.3861262679508641,0.6530575553266178,1.0,6.0,2,15,maxlag,detrend,detrend
1,0,0.01,-0.18105595833887567,0.16731373886527157,0.3861262679508641,0.653057555326618,1.0,6.0,2,15,maxlag,detrend,detrend
1,0,0.001,-0.1810559583388759,0.16731373886527134,0.3861262679508641,0.6530575553266181,1.0,6.0,2,15,maxlag,detrend,detrend
1,0,10.0,-0.1810559583388759,0.16731373886527157,0.386126267950864,0.653057555326618,1.0,6.0,2,15,maxlag,detrend,detrend
3,1,50.0,-0.18354224600171976,0.5214866429100626,0.23853501047187559,0.7003775839008515,7.5,10.0,2,15,maxlag,detrend,detrend
2,1,0.01,-0.23427925120232507,0.2237368252216354,0.3343352272986668,0.6439161556012709,4.5,10.0,2,15,maxlag,detrend,detrend
2,1,0.001,-0.23428005007814978,0.22363042113895737,0.334297502944892,0.6439335650102528,4.5,10.0,2,15,maxlag,detrend,detrend
2,1,0.1,-0.23431882676785176,0.22474991699670666,0.3346618391153495,0.6437439868990691,4.5,10.0,2,15,maxlag,detrend,detrend
3,1,100.0,-0.23432391784853718,0.5661932063341366,0.2233860137622531,0.7128957497804655,7.5,10.0,2,15,maxlag,detrend,detrend
2,1,1.0,-0.23704631775542484,0.23221586599812538,0.33523249248817105,0.6422181196175301,4.5,10.0,2,15,maxlag,detrend,detrend
5,1,10.0,-0.24771931435944117,0.4641147816996125,0.2206984039674995,0.6255650381410196,11.5,14.5,2,15,maxlag,detrend,detrend
2,1,10.0,-0.274510903213959,0.27182787842946854,0.3160611258412528,0.6378296489171649,4.5,10.0,2,15,maxlag,detrend,detrend
3,0,0.001,-0.29352521638541923,0.5710380662992971,0.2169366500780356,0.7503758118671224,3.0,9.0,2,15,maxlag,detrend,detrend
3,0,0.01,-0.2935292590755439,0.5710582577379317,0.21695846166266727,0.7503726874829422,3.0,9.0,2,15,maxlag,detrend,detrend
3,0,0.1,-0.29357551140107224,0.5712537238872699,0.21716836740256407,0.7503383466767175,3.0,9.0,2,15,maxlag,detrend,detrend
3,0,1.0,-0.29446270074128655,0.5727229248774222,0.21866020268916458,0.7498128365229006,3.0,9.0,2,15,maxlag,detrend,detrend
