N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used,gap_used,trim_val_start_by,y_transform,pc_transform,score
15,2,10.0,-0.6101063624099026,0.9656473212759549,0.48385410061636414,1.0146016090421843,33.333333333333336,18.333333333333332,6,0,maxlag,detrend,detrend,0.4736329742868351
10,2,1.0,-0.8854798482845551,0.8417482868043241,0.4493437587458365,0.9642041050349045,26.333333333333332,18.0,6,0,maxlag,detrend,detrend,0.42428663227026964
10,2,0.3,-1.0057841793220283,0.8633798076034728,0.42536243822721254,1.0109534913491733,26.333333333333332,18.0,6,0,maxlag,detrend,detrend,0.4176949942827912
15,2,3.0,-0.7453254763847376,1.0094107930099891,0.4840925035924409,1.1007503350475776,33.333333333333336,18.333333333333332,6,0,maxlag,detrend,detrend,0.4135672690591366
10,2,3.0,-0.7421540755943079,0.8232187387668413,0.47677182921398903,0.9048618839712469,26.333333333333332,18.0,6,0,maxlag,detrend,detrend,0.41017514799386184
15,2,30.0,-0.5431610206347514,0.9106205527359512,0.4483886376869075,0.93862422973241,33.333333333333336,18.333333333333332,6,0,maxlag,detrend,detrend,0.40542559849959453
5,2,1.0,-0.9941334578983305,0.7001143721189268,0.40458856707318286,0.9996923744537032,15.0,16.0,6,0,maxlag,detrend,detrend,0.40437322919077506
5,2,0.3,-1.017403597687642,0.7251325513155995,0.4047709805808202,1.0107484033921812,15.0,16.0,6,0,maxlag,detrend,detrend,0.3972470982062934
5,2,0.1,-1.0266408324528709,0.7340935854483417,0.4043100950728807,1.0143325853190792,15.0,16.0,6,0,maxlag,detrend,detrend,0.3942772853495252
5,2,0.03,-1.030354490955552,0.737317364582652,0.4040291034583903,1.0156057756208938,15.0,16.0,6,0,maxlag,detrend,detrend,0.39310506052376465
5,2,0.01,-1.031480864953849,0.7382263949786686,0.4039305704905618,1.0159679942621669,15.0,16.0,6,0,maxlag,detrend,detrend,0.392752974507045
5,2,0.003,-1.0318832445102208,0.738541756634807,0.4038936948767078,1.0160943979657537,15.0,16.0,6,0,maxlag,detrend,detrend,0.39262761630068016
5,2,0.001,-1.0319990341101841,0.7386315343165352,0.4038829135217421,1.0161304703172915,15.0,16.0,6,0,maxlag,detrend,detrend,0.39259158429963803
5,2,0.0003,-1.0320396488318855,0.7386629200224643,0.40387911358073,1.0161430908436933,15.0,16.0,6,0,maxlag,detrend,detrend,0.3925789499901447
5,2,0.0001,-1.0320512615075141,0.7386718838250483,0.4038780253422643,1.0161466962433154,15.0,16.0,6,0,maxlag,detrend,detrend,0.3925753379719435
10,2,0.1,-1.062544699317262,0.8770347225950316,0.4148003925509249,1.0325616168716019,26.333333333333332,18.0,6,0,maxlag,detrend,detrend,0.39200726074080355
20,2,30.0,-0.57063406968722,0.898055795419469,0.3960784013367697,0.9830419084666552,41.0,18.333333333333332,6,0,maxlag,detrend,detrend,0.38420773726342833
5,2,3.0,-0.9620542924012107,0.6615501917244331,0.399428771357615,0.9778588308952828,15.0,16.0,6,0,maxlag,detrend,detrend,0.383929952984313
10,2,0.03,-1.0873986498097177,0.8839040177405707,0.41031265948396456,1.0421579257628504,26.333333333333332,18.0,6,0,maxlag,detrend,detrend,0.3808021114499693
10,2,0.01,-1.0951634500132925,0.8861717396307167,0.4089230331563564,1.0451952755986798,26.333333333333332,18.0,6,0,maxlag,detrend,detrend,0.3772863402372806
10,2,0.003,-1.0979606871811864,0.8870032015832445,0.40842351541731,1.0462955098036357,26.333333333333332,18.0,6,0,maxlag,detrend,detrend,0.37601665855476496
10,2,0.001,-1.098767803549749,0.887244548828463,0.4082794775189704,1.0466136211127843,26.333333333333332,18.0,6,0,maxlag,detrend,detrend,0.3756499427400214
10,2,0.0003,-1.0990511365358597,0.8873294249816203,0.408228923298227,1.0467253630592503,26.333333333333332,18.0,6,0,maxlag,detrend,detrend,0.37552116915675177
10,2,0.0001,-1.0991321693846878,0.887353714048961,0.4082144657374223,1.0467573279530369,26.333333333333332,18.0,6,0,maxlag,detrend,detrend,0.3754843361702965
20,2,10.0,-0.6062509179087767,0.9521657298212225,0.42491993250290566,1.0738595824057067,41.0,18.333333333333332,6,0,maxlag,detrend,detrend,0.373218224818911
10,2,10.0,-0.62731967205154,0.7951535931490809,0.47007031941732547,0.8561708386387384,26.333333333333332,18.0,6,0,maxlag,detrend,detrend,0.36938990646444236
30,2,10.0,-0.837844596170651,0.9410385439264128,0.3749799316372561,1.013163236224327,57.666666666666664,19.0,6,0,maxlag,detrend,detrend,0.3657656662802272
15,2,1.0,-0.8787754521207728,1.0557034620417325,0.4684311186306133,1.1634699007495264,33.333333333333336,18.333333333333332,6,0,maxlag,detrend,detrend,0.35400218810594486
15,0,0.0001,-0.8988814251943419,1.0569205504410695,0.3621863415920936,0.978138284919333,15.0,16.333333333333332,6,0,maxlag,detrend,detrend,0.3468831410356267
15,0,0.0003,-0.8988670736331263,1.0569161564544345,0.3621883511583501,0.9781310892630972,15.0,16.333333333333332,6,0,maxlag,detrend,detrend,0.34688011364251814
15,0,0.001,-0.8988168874600507,1.0569007654723084,0.3621953710326337,0.9781059377164004,15.0,16.333333333333332,6,0,maxlag,detrend,detrend,0.34686952743411403
15,0,0.003,-0.8986738758694877,1.0568566897956244,0.36221531211221264,0.9780343596126798,15.0,16.333333333333332,6,0,maxlag,detrend,detrend,0.3468393638410885
15,0,0.01,-0.8981776567752924,1.0567013041463549,0.36228379139548633,0.9777870842686753,15.0,16.333333333333332,6,0,maxlag,detrend,detrend,0.34673475038355905
