var,lon,mode,lag,corr,abs_corr
thetao,W40p0,6,2,0.6400842201453513,0.6400842201453513
thetao,W40p0,6,1,0.6348128106908089,0.6348128106908089
thetao,W40p0,6,3,0.6314259542969102,0.6314259542969102
so,W10p0,7,7,-0.5851416689024876,0.5851416689024876
thetao,W40p0,6,0,0.5728384928483681,0.5728384928483681
so,W10p0,7,8,-0.569767630397266,0.569767630397266
thetao,W30p0,9,1,-0.5697606302012873,0.5697606302012873
thetao,W30p0,9,0,-0.5684250788479719,0.5684250788479719
so,W60p0,3,1,0.5655086746567957,0.5655086746567957
thetao,W30p0,9,2,-0.5653694578409527,0.5653694578409527
so,W10p0,7,6,-0.5614178643656492,0.5614178643656492
thetao,W40p0,6,4,0.5607110553173406,0.5607110553173406
so,W60p0,3,2,0.5605463591058895,0.5605463591058895
so,W60p0,1,1,0.5512292090944306,0.5512292090944306
so,W40p0,2,2,-0.5479293682534906,0.5479293682534906
thetao,W30p0,9,3,-0.5437235126384757,0.5437235126384757
so,W60p0,3,0,0.5423308084671101,0.5423308084671101
so,W10p0,2,15,0.541254272626311,0.541254272626311
so,W60p0,1,0,0.5397544654098038,0.5397544654098038
thetao,W40p0,7,0,0.5326747894019691,0.5326747894019691
so,W10p0,7,5,-0.5268786232819036,0.5268786232819036
thetao,W40p0,7,1,0.5218467856740627,0.5218467856740627
thetao,W20p0,7,0,-0.5197211624707977,0.5197211624707977
so,W40p0,2,3,-0.5179890218914249,0.5179890218914249
thetao,W30p0,9,4,-0.5176123230488029,0.5176123230488029
so,W60p0,3,3,0.5176057422148352,0.5176057422148352
so,W10p0,7,9,-0.5083026939082096,0.5083026939082096
so,W10p0,2,14,0.5076000912555929,0.5076000912555929
so,W10p0,2,16,0.503624094604865,0.503624094604865
thetao,W40p0,7,2,0.4989529839022408,0.4989529839022408
thetao,W40p0,5,0,-0.4969930187145435,0.4969930187145435
so,W10p0,7,4,-0.49666189226868185,0.49666189226868185
thetao,W20p0,7,1,-0.49319580655608436,0.49319580655608436
so,W10p0,7,3,-0.49121947747264944,0.49121947747264944
thetao,W40p0,6,5,0.4908532003028407,0.4908532003028407
thetao,W30p0,9,5,-0.4889871956280364,0.4889871956280364
