N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used,gap_used,trim_val_start_by,y_transform,pc_transform,score
15,2,0.3,-0.16799573380301705,0.36901730009305406,0.4789015898889282,1.0210110418289318,59.333333333333336,15.0,6,0,none,diff1,diff1,0.464193860608676
10,2,0.0001,-0.048990295880737965,0.3580567600585275,0.47297630276070574,0.9419749315145646,40.666666666666664,15.0,6,0,none,diff1,diff1,0.4323587548209009
10,2,0.0003,-0.048891271315014695,0.3579264480525185,0.47297302519316736,0.9419029847637418,40.666666666666664,15.0,6,0,none,diff1,diff1,0.43230511452778664
10,2,0.001,-0.048545852288006675,0.35747198913341827,0.4729615298394057,0.9416517855306208,40.666666666666664,15.0,6,0,none,diff1,diff1,0.43211777971084026
10,2,0.003,-0.04756882716702918,0.35618736968022624,0.4729284848446831,0.9409392874484569,40.666666666666664,15.0,6,0,none,diff1,diff1,0.43158598605860293
10,2,0.01,-0.044260224262024396,0.35184647274717396,0.4728106101709461,0.9385044056862745,40.666666666666664,15.0,6,0,none,diff1,diff1,0.42976369415133825
10,2,0.03,-0.035658671003998076,0.3406344790422133,0.47245776079895485,0.9320065163967429,40.666666666666664,15.0,6,0,none,diff1,diff1,0.4248623222766749
10,2,0.1,-0.012712144409201542,0.3113776066668238,0.4711145504590344,0.913303592804026,40.666666666666664,15.0,6,0,none,diff1,diff1,0.4104270654218526
15,2,0.1,-0.32589087975230996,0.49884842132572627,0.48431565840824536,1.1229333355394744,59.333333333333336,15.0,6,0,none,diff1,diff1,0.3982623235306133
15,2,1.0,-0.008377303541144188,0.2635678681640988,0.46994949253088975,0.8796154815596022,59.333333333333336,15.0,6,0,none,diff1,diff1,0.38568032962261134
10,2,0.3,0.02365510402976419,0.2682132250377983,0.46713437464629154,0.8781281268529737,40.666666666666664,15.0,6,0,none,diff1,diff1,0.38182406344337316
20,2,1.0,-0.19852258360862898,0.08183759150134683,0.3955534603438659,0.9579566987150594,80.66666666666667,15.0,6,0,none,diff1,diff1,0.3661231494444075
15,2,0.03,-0.4393692107577863,0.6138083290995643,0.4881981195355671,1.1836238143273545,59.333333333333336,15.0,6,0,none,diff1,diff1,0.3596614495064189
15,2,0.01,-0.48669149300197967,0.6658717831247584,0.48974147423288894,1.2066547358826887,59.333333333333336,15.0,6,0,none,diff1,diff1,0.34508315911500687
15,2,0.003,-0.5059468656283226,0.6876355765274447,0.49034101717850104,1.2156802193790714,59.333333333333336,15.0,6,0,none,diff1,diff1,0.33936486361315105
20,2,3.0,-0.0037042661384841433,0.05165483728049049,0.4363504910391763,0.8591144186761918,80.66666666666667,15.0,6,0,none,diff1,diff1,0.3377305841125105
15,2,0.001,-0.5117652681820147,0.6942730630049252,0.4905182740247134,1.2183694645774343,59.333333333333336,15.0,6,0,none,diff1,diff1,0.33765964882050936
15,2,0.0003,-0.5138376714020167,0.6966438644350641,0.490580946391797,1.2193231192363136,59.333333333333336,15.0,6,0,none,diff1,diff1,0.3370547629263775
15,2,0.0001,-0.5144332950690863,0.6973258909366634,0.4905989131558904,1.2195967997335895,59.333333333333336,15.0,6,0,none,diff1,diff1,0.3368811533423778
10,2,1.0,0.0669575472946216,0.23034081746625928,0.45472145564492,0.8197122548256354,40.666666666666664,15.0,6,0,none,diff1,diff1,0.3285200340228648
30,2,0.0001,-0.16758669858637343,0.22880430546323266,0.3977647943249571,0.8755317596800585,119.66666666666667,15.0,6,0,none,diff1,diff1,0.310637026100998
30,2,0.0003,-0.16756265790415073,0.22879259629665763,0.3977686083071028,0.8755202780816261,119.66666666666667,15.0,6,0,none,diff1,diff1,0.3106328029642411
30,2,0.001,-0.16747855865850325,0.22875164831283434,0.39778194843501397,0.875480104305126,119.66666666666667,15.0,6,0,none,diff1,diff1,0.3106180214486022
30,2,0.003,-0.167238643928619,0.2286349453838115,0.39781998782935885,0.8753654232238288,119.66666666666667,15.0,6,0,none,diff1,diff1,0.31057578408603903
30,2,0.01,-0.1664032083543162,0.2282298464114325,0.39795225749091406,0.8749652132019179,119.66666666666667,15.0,6,0,none,diff1,diff1,0.3104279067322566
30,2,0.03,-0.16405189997720726,0.22710030748176047,0.39832296958992375,0.873831663729146,119.66666666666667,15.0,6,0,none,diff1,diff1,0.31000513420032594
30,2,0.1,-0.15620632914756147,0.2234399494670294,0.3995447225884012,0.8699744134182099,119.66666666666667,15.0,6,0,none,diff1,diff1,0.3085268119811481
30,2,0.3,-0.1364676021962,0.2148744290595351,0.4025390253089318,0.8597874992273193,119.66666666666667,15.0,6,0,none,diff1,diff1,0.30439027476805536
20,2,10.0,0.13169187486318124,0.12031859581786192,0.46120091650397127,0.7596235748045487,80.66666666666667,15.0,6,0,none,diff1,diff1,0.29293741886715535
15,2,3.0,0.0927698534178693,0.19022556706398389,0.45470611293414614,0.7679557705257986,59.333333333333336,15.0,6,0,none,diff1,diff1,0.29227515230220513
30,2,1.0,-0.08627043322570642,0.1954578285605062,0.4099616752343425,0.8311582432296133,119.66666666666667,15.0,6,0,none,diff1,diff1,0.2917724454950718
15,1,0.0001,-0.49720481510819353,0.744858569947025,0.31116587603963763,0.9667133448422965,39.666666666666664,15.0,6,0,none,diff1,diff1,0.2878652174292452
15,1,0.0003,-0.49686903824667433,0.7443998571880893,0.3111601524126684,0.9665788952688477,39.666666666666664,15.0,6,0,none,diff1,diff1,0.2877653791008618
15,1,0.001,-0.4956975199550631,0.7427995880741785,0.3111401351813016,0.9661094415354742,39.666666666666664,15.0,6,0,none,diff1,diff1,0.28741674425613356
15,1,0.003,-0.49238175653512944,0.7382717726034326,0.31108307577721567,0.9647776754417475,39.666666666666664,15.0,6,0,none,diff1,diff1,0.2864274485864389
30,1,1.0,-0.3510203901501379,0.16491984227215067,0.3135747496874819,0.9575627481935355,79.0,15.0,6,0,none,diff1,diff1,0.28386867342295674
15,1,0.01,-0.48113233627212093,0.7229267224844309,0.31088492124670103,0.9602250953075782,39.666666666666664,15.0,6,0,none,diff1,diff1,0.28304248796200576
20,1,0.3,-0.3707032872866301,0.08105563792725493,0.29906479301199446,0.9749319731658689,53.333333333333336,15.0,6,0,none,diff1,diff1,0.2815171742281027
20,2,0.3,-0.5224392840938785,0.3382354237497686,0.3535017068542086,1.1055629661083677,80.66666666666667,15.0,6,0,none,diff1,diff1,0.27960763057835125
20,1,0.1,-0.4500847326602558,0.14887978146184622,0.2874337439278122,1.0131351957834343,53.333333333333336,15.0,6,0,none,diff1,diff1,0.2782391068794082
15,1,0.03,-0.45178236484434553,0.6830242608998632,0.3103321970254775,0.9480866018588793,39.666666666666664,15.0,6,0,none,diff1,diff1,0.273992818326693
30,2,3.0,-0.007221457995488863,0.1635506446379979,0.42236301586626473,0.7794948040843712,119.66666666666667,15.0,6,0,none,diff1,diff1,0.2680093787253246
10,2,3.0,0.09125599622430658,0.23950990610320613,0.42986114706665557,0.7626863715239995,40.666666666666664,15.0,6,0,none,diff1,diff1,0.2637416071334553
20,1,1.0,-0.26046636871131074,0.0366416117423513,0.31486267233220655,0.9169040475852904,53.333333333333336,15.0,6,0,none,diff1,diff1,0.25669550564190985
40,1,0.3,-0.3660007906001059,0.15874423020994324,0.29300553225382914,0.9439218016288615,104.33333333333333,15.0,6,0,none,diff1,diff1,0.2537507933940322
15,1,0.1,-0.37384500858500375,0.5783420622747893,0.3085564963741482,0.9137733172278547,39.666666666666664,15.0,6,0,none,diff1,diff1,0.24819781843364652
20,1,0.03,-0.5316057114872854,0.24346448367565424,0.27957015348750325,1.0525538070057756,53.333333333333336,15.0,6,0,none,diff1,diff1,0.24278248858346033
20,2,30.0,0.1771317881759599,0.14258469406262914,0.4597083875446788,0.6817086130736665,80.66666666666667,15.0,6,0,none,diff1,diff1,0.23690441669624535
40,1,0.1,-0.638102702918458,0.47569772470052546,0.25230742213742585,1.028979493584729,104.33333333333333,15.0,6,0,none,diff1,diff1,0.23202177662811557
40,0,0.03,0.06053689902733524,0.12299394245822093,0.411831043103899,0.7426722822752064,40.0,15.0,6,0,none,diff1,diff1,0.23170164069654353
40,0,0.1,0.06367925762742092,0.12087286886906831,0.41310631510948004,0.7408434816123393,40.0,15.0,6,0,none,diff1,diff1,0.23169675223811753
40,0,0.01,0.059593574021872896,0.12365105719486827,0.4114444558144496,0.7432109988832009,40.0,15.0,6,0,none,diff1,diff1,0.23169215503269022
40,0,0.003,0.05925835523246933,0.12388675386261763,0.41130668935890496,0.7434013445923875,40.0,15.0,6,0,none,diff1,diff1,0.23168763057357622
40,0,0.001,0.059162088645022294,0.12395464959203094,0.4112670893197381,0.7434559028540946,40.0,15.0,6,0,none,diff1,diff1,0.2316862213176043
40,0,0.0003,0.05912834361248757,0.12397847161922364,0.41125320415914834,0.7434750165931424,40.0,15.0,6,0,none,diff1,diff1,0.23168571577434804
40,0,0.0001,0.059118697239683736,0.12398528349683265,0.4112492345715623,0.7434804794117188,40.0,15.0,6,0,none,diff1,diff1,0.23168557015976549
40,0,0.3,0.07149202199469722,0.11610025159698474,0.41617693777001313,0.7360368966312761,40.0,15.0,6,0,none,diff1,diff1,0.23140276541190644
30,2,10.0,0.09685152877293719,0.11050285531904692,0.4424395517808908,0.698221864543208,119.66666666666667,15.0,6,0,none,diff1,diff1,0.2311948569611364
40,0,1.0,0.09010641335448359,0.10853254939189012,0.42261708136969706,0.7224717588724153,40.0,15.0,6,0,none,diff1,diff1,0.2283473125803878
30,1,3.0,-0.21093013871753583,0.08768490369565958,0.32025435097645044,0.8632161686421885,79.0,15.0,6,0,none,diff1,diff1,0.2245056690259824
30,1,0.3,-0.6571610047180276,0.4080379913010154,0.3007727229858581,1.1099224234669578,79.0,15.0,6,0,none,diff1,diff1,0.22382702655898767
20,1,0.01,-0.5881270936955945,0.31643872320456284,0.27710390899216686,1.079975189106752,53.333333333333336,15.0,6,0,none,diff1,diff1,0.2211212766174405
15,2,10.0,0.17412480984360312,0.1957876832166668,0.44197368099517903,0.680245026805764,59.333333333333336,15.0,6,0,none,diff1,diff1,0.21814519975921387
20,1,3.0,-0.1275431669562899,0.09492805331065257,0.3325804723676054,0.8350475138409533,53.333333333333336,15.0,6,0,none,diff1,diff1,0.21711373205627274
40,0,3.0,0.11380872923201253,0.1119216014538559,0.4273385587095444,0.6966698330465816,40.0,15.0,6,0,none,diff1,diff1,0.21500744184215154
40,1,1.0,-0.1709625518996134,0.12058667868378575,0.3225479648006999,0.8418593569774456,104.33333333333333,15.0,6,0,none,diff1,diff1,0.21184951468491187
20,1,0.003,-0.6251134549002577,0.36597037853460757,0.27677294783604395,1.098079207385235,53.333333333333336,15.0,6,0,none,diff1,diff1,0.20811750266637946
15,1,0.3,-0.2592614613352775,0.4314770000212708,0.30477590536667964,0.8561840525169142,39.666666666666664,15.0,6,0,none,diff1,diff1,0.2041047421285196
20,1,0.001,-0.6405817968696099,0.3869706650020325,0.2768621775879525,1.1056437025610446,53.333333333333336,15.0,6,0,none,diff1,diff1,0.20291158579522128
20,1,0.0003,-0.6469110645231507,0.39560148583003035,0.27692660380834005,1.1087287746503243,53.333333333333336,15.0,6,0,none,diff1,diff1,0.20081646155311306
20,1,0.0001,-0.6488275356224302,0.3982187788536708,0.2769488165804535,1.1096613350104245,53.333333333333336,15.0,6,0,none,diff1,diff1,0.20018588207315635
30,2,30.0,0.17261777977381096,0.08129227435053608,0.46154542329551856,0.6212505023561623,119.66666666666667,15.0,6,0,none,diff1,diff1,0.19642077494483218
10,2,10.0,0.10118449835695942,0.27717508147321784,0.3971871954478114,0.7089451660012092,40.666666666666664,15.0,6,0,none,diff1,diff1,0.19344881164865782
40,0,10.0,0.13394389577453922,0.13550827335889037,0.4238719758811839,0.6525020663589708,40.0,15.0,6,0,none,diff1,diff1,0.18062342233246348
15,2,30.0,0.20858893519920677,0.21294373445800444,0.4408486965891483,0.624865780584527,59.333333333333336,15.0,6,0,none,diff1,diff1,0.17825474299831728
40,2,30.0,0.1340555665336616,0.057433330590330886,0.4308515158597044,0.6314693050571928,158.33333333333334,15.0,6,0,none,diff1,diff1,0.17288002939973934
40,2,10.0,0.05725484602895733,0.043238130774015886,0.3969741696957278,0.6714851294212906,158.33333333333334,15.0,6,0,none,diff1,diff1,0.16701376029063122
40,1,3.0,-0.1016758045823148,0.06951389889638589,0.3236118378363794,0.7757391863007738,104.33333333333333,15.0,6,0,none,diff1,diff1,0.16662926824692106
30,1,10.0,-0.06756759421494914,0.056269194480677964,0.3353088077620831,0.753832302967265,79.0,15.0,6,0,none,diff1,diff1,0.16299141983916862
40,2,3.0,-0.00674326113286335,0.07441967427217566,0.37195006417532733,0.6999372194497727,158.33333333333334,15.0,6,0,none,diff1,diff1,0.16190611779016825
20,1,10.0,0.002824744219292944,0.16106554945832133,0.34955144241477515,0.7284921809233351,53.333333333333336,15.0,6,0,none,diff1,diff1,0.15949596906110974
40,2,1.0,-0.03892449955689784,0.09725127375922712,0.3590720755971086,0.7111732914153343,158.33333333333334,15.0,6,0,none,diff1,diff1,0.15689337958784255
40,1,0.03,-0.9003335172048246,0.8263991928251418,0.21895517051722788,1.0909119482529717,104.33333333333333,15.0,6,0,none,diff1,diff1,0.1553168067401477
40,2,0.3,-0.05510277459859614,0.10915145153179741,0.35212003059442387,0.7156547943902977,158.33333333333334,15.0,6,0,none,diff1,diff1,0.15307838666763224
15,1,1.0,-0.14602967774611408,0.3178815851465688,0.3008023836285835,0.7880474995647991,39.666666666666664,15.0,6,0,none,diff1,diff1,0.15243563332394294
40,2,0.1,-0.06078203298841959,0.11338414177579786,0.3495861822814452,0.7170531713560058,158.33333333333334,15.0,6,0,none,diff1,diff1,0.15152340223064928
40,2,0.03,-0.06293979486211461,0.11500324593164431,0.3486116620956505,0.7175650206328226,158.33333333333334,15.0,6,0,none,diff1,diff1,0.1509071765386263
40,2,0.01,-0.06357529832657505,0.11548145266253707,0.348323489020784,0.7177139684025139,158.33333333333334,15.0,6,0,none,diff1,diff1,0.15072326690254376
40,2,0.003,-0.06379983863357885,0.11565057118482935,0.34822154780664066,0.7177664098911468,158.33333333333334,15.0,6,0,none,diff1,diff1,0.15065803473044345
40,2,0.001,-0.063864197977617,0.11569906036166144,0.34819231706800285,0.7177814234766643,158.33333333333334,15.0,6,0,none,diff1,diff1,0.15063931350166787
40,2,0.0003,-0.06388674540006063,0.11571604949992294,0.3481820752553564,0.7177866814423409,158.33333333333334,15.0,6,0,none,diff1,diff1,0.15063275226499503
40,2,0.0001,-0.06389318958658692,0.11572090525009834,0.3481791479685928,0.7177881840248644,158.33333333333334,15.0,6,0,none,diff1,diff1,0.1506308767859979
40,0,30.0,0.14697229816682802,0.14789452528473895,0.41981627658851384,0.608608373534751,40.0,15.0,6,0,none,diff1,diff1,0.14584213806283952
20,0,0.0001,0.15317786145821488,0.2229852219744994,0.4164128286965046,0.6099965676981963,20.0,14.333333333333334,6,0,none,diff1,diff1,0.14341042608524202
20,0,0.0003,0.1531776009975668,0.22298579810682284,0.41641234274447375,0.6099955903643507,20.0,14.333333333333334,6,0,none,diff1,diff1,0.14340925599951926
20,0,0.001,0.15317668937226334,0.22298781425230838,0.41641064202590505,0.6099921699217837,20.0,14.333333333333334,6,0,none,diff1,diff1,0.1434051609711537
20,0,0.003,0.15317408461681106,0.22299357194604222,0.41640578380285476,0.609982399164576,20.0,14.333333333333334,6,0,none,diff1,diff1,0.14339346321805796
20,0,0.01,0.15316496666923518,0.223013692147333,0.4163887913591071,0.6099482240834737,20.0,14.333333333333334,6,0,none,diff1,diff1,0.14335254821753873
20,0,0.03,0.15313890421762688,0.2230709072389619,0.41634033835886414,0.6098507740436702,20.0,14.333333333333334,6,0,none,diff1,diff1,0.14323588018943328
10,2,30.0,0.0981760589879858,0.2766391880374563,0.3785180251024802,0.6637815558619815,40.666666666666664,15.0,6,0,none,diff1,diff1,0.1431651142058673
30,0,0.0001,0.005344198659425555,0.07676309530535029,0.3633278065652214,0.6850901883927268,30.0,14.666666666666666,6,0,none,diff1,diff1,0.1428909384401302
30,0,0.0003,0.005345677750298779,0.0767647378027094,0.36332595131313966,0.6850855661435727,30.0,14.666666666666666,6,0,none,diff1,diff1,0.1428858476136406
30,0,0.001,0.005350853671526694,0.07677048768540848,0.36331945920577313,0.6850693915265831,30.0,14.666666666666666,6,0,none,diff1,diff1,0.1428680332743813
20,0,0.1,0.153047555321553,0.2232680249655774,0.41617186973868964,0.6095119356360591,20.0,14.333333333333334,6,0,none,diff1,diff1,0.14283022468393103
30,0,0.003,0.005365634340995795,0.07678692569091335,0.3633009212506682,0.6850232062123003,30.0,14.666666666666666,6,0,none,diff1,diff1,0.14281716559927843
30,0,0.01,0.005417277516494272,0.07684457195145267,0.36323616565708194,0.6848618819384956,30.0,14.666666666666666,6,0,none,diff1,diff1,0.1426394830140289
30,0,0.03,0.005564075170612044,0.07701022758882455,0.36305223560869443,0.6844037123450691,30.0,14.666666666666666,6,0,none,diff1,diff1,0.14213483425024284
20,0,0.3,0.1527854448719549,0.22380506884339438,0.4156997845178229,0.6085626097890067,20.0,14.333333333333334,6,0,none,diff1,diff1,0.1416936113701276
30,0,0.1,0.006069441348677114,0.07760042631340228,0.36242096469741963,0.682831409400695,30.0,14.666666666666666,6,0,none,diff1,diff1,0.14040295127790614
20,0,1.0,0.15185547146198752,0.22540572982824528,0.41414429217999155,0.6054450707519968,20.0,14.333333333333334,6,0,none,diff1,diff1,0.13795584170638936
5,2,30.0,0.14544949013978703,0.22335049506484492,0.41847559565605436,0.5973566251521851,19.0,13.666666666666666,6,0,none,diff1,diff1,0.13662523326258397
30,0,0.3,0.007449570546646707,0.07935951130719292,0.36071971340826536,0.6785867603740687,30.0,14.666666666666666,6,0,none,diff1,diff1,0.1357304456701135
40,1,10.0,-0.03633259213413013,0.03718458459442356,0.3319806236357422,0.7188569590690053,104.33333333333333,15.0,6,0,none,diff1,diff1,0.1351804949840459
5,2,10.0,0.11589408182535554,0.26454248670673886,0.4060345700584997,0.6109065506919612,19.0,13.666666666666666,6,0,none,diff1,diff1,0.13366915554287256
5,2,3.0,0.08937568484026052,0.291726034485857,0.3952539971035711,0.6201014472846539,19.0,13.666666666666666,6,0,none,diff1,diff1,0.12932501020282888
20,0,3.0,0.14911303401629547,0.22812411039666225,0.41032008871096776,0.5980020511312528,20.0,14.333333333333334,6,0,none,diff1,diff1,0.12892152450284478
5,2,1.0,0.0772870690170447,0.30233852434329417,0.3904710133398181,0.6241632174003392,19.0,13.666666666666666,6,0,none,diff1,diff1,0.12738526552005558
40,1,30.0,0.052756898561976295,0.07626745781936249,0.365426519338675,0.6589971039620278,104.33333333333333,15.0,6,0,none,diff1,diff1,0.12672449211209447
5,2,0.3,0.07224537126523374,0.3065034180806398,0.3884958057850434,0.6258620535456191,19.0,13.666666666666666,6,0,none,diff1,diff1,0.12659924326697675
5,2,0.1,0.0707107111377061,0.30774312664333575,0.3878966304243309,0.6263804199240116,19.0,13.666666666666666,6,0,none,diff1,diff1,0.12636292437113905
5,2,0.03,0.07016295676616802,0.3081825300891478,0.3876829959227221,0.6265655991201989,19.0,13.666666666666666,6,0,none,diff1,diff1,0.12627891530686136
5,2,0.01,0.07000542121196145,0.308308606798268,0.38762157570504524,0.6266188735462134,19.0,13.666666666666666,6,0,none,diff1,diff1,0.12625478718739463
5,2,0.003,0.06995017435505184,0.30835278990287734,0.3876000382478995,0.6266375583524818,19.0,13.666666666666666,6,0,none,diff1,diff1,0.1262463290946368
5,2,0.001,0.06993437909524303,0.3083654190135521,0.38759388083449803,0.6266429005688531,19.0,13.666666666666666,6,0,none,diff1,diff1,0.12624391123269518
5,2,0.0003,0.06992884965691785,0.3083698397660787,0.38759172533481867,0.6266447707334358,19.0,13.666666666666666,6,0,none,diff1,diff1,0.12624306484822378
5,2,0.0001,0.06992726971285972,0.30837110289193187,0.3875911094391884,0.6266453051032165,19.0,13.666666666666666,6,0,none,diff1,diff1,0.12624282301143996
30,0,1.0,0.011759641600967726,0.08589766640082279,0.3557952939695108,0.666000539211018,30.0,14.666666666666666,6,0,none,diff1,diff1,0.12199567141722342
40,1,0.01,-1.0322676068769623,1.0072665944032528,0.20463286648294535,1.1189067207276973,104.33333333333333,15.0,6,0,none,diff1,diff1,0.12139816197355727
15,1,3.0,-0.06096626167825259,0.29111192076733367,0.30723316755538954,0.731856773565733,39.666666666666664,15.0,6,0,none,diff1,diff1,0.11953290905140262
30,1,30.0,0.03533267457791015,0.0987320587560031,0.35276076658280714,0.6526173384908619,79.0,15.0,6,0,none,diff1,diff1,0.10959290352641049
20,0,10.0,0.13951230899678946,0.22728645159596675,0.40056904547881994,0.5822643115410445,20.0,14.333333333333334,6,0,none,diff1,diff1,0.10815406355755114
