var,lon,mode,lag
so,W30p0,2,0
so,W30p0,2,1
so,W30p0,2,2
so,W40p0,2,0
so,W40p0,2,1
so,W40p0,2,2
so,W40p0,2,3
so,W40p0,2,4
so,W40p0,7,0
so,W40p0,7,1
so,W40p0,7,2
so,W40p0,8,7
so,W40p0,8,8
so,W40p0,8,9
so,W40p0,8,10
so,W40p0,8,11
so,W60p0,2,0
so,W60p0,2,1
so,W60p0,2,2
so,W60p0,5,10
so,W60p0,5,11
so,W60p0,5,12
so,W60p0,5,13
so,W60p0,5,14
thetao,W10p0,1,1
thetao,W10p0,1,2
thetao,W10p0,1,3
thetao,W10p0,1,4
thetao,W10p0,1,5
thetao,W20p0,2,0
thetao,W20p0,2,1
thetao,W20p0,2,2
thetao,W20p0,2,3
thetao,W20p0,8,12
thetao,W20p0,8,13
thetao,W20p0,8,14
thetao,W20p0,8,15
thetao,W30p0,5,0
thetao,W30p0,5,1
thetao,W30p0,5,2
thetao,W30p0,5,3
thetao,W30p0,10,9
thetao,W30p0,10,10
thetao,W30p0,10,11
thetao,W30p0,10,12
thetao,W30p0,10,13
thetao,W40p0,3,0
thetao,W40p0,3,1
thetao,W40p0,3,2
thetao,W40p0,3,3
thetao,W40p0,3,8
thetao,W40p0,3,9
thetao,W40p0,3,10
thetao,W40p0,3,11
thetao,W40p0,3,12
thetao,W40p0,5,0
thetao,W40p0,5,1
thetao,W40p0,5,2
thetao,W40p0,8,0
thetao,W40p0,8,1
thetao,W40p0,8,2
thetao,W40p0,8,3
thetao,W40p0,8,4
