var,lon,mode,lag,corr,abs_corr
so,W60p0,2,0,0.4040654623114934,0.4040654623114934
thetao,W20p0,2,1,-0.33268696295554967,0.33268696295554967
thetao,W30p0,10,11,0.32231904720684573,0.32231904720684573
thetao,W30p0,5,1,0.31859336815360917,0.31859336815360917
thetao,W40p0,5,0,-0.30853719887504066,0.30853719887504066
thetao,W40p0,3,1,0.3083427942383682,0.3083427942383682
so,W40p0,8,9,-0.30230684398187924,0.30230684398187924
thetao,W10p0,1,3,0.30066023649946777,0.30066023649946777
thetao,W40p0,8,2,0.2998419096757659,0.2998419096757659
so,W30p0,2,0,-0.2954597118362264,0.2954597118362264
so,W40p0,7,0,-0.29318537620264395,0.29318537620264395
thetao,W20p0,8,14,0.29172221933461057,0.29172221933461057
so,W40p0,2,2,-0.28277360271634683,0.28277360271634683
so,W60p0,5,12,0.2715711206249579,0.2715711206249579
thetao,W40p0,3,10,0.2604325403413169,0.2604325403413169
thetao,W10p0,1,0,-0.2568733893611703,0.2568733893611703
so,W40p0,6,1,-0.2567613003331774,0.2567613003331774
thetao,W60p0,4,5,0.2535604187639319,0.2535604187639319
so,W40p0,5,0,-0.2525863870896642,0.2525863870896642
so,W40p0,2,1,-0.2516656908254366,0.2516656908254366
thetao,W40p0,2,2,-0.24994711211026413,0.24994711211026413
so,W40p0,10,9,0.24702153429526427,0.24702153429526427
so,W10p0,10,10,0.245595680232066,0.245595680232066
thetao,W30p0,8,1,-0.245041774963135,0.245041774963135
so,W40p0,2,0,0.242675469043981,0.242675469043981
so,W10p0,7,8,-0.24248907389880348,0.24248907389880348
so,W40p0,9,2,-0.2419502582154684,0.2419502582154684
so,W10p0,2,15,0.2413550727050535,0.2413550727050535
thetao,W40p0,3,2,-0.23819415359322052,0.23819415359322052
so,W20p0,5,11,-0.23431889064343145,0.23431889064343145
thetao,W20p0,6,0,0.23401857053390004,0.23401857053390004
thetao,W20p0,10,0,0.23391972958807467,0.23391972958807467
so,W60p0,1,4,-0.23383245852961512,0.23383245852961512
so,W40p0,3,13,-0.23294127069389436,0.23294127069389436
so,W60p0,1,1,0.23133106004291518,0.23133106004291518
