year,amoc_true,amoc_pred,is_used,is_train,is_test,split_year,alpha,test_r2,model,target,mode,features
1850,20.947429656982422,,False,False,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1851,21.44022560119629,,False,False,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1852,21.576704025268555,,False,False,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1853,21.331146240234375,,False,False,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1854,21.290447235107422,0.7832560426778995,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1855,21.36909294128418,0.7070331730646022,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1856,21.129671096801758,0.522850335103923,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1857,20.862993240356445,0.3011520363550526,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1858,20.570037841796875,0.2092567434153888,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1859,20.464994430541992,0.26709458653375545,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1860,20.158580780029297,-0.0025178590765567092,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1861,20.481483459472656,-0.04912197694093427,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1862,20.686052322387695,-0.14545207916458658,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1863,21.312623977661133,-0.033980687969993824,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1864,21.35251235961914,-0.2548644338488751,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1865,21.184162139892578,-0.13450037589325672,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1866,21.572969436645508,0.1678112994332848,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1867,21.68718719482422,0.4447077230940986,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1868,21.920719146728516,0.6308951285574196,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1869,21.959087371826172,0.45508989250601695,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1870,21.983104705810547,0.4229389808870836,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1871,22.079687118530273,0.6388111311222079,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1872,22.25218963623047,0.8559571453069101,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1873,21.85637092590332,0.2710772510117367,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1874,22.148235321044922,-0.08760829864379284,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
1875,21.35580062866211,-0.15844786367476582,True,True,False,1989,1.0,0.6487006507574893,CESM2,AMOC_45N_ensmean,ensmean,thetao W10p0 EOF2 lag4
