n_features,test_r2,delta_r2,max_lag_used
1,-1.6179441976609152,,0
2,-1.7326915649531234,-0.11474736729220814,1
3,-1.8425728384795272,-0.10988127352640387,2
4,-1.9725398431993826,-0.12996700471985534,2
5,0.03651582724068103,2.0090556704400635,4
6,0.1502012965683397,0.11368546932765866,4
7,0.34224233115629477,0.19204103458795507,4
8,0.4288104861179617,0.08656815496166692,4
9,0.42097449550899657,-0.007835990608965115,4
10,0.4212370364908069,0.00026254098181033303,4
11,0.4283244502775422,0.007087413786735275,4
12,0.4358336311049832,0.007509180827441009,4
13,0.482205338579649,0.04637170747466579,5
14,0.45032647851515495,-0.03187886006449403,5
15,0.4313326522069667,-0.018993826308188244,5
16,0.5400037109452376,0.10867105873827088,5
17,0.5890887772404005,0.04908506629516296,6
18,0.5787640734075269,-0.01032470383287365,6
19,0.569465089567246,-0.009298983840280939,6
20,0.5754262766907731,0.005961187123527112,6
21,0.6103813487595546,0.03495507206878157,7
22,0.5899686391689634,-0.02041270959059127,7
23,0.5408814360542749,-0.049087203114688505,7
24,0.5493032041538444,0.008421768099569515,7
25,0.6177271813491994,0.06842397719535498,7
26,0.6114019802118305,-0.0063252011373688966,7
27,0.6698181748068037,0.05841619459497327,7
28,0.6677729651550521,-0.0020452096517515894,7
29,0.6663577476412612,-0.0014152175137909229,7
30,0.6687377574392235,0.002380009797962268,7
31,0.6574496318379979,-0.011288125601225607,7
32,0.6698632654256622,0.012413633587664341,7
33,0.6833989660073991,0.01353570058173692,7
34,0.6947769941822203,0.011378028174821142,7
35,0.7159224251078251,0.021145430925604836,8
36,0.7161468461616445,0.00022442105381936805,8
37,0.7167029383330714,0.0005560921714269362,8
38,0.7153012792934412,-0.0014016590396301876,8
39,0.7213873612829618,0.006086081989520542,8
40,0.7732715259409862,0.05188416465802448,8
41,0.7057969370458275,-0.06747458889515878,8
42,0.7267121378111006,0.02091520076527309,9
43,0.7231115439344731,-0.003600593876627478,9
44,0.7365279784787462,0.013416434544273104,9
45,0.6956956857015695,-0.040832292777176704,9
46,0.7190321547098806,0.0233364690083111,9
47,0.7399966082797037,0.020964453569823127,10
48,0.7322682700242857,-0.007728338255417966,11
49,0.7302458970737031,-0.002022372950582607,11
50,0.7169370836931014,-0.013308813380601747,11
51,0.7190024778038139,0.002065394110712493,11
52,0.7199587716758326,0.0009562938720186764,11
53,0.7147086075609932,-0.005250164114839362,11
54,0.7165918740412451,0.0018832664802519439,11
55,0.71391394890988,-0.002677925131365111,11
56,0.6720513413775633,-0.04186260753231674,11
57,0.6452517066497914,-0.026799634727771915,11
58,0.6354381250103605,-0.009813581639430913,12
59,0.6527841661881351,0.017346041177774607,12
60,0.6635948468176049,0.010810680629469882,12
