n_features,test_r2,delta_r2,max_lag_used
1,-1.6065670190465067,,0
2,-1.7282586685262484,-0.12169164947974176,1
3,-1.8393849563532085,-0.1111262878269601,2
4,-1.9726144664929106,-0.13322951013970208,2
5,0.014613327032438006,1.9872277935253486,4
6,0.14567712865963878,0.13106380162720077,4
7,0.3355158445554155,0.18983871589577672,4
8,0.41771031723821317,0.08219447268279767,4
9,0.4067889440328194,-0.01092137320539377,4
10,0.4047218354647123,-0.002067108568107101,4
11,0.4111675556065534,0.0064457201418410826,4
12,0.42164594325424487,0.01047838764769149,4
13,0.47435512999766105,0.05270918674341618,5
14,0.4574677871529945,-0.01688734284466653,5
15,0.4419209727978427,-0.015546814355151817,5
16,0.5483875619719023,0.1064665891740596,5
17,0.5968638971005499,0.048476335128647574,6
18,0.5865146135326254,-0.010349283567924528,6
19,0.5782504413286653,-0.00826417220396003,6
20,0.5844403677062597,0.0061899263775944124,6
21,0.6214480621915259,0.037007694485266196,7
22,0.6040578066418456,-0.017390255549680322,7
23,0.5697025260198887,-0.03435528062195692,7
24,0.5879283505414747,0.018225824521586054,7
25,0.6550912827970967,0.06716293225562198,7
26,0.6511789200319964,-0.003912362765100319,7
27,0.6738974165669807,0.022718496534984256,7
28,0.6738061753286552,-9.124123832549014e-05,7
29,0.6839169638931049,0.010110788564449691,7
30,0.6838994889576313,-1.747493547354928e-05,7
31,0.6712660861562154,-0.012633402801415894,7
32,0.6810432188271425,0.009777132670927058,7
33,0.6919125737556644,0.010869354928521924,7
34,0.6986603499835987,0.006747776227934321,7
35,0.7193795926448157,0.02071924266121694,8
36,0.7200438667682599,0.0006642741234442751,8
37,0.7213624287018113,0.0013185619335513987,8
38,0.7206457038094546,-0.000716724892356746,8
39,0.7300905866475695,0.009444882838114954,8
40,0.749233034656458,0.019142448008888424,8
41,0.6682442156722616,-0.08098881898419641,8
42,0.6893185246847551,0.02107430901249352,9
43,0.6896592700529465,0.00034074536819139745,9
44,0.697765449696536,0.008106179643589506,9
45,0.6671124417991958,-0.030653007897340157,9
46,0.6969808978273497,0.02986845602815391,9
47,0.7265617392219107,0.029580841394560964,10
48,0.7394797877600903,0.012918048538179572,11
49,0.7384867223546158,-0.0009930654054745025,11
50,0.7233329471175196,-0.015153775237096156,11
51,0.726112031953094,0.00277908483557443,11
52,0.7308205401982428,0.00470850824514879,11
53,0.7305869568040633,-0.00023358339417955953,11
54,0.728329320539366,-0.002257636264697216,11
55,0.7288126788546891,0.00048335831532309026,11
56,0.6927944834257627,-0.03601819542892648,11
57,0.6865254450137483,-0.006269038412014316,11
58,0.6849617121704364,-0.0015637328433119047,12
59,0.6952860961103352,0.010324383939898762,12
60,0.7037669738812922,0.008480877770956963,12
