year,value
1850,-6.9523920154147465
1851,-4.989201372719316
1852,0.22748313788107383
1853,6.5747378356942985
1854,9.010234407782779
1855,6.933356185359853
1856,14.724557054942895
1857,15.795153630918865
1858,18.364298119282616
1859,14.671113200487701
1860,20.993820440496435
1861,17.032645106187292
1862,7.588275709691762
1863,-1.0901767760128176
1864,-7.0350119868439025
1865,-2.070795838885939
1866,-1.4357627278770024
1867,-8.27518077866058
1868,-15.152988138110505
1869,2.139148372225597
1870,12.614666421986772
1871,14.415625186368754
1872,10.609568163582438
1873,11.743719384038812
1874,21.059372351859963
1875,23.52333630415652
1876,16.862180547341413
1877,10.59255900828166
1878,11.51160652913282
1879,12.376548576970006
1880,5.637635964653523
1881,1.2964061039488401
1882,12.926500571645978
1883,21.800527174816832
1884,10.749050250322531
1885,11.25650529916193
1886,15.276494817511928
1887,5.25976681795159
1888,4.743516256284193
1889,4.288621552522082
1890,4.140395653239837
1891,-2.60257258834192
1892,-6.4374299105059425
1893,-1.5131418654909943
1894,-2.8162354503110576
1895,0.7876990412776571
1896,5.085045270991576
1897,8.864551618197146
1898,9.065267457750727
1899,6.045344560433338
1900,7.4060157042959505
1901,1.242316196119134
1902,-0.1658849061476939
1903,6.332435626053161
1904,-4.639526077430339
1905,3.5023590567232135
1906,3.948825248980351
1907,-6.894245488272437
1908,-5.8711560765181705
1909,-10.629536144621786
1910,-2.798314844765811
1911,-3.668160270289097
1912,-0.8777099443442745
1913,-9.621817697787531
1914,-15.366155056727933
1915,-11.041295966948491
1916,-16.161472126781128
1917,-20.55839135672982
1918,-19.220146765128344
1919,-18.689340555043486
1920,-18.089948930098675
1921,-16.631724090244827
1922,-10.795632355827752
1923,-9.970359887245774
1924,-10.093831147186641
1925,-8.945208314513243
1926,3.196183448933689
1927,2.7576495517873254
1928,-3.4736623394932593
1929,6.543838193392213
1930,12.479585734193234
1931,3.2091845918252195
1932,2.3746472393575866
1933,-2.8415267105109887
1934,1.7135325412399047
1935,11.257184723409347
1936,0.6394255387935377
1937,-4.577063746119092
1938,6.191386638366479
1939,8.212110258061964
1940,11.232863701756191
1941,15.328984298475243
1942,1.4430617578870124
1943,-4.594402186188203
1944,5.3728832480934825
1945,8.479229078859873
1946,14.755434610334135
1947,23.201917434837444
1948,13.427961654262884
1949,13.664795835963133
1950,-2.859271771748368
1951,-4.685489200489634
1952,-1.0544045740321155
1953,3.6529729455999123
1954,-3.123425684265168
1955,-9.480342995585048
1956,-11.225446048876051
1957,-25.351591403811618
1958,-29.487285048208797
1959,-32.65570034103668
1960,-28.95795487813816
1961,-31.807428433202723
1962,-27.764867655959147
1963,-34.15603521428589
1964,-24.089568562492058
1965,-34.131565243125735
1966,-41.23452161928664
1967,-40.07144929986647
1968,-46.68125879055011
1969,-55.72246464456016
1970,-57.41334001056134
1971,-61.45776644048043
1972,-58.39168652265511
1973,-50.97770292834063
1974,-34.56735082055993
1975,-35.989990262022886
1976,-43.15358985215686
1977,-38.21202907189341
1978,-33.926706517787906
1979,-29.69032937873328
1980,-26.85523896223944
1981,-25.87358062673558
1982,-32.1377520285293
1983,-32.11290449261814
1984,-28.69423395644838
1985,-27.84429357945374
1986,-17.4519019936769
1987,-10.508939460582907
1988,7.056698456243447
1989,13.776175791574678
1990,4.544273573159262
1991,0.92857758213318
1992,0.035195583439274
1993,-11.495495280782304
1994,-20.53000606544931
1995,-13.950630294384814
1996,-14.54181800435411
1997,-5.441225997160773
1998,7.702706289268657
1999,23.27557079075987
2000,20.975742067695926
2001,27.859185358654326
2002,44.9381196445465
2003,52.951465704261864
2004,46.775811512363944
2005,45.64969022878901
2006,51.34350371729393
2007,63.389198383313385
2008,56.84017248190022
2009,61.74474489875952
2010,61.77411530171135
2011,75.55714850841926
2012,74.83395719817533
2013,78.03918634131279
2014,74.20052258647598
