year,amoc_true,amoc_pred,is_used,is_train,is_test,split_year,alpha,test_r2,model,target,mode,features
1850,16.304153442382812,,False,False,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1851,16.535533905029297,,False,False,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1852,16.774538040161133,,False,False,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1853,16.283935546875,,False,False,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1854,16.659400939941406,,False,False,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1855,16.724895477294922,,False,False,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1856,16.710145950317383,,False,False,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1857,16.714313507080078,,False,False,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1858,16.369762420654297,,False,False,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1859,16.135278701782227,,False,False,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1860,15.87893295288086,,False,False,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1861,15.972103118896484,,False,False,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1862,15.984318733215332,,False,False,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1863,15.879629135131836,,False,False,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1864,15.75048828125,,False,False,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1865,16.1310977935791,,False,False,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1866,16.097816467285156,0.13571325640296852,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1867,16.02080726623535,0.2190661499384348,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1868,16.49382781982422,0.16897583984171657,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1869,16.312528610229492,0.20520759852821446,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1870,16.252025604248047,0.14639284786211096,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1871,16.085861206054688,0.11732932193470029,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1872,16.072294235229492,0.12823709771509753,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1873,16.079069137573242,0.08704591880589882,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1874,16.01028060913086,0.08048027414718495,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1875,15.867426872253418,0.07602757980786676,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1876,15.678366661071777,0.13901946913412613,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1877,15.513347625732422,0.13619197380198525,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1878,15.941603660583496,0.0347626909402785,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1879,15.966853141784668,0.05660234785366652,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1880,15.947713851928711,0.09467310035813793,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1881,15.965166091918945,0.09765588728779427,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1882,15.912702560424805,0.11797738159893038,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
1883,15.786349296569824,0.11095498994550301,True,True,False,1989,30.0,-6.805650310447714,EC-Earth3,AMOC_45N_ensmean,ensmean,thetao W30p0 EOF6 lag16
