n_features,test_r2,delta_r2,max_lag_used
1,-2.1105668936819835,,10
2,-0.6268968404658455,1.483670053216138,10
3,-0.8813369524399397,-0.2544401119740942,10
4,-1.0247653349061827,-0.143428382466243,10
5,-0.6857998436483908,0.33896549125779196,10
6,-0.6073880753892287,0.07841176825916207,10
7,-0.7645232228479837,-0.157135147458755,10
8,-0.7518659500969731,0.012657272751010584,10
9,-0.7285747313575537,0.023291218739419417,10
10,-0.6536420722807466,0.07493265907680713,10
11,-0.6159307652401982,0.03771130704054837,10
12,-0.6366623426719769,-0.02073157743177867,10
13,-0.6062184350242652,0.030443907647711654,10
14,-0.5814452425888703,0.024773192435394886,10
15,-0.5845269047836654,-0.0030816621947951095,10
16,-0.5752447069105693,0.009282197873096143,10
17,-0.5728914850794058,0.002353221831163488,10
18,-0.535311708458327,0.03757977662107881,10
19,-0.547781970427067,-0.012470261968740015,10
20,-0.5440522871240814,0.0037296833029856202,10
21,-0.5371891945808143,0.006863092543267113,10
22,-0.5579680194655836,-0.020778824884769342,10
23,-0.4043121069010771,0.1536559125645065,10
24,-0.3969682507365564,0.007343856164520712,10
25,-0.4011845399985807,-0.004216289262024331,10
26,-0.38067080238258,0.020513737616000727,10
27,-0.3811114773858808,-0.00044067500330080556,10
28,-0.3790387187895512,0.0020727585963296047,10
29,-0.37943185773656984,-0.00039313894701864527,10
30,-0.32434667824372476,0.05508517949284508,10
31,-0.28136212298010377,0.042984555263620994,10
32,-0.2930424985104132,-0.011680375530309428,10
33,-0.303726978361716,-0.01068447985130283,10
34,-0.32271401675867706,-0.01898703839696103,10
35,-0.30724553425852874,0.015468482500148317,10
36,-0.3060870593742291,0.001158474884299654,10
37,-0.30733695705225905,-0.0012498976780299653,10
38,-0.29949391996867347,0.00784303708358558,10
39,-4.073780845085161,-3.7742869251164874,10
40,-4.0434965895669395,0.03028425551822167,10
41,-4.013378338614465,0.030118250952474668,10
42,-3.962025652576078,0.05135268603838661,10
43,-3.951072927343172,0.010952725232906246,10
44,-3.9114393275024737,0.03963359984069825,10
45,-3.994053148818833,-0.08261382131635919,10
46,-4.149925000430284,-0.155871851611451,10
47,-4.128150750173419,0.021774250256864747,10
48,-3.9859965588379005,0.14215419133551865,10
49,-3.970787870024867,0.01520868881303361,10
50,-3.9674345002039857,0.0033533698208811913,10
51,-3.967209169700064,0.00022533050392148368,10
52,-4.024705035955649,-0.05749586625558489,10
53,-3.9756811542444863,0.04902388171116279,10
54,-4.099367019193683,-0.12368586494919676,10
55,-4.1526979837467675,-0.05333096455308439,10
56,-3.965037100265235,0.18766088348153254,10
57,-5.101215847441742,-1.1361787471765075,10
58,-5.118720272755456,-0.017504425313713767,10
59,-5.960129875900105,-0.8414096031446485,10
60,-5.955981229024996,0.004148646875108852,10
