year,amoc_true,amoc_pred,is_used,is_train,is_test,split_year,alpha,test_r2,model,target,mode,features
1850,12.705636024475098,-0.04438041110231479,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1851,12.640294075012207,-0.037120408262553195,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1852,12.495739936828613,-0.05795354821857996,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1853,12.487576484680176,0.029104524158650023,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1854,12.581167221069336,0.05932404674984191,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1855,12.51566219329834,0.05999924895956507,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1856,12.63967227935791,0.01550436959835838,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1857,12.706198692321777,0.05543533331442913,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1858,12.50253963470459,0.07320465190453762,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1859,12.44344425201416,0.039156303088445324,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1860,12.456684112548828,0.08791947307110456,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1861,12.625482559204102,0.14277209771253407,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1862,12.812583923339844,0.13069826910895088,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1863,12.757392883300781,0.1103555704232912,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1864,12.575726509094238,0.1009473937516994,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1865,12.864224433898926,0.13254877324639414,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1866,12.637090682983398,0.1202488060083575,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1867,12.672550201416016,0.11162343880216868,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1868,12.54017162322998,0.023638102598002846,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1869,12.367243766784668,-0.04326397305007285,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1870,12.823442459106445,-0.03077416747702593,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1871,12.662919044494629,-0.02172334755232612,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1872,12.473726272583008,-0.01216128705376288,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1873,12.555365562438965,0.027177096282441946,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1874,12.450631141662598,0.05400125133688912,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1875,12.522442817687988,-0.00957163978547283,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1876,12.435077667236328,-0.10080700849516731,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1877,12.636594772338867,-0.0977205933055897,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1878,12.380080223083496,-0.04978568054271535,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1879,12.456084251403809,-0.018209004416750368,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
1880,12.369819641113281,-0.04791480316653738,True,True,False,1989,50.0,0.6858444580501407,IPSL-CM6A-LR,AMOC_26N_ensmean,ensmean,thetao W60p0 EOF2 lag0
