n_features,test_r2,delta_r2,max_lag_used
1,0.3607232301894133,,10
2,0.3864303692815485,0.02570713909213518,10
3,0.3481397349016401,-0.03829063437990843,10
4,0.19093394058379898,-0.1572057943178411,10
5,0.033879192575030914,-0.15705474800876806,10
6,0.12742795315775968,0.09354876058272876,11
7,-0.004587904435151335,-0.132015857592911,11
8,-0.006330410836217437,-0.0017425064010661018,11
9,-0.051396013780943495,-0.04506560294472606,11
10,-0.1395792884027418,-0.08818327462179831,11
11,-0.17209714514435204,-0.03251785674161023,11
12,0.3788357171580099,0.5509328623023619,11
13,0.31437984874744007,-0.06445586841056983,11
14,0.7040972978711431,0.389717449123703,11
15,0.7244346188067453,0.020337320935602254,11
16,0.6797934769725095,-0.04464114183423584,11
17,0.6616252857296414,-0.01816819124286806,11
18,0.683282850084298,0.0216575643546566,11
19,0.6828900957866356,-0.0003927542976623899,11
20,0.6899707399993122,0.007080644212676623,11
21,0.6771017070713042,-0.012869032928008006,11
22,0.642056607360495,-0.03504509971080927,12
23,0.6434405453723284,0.0013839380118334521,14
24,0.6420048093772477,-0.0014357359950807336,14
25,0.6434703444222812,0.0014655350450335503,14
26,0.6564597128266565,0.012989368404375257,14
27,0.6528612070054179,-0.0035985058212385512,14
28,0.6472539891449007,-0.005607217860517211,14
29,0.6432625537780959,-0.003991435366804796,14
30,0.6460336445996986,0.002771090821602651,14
31,0.6534051387636177,0.0073714941639191345,14
32,0.6326159085721041,-0.020789230191513575,14
33,0.6333974214608996,0.0007815128887954659,14
34,0.6471602493526502,0.01376282789175054,14
35,0.6448979841382293,-0.0022622652144208555,14
36,0.6501894393702663,0.005291455232037001,15
37,0.6538107032392582,0.003621263868991864,15
38,0.6765287103236715,0.022718007084413294,15
39,0.6426370835018616,-0.033891626821809906,15
40,0.6757852404349249,0.03314815693306339,15
41,0.7134685991946131,0.0376833587596882,15
42,0.721580565023582,0.008111965828968892,15
43,0.7386852096732657,0.017104644649683642,15
44,0.6742975092830084,-0.06438770039025732,15
45,0.67156616426221,-0.0027313450207983037,15
46,0.6761483033510451,0.004582139088835091,15
47,0.6782607756647148,0.002112472313669622,15
48,0.6810928918879673,0.002832116223252523,15
49,0.6554767925010907,-0.02561609938687659,15
50,0.6477971173744512,-0.007679675126639474,15
51,0.6649045998678729,0.017107482493421644,15
52,0.6574809105963222,-0.007423689271550682,15
53,0.6824885718725363,0.02500766127621412,15
54,0.687922375304453,0.005433803431916684,15
55,0.7235308008552261,0.03560842555077315,15
56,0.740587164561771,0.01705636370654484,15
57,0.6953298417294478,-0.0452573228323232,15
58,0.6822750351147862,-0.01305480661466163,15
59,0.71438308106112,0.032108045946333874,15
60,0.7297801648597784,0.01539708379865834,15
