year,amoc_true,amoc_pred,is_used,is_train,is_test,split_year,alpha,test_r2,model,target,mode,features
1850,12.33165454864502,,False,False,False,1989,30.0,0.863061455062606,IPSL-CM6A-LR,AMOC_45N_ensmean,ensmean,so W60p0 EOF1 lag1 | so W30p0 EOF1 lag3 | thetao W40p0 EOF3 lag0
1851,12.112833976745605,,False,False,False,1989,30.0,0.863061455062606,IPSL-CM6A-LR,AMOC_45N_ensmean,ensmean,so W60p0 EOF1 lag1 | so W30p0 EOF1 lag3 | thetao W40p0 EOF3 lag0
1852,12.290653228759766,,False,False,False,1989,30.0,0.863061455062606,IPSL-CM6A-LR,AMOC_45N_ensmean,ensmean,so W60p0 EOF1 lag1 | so W30p0 EOF1 lag3 | thetao W40p0 EOF3 lag0
1853,12.40682315826416,12.367509311664861,True,True,False,1989,30.0,0.863061455062606,IPSL-CM6A-LR,AMOC_45N_ensmean,ensmean,so W60p0 EOF1 lag1 | so W30p0 EOF1 lag3 | thetao W40p0 EOF3 lag0
1854,12.316900253295898,12.348425296130188,True,True,False,1989,30.0,0.863061455062606,IPSL-CM6A-LR,AMOC_45N_ensmean,ensmean,so W60p0 EOF1 lag1 | so W30p0 EOF1 lag3 | thetao W40p0 EOF3 lag0
1855,12.310589790344238,12.341341291186533,True,True,False,1989,30.0,0.863061455062606,IPSL-CM6A-LR,AMOC_45N_ensmean,ensmean,so W60p0 EOF1 lag1 | so W30p0 EOF1 lag3 | thetao W40p0 EOF3 lag0
1856,12.215492248535156,12.248607003094834,True,True,False,1989,30.0,0.863061455062606,IPSL-CM6A-LR,AMOC_45N_ensmean,ensmean,so W60p0 EOF1 lag1 | so W30p0 EOF1 lag3 | thetao W40p0 EOF3 lag0
1857,12.080981254577637,12.163599229801362,True,True,False,1989,30.0,0.863061455062606,IPSL-CM6A-LR,AMOC_45N_ensmean,ensmean,so W60p0 EOF1 lag1 | so W30p0 EOF1 lag3 | thetao W40p0 EOF3 lag0
1858,12.197647094726562,12.2973074518702,True,True,False,1989,30.0,0.863061455062606,IPSL-CM6A-LR,AMOC_45N_ensmean,ensmean,so W60p0 EOF1 lag1 | so W30p0 EOF1 lag3 | thetao W40p0 EOF3 lag0
1859,12.484816551208496,12.348093107627314,True,True,False,1989,30.0,0.863061455062606,IPSL-CM6A-LR,AMOC_45N_ensmean,ensmean,so W60p0 EOF1 lag1 | so W30p0 EOF1 lag3 | thetao W40p0 EOF3 lag0
1860,12.537731170654297,12.408577498912127,True,True,False,1989,30.0,0.863061455062606,IPSL-CM6A-LR,AMOC_45N_ensmean,ensmean,so W60p0 EOF1 lag1 | so W30p0 EOF1 lag3 | thetao W40p0 EOF3 lag0
