step_n,delta_r2,r2_new,var,lon,mode,lag,max_lag_used
5,1.9248538737279028,0.7148842631977719,so,W10p0,5,16,16
53,0.1183866545079969,0.7790450352793273,so,W10p0,8,26,30
14,0.11482564966028319,0.7336593431916723,so,W10p0,5,18,29
116,0.07598850695655446,0.7363187474737749,so,W10p0,8,29,30
72,0.06455811492997532,0.7682055049184783,so,W30p0,1,3,30
29,0.06172179062381977,0.6497671605628769,thetao,W30p0,6,30,30
48,0.05184991251300186,0.7119419457139675,thetao,W40p0,5,29,30
35,0.042741354025414346,0.6884131638992738,so,W20p0,10,20,30
107,0.042144548954409555,0.7210417755071259,so,W10p0,8,27,30
16,0.0421277123924475,0.7651463709058199,so,W10p0,5,21,29
34,0.032692255318393704,0.6456718098738594,thetao,W40p0,5,28,30
38,0.023915860610194906,0.6815316773103536,so,W60p0,6,29,30
98,0.02235155680961598,0.7056577284048913,so,W30p0,9,16,30
79,0.01885039834630775,0.7322313636456155,so,W20p0,10,21,30
6,0.01837268518272439,0.7332569483804963,so,W60p0,1,8,16
83,0.018135450848740797,0.7465434360626939,thetao,W20p0,4,29,30
100,0.018004571539313563,0.724920033108229,so,W10p0,5,22,30
31,0.017335945772959938,0.6031175627161589,thetao,W20p0,3,28,30
114,0.016529232580851483,0.6601601031515536,thetao,W20p0,9,4,30
74,0.015325197013575154,0.7849020875766761,so,W20p0,9,26,30
51,0.015129413206990239,0.709808258053566,thetao,W40p0,8,26,30
39,0.015077898531222877,0.6966095758415765,thetao,W20p0,4,26,30
37,0.013118772224403163,0.6576158167001587,so,W10p0,5,17,30
46,0.012456691909916495,0.6841858435339567,so,W60p0,1,9,30
58,0.010924416283077276,0.7218662652541177,thetao,W40p0,5,30,30
70,0.010852686906978493,0.7061957900441538,thetao,W20p0,4,25,30
59,0.009633671130771182,0.7314999363848889,so,W20p0,9,27,30
42,0.009352714459882061,0.6897076319690599,thetao,W20p0,4,27,30
56,0.008917939701216904,0.7128124187201039,so,W60p0,1,11,30
32,0.008624276177550239,0.6117418388937091,thetao,W20p0,3,25,30
86,0.007789914822248556,0.7233529914349712,thetao,W20p0,3,30,30
