n_features,test_r2,delta_r2,max_lag_used
1,0.09041448794198625,,1
2,-0.043943227311566746,-0.134357715253553,2
3,-0.06904580129113858,-0.02510257397957183,3
4,-0.24843507283849364,-0.17938927154735507,3
5,0.6746452616546741,0.9230803344931677,16
6,0.7091634840695162,0.03451822241484215,16
7,0.6992420394053218,-0.009921444664194423,16
8,0.7644239514391453,0.06518191203382351,28
9,0.7792845224258322,0.014860570986686916,29
10,0.7643867659297909,-0.014897756496041303,29
11,0.7724317099384955,0.008044944008704591,29
12,0.7724301250155627,-1.5849229327846714e-06,29
13,0.7697172786064299,-0.0027128464091328297,29
14,0.7705820822966633,0.00086480369023334,29
15,0.7694380494073938,-0.001144032889269453,29
16,0.7699409911858349,0.0005029417784411239,29
17,0.7665932490507689,-0.0033477421350660563,29
18,0.7823847492642337,0.01579150021346487,29
19,0.7830519499940667,0.0006672007298329508,29
20,0.7053333831093298,-0.07771856688473688,29
21,0.7351158083407731,0.029782425231443255,29
22,0.7376795483774563,0.0025637400366832486,29
23,0.7390858584520286,0.001406310074572259,29
24,0.7440733383137447,0.004987479861716104,29
25,0.7443035003417016,0.00023016202795689278,29
26,0.7416855454614587,-0.0026179548802428565,29
27,0.6703202201835939,-0.07136532527786477,30
28,0.6789545075513277,0.00863428736773375,30
29,0.6855370018011071,0.006582494249779414,30
30,0.6858412189489022,0.0003042171477950495,30
31,0.6859465369869441,0.00010531803804192386,30
32,0.6844779547294371,-0.0014685822575070118,30
33,0.6592365816276908,-0.025241373101746234,30
34,0.6597859984940937,0.0005494168664028631,30
35,0.6852848180582243,0.02549881956413058,30
36,0.6873510632150899,0.002066245156865598,30
37,0.6880726720022381,0.0007216087871482202,30
38,0.6183672082827704,-0.06970546371946773,30
39,0.6167933060393811,-0.001573902243389269,30
40,0.6180867113723368,0.0012934053329557438,30
41,0.6180735111567008,-1.3200215636000046e-05,30
42,0.6218294632478292,0.003755952091128334,30
43,0.6114957224752997,-0.010333740772529465,30
44,0.6065430703328221,-0.004952652142477643,30
45,0.6015769704593356,-0.004966099873486507,30
46,0.6026238083018839,0.0010468378425483316,30
47,0.6013163385123275,-0.0013074697895564258,30
48,0.6083826164419657,0.0070662779296382094,30
49,0.605138469393476,-0.0032441470484896318,30
50,0.6012866301074515,-0.0038518392860245054,30
51,0.6452164231154417,0.04392979300799016,30
52,0.6453986902276694,0.00018226711222768532,30
53,0.6423652077598874,-0.0030334824677820116,30
54,0.584701992747016,-0.057663215012871416,30
55,0.5849110210694213,0.00020902832240532465,30
56,0.5306721577111442,-0.0542388633582771,30
57,0.5234494852407201,-0.007222672470424074,30
58,0.5291981919392601,0.005748706698539996,30
59,0.5327835681922561,0.003585376252996042,30
60,0.5358979142090997,0.003114346016843572,30
