year,value
1850,-0.7051574098168789
1851,1.1492043096896891
1852,0.8146580201956465
1853,1.154404530161106
1854,0.029733293646459193
1855,-1.4721044560259962
1856,-1.5190205672809594
1857,0.16233543838475592
1858,0.813073168321001
1859,0.7593890823361926
1860,0.8474566260322646
1861,-0.07517225824478797
1862,-0.567280542007305
1863,-0.6884362088786017
1864,-1.199369786860145
1865,-1.2415057218638619
1866,-2.3140604643965306
1867,-2.5795785999861667
1868,-2.9350142674399655
1869,-3.943440830654406
1870,-3.687623655735686
1871,-2.119972173880422
1872,-2.2010868391609666
1873,-1.5038908926378538
1874,-2.1785445468206244
1875,-2.3704724501698933
1876,-2.0426899339507094
1877,-1.7077174443999383
1878,-2.31226057526345
1879,-1.104837415469718
1880,-0.9818766687397387
1881,-0.7202743915858181
1882,0.012266296426824455
1883,-0.6821039730269797
1884,0.4886775489906662
1885,0.656717225939806
1886,2.120540064223762
1887,1.5653572859281746
1888,1.8386162562365316
1889,1.5347718092876275
1890,0.6007113728766611
1891,1.357126318912615
1892,1.162074190080636
1893,0.7953769089641692
1894,2.0822278470310343
1895,1.6769346677124584
1896,1.7878385207703233
1897,1.6253151368175944
1898,1.5702396195183133
1899,2.866926081317346
1900,2.1457138198253145
1901,1.1196162935651717
1902,1.7028631346562644
1903,1.7704301425515279
1904,2.0089581864707906
1905,1.5160835182715826
1906,0.6223474242965495
1907,1.0434942375294816
1908,1.6366238328391176
1909,2.756427967246702
1910,2.342083988947198
1911,2.861965068476904
1912,0.746056223882451
1913,-0.9790923386245632
1914,-1.1762751069610418
1915,-1.6786329645708362
1916,-0.859998059041669
1917,-1.0818678987566646
1918,-1.022179917717516
1919,-2.088022823558349
1920,-1.6614762900625797
1921,-0.6379845288023829
1922,0.04054420802285383
1923,-0.37984719994407
1924,-1.193456239815929
1925,-1.7734935683259243
1926,-1.697973965336669
1927,0.5327889366323463
1928,-1.0073288110970715
1929,-1.3383246829594169
1930,-1.3837596548818376
1931,-2.4589536493428454
1932,-2.24175688491566
1933,-2.272052759143627
1934,-1.7894268455444216
1935,-1.9984601931475157
1936,-1.9263741405762036
1937,-2.2725609317775652
1938,-1.9119326225499347
1939,-0.4811131919256336
1940,-0.22690793866574385
1941,0.5379736911948004
1942,-0.0823767840244599
1943,0.47238480976919184
1944,-0.4123916855000991
1945,0.7918391722155713
1946,0.86848697319671
1947,0.0005909244332488756
1948,0.655755261218518
1949,1.1190205789396965
1950,0.8443364154912081
1951,-0.1993350357945944
1952,1.64665633017104
1953,2.591740042635584
1954,3.167320819172609
1955,2.8646042040422635
1956,3.8387261435472175
1957,2.5959377090203346
1958,3.1331378849353198
1959,5.2041895990467335
1960,3.7415681772619176
1961,3.385689016402807
1962,4.5305717930701865
1963,5.665568987521302
1964,4.259425708192087
1965,4.222733666330261
1966,4.908434350323583
1967,4.264631449075721
1968,3.7255120896964016
1969,2.590199804792623
1970,3.886673221280963
1971,4.055858464363052
1972,4.418677835173383
1973,3.8506715226736197
1974,3.9407942817437025
1975,4.493654538336878
1976,4.010947470448527
1977,4.427180135388687
1978,5.102343646099587
1979,5.614657218246167
1980,5.933638129325373
1981,5.570740408719644
1982,6.519022543973074
1983,5.284480008515835
1984,2.716934625766012
1985,2.759090896371865
1986,3.219369768997364
1987,3.6037962976279507
1988,4.000033088504479
1989,4.136460668042475
1990,5.533334782270715
1991,3.681062105862186
1992,2.778267112670845
1993,1.4615736128162915
1994,1.0280404231392484
1995,2.681907597356695
1996,1.021418412485337
1997,0.4244124633521256
1998,-0.32080881074092804
1999,-0.35869593766245633
2000,-1.5808872153447358
2001,-3.9653230057338895
2002,-5.2533366199034806
2003,-5.489534239253075
2004,-7.468153646215031
2005,-8.517863452475769
2006,-9.947769274175544
2007,-10.17821697323576
2008,-11.170242110037059
2009,-12.401546358236835
2010,-13.205959003787537
2011,-14.779076493233672
2012,-13.671690009351693
2013,-14.231801592204562
2014,-16.47214262711888
