year,value
1850,-17.775489748002546
1851,-16.43753597184712
1852,-21.11285327287862
1853,-16.32779991078067
1854,-19.97764980935153
1855,-18.226078027123283
1856,-18.49552566313178
1857,-25.847569796091555
1858,-19.006449652816812
1859,-16.89459931534636
1860,-14.47444755695128
1861,-13.430807462383575
1862,-15.701380592511985
1863,-11.826403249218945
1864,-12.36790458494753
1865,-11.305211004211465
1866,-20.50868339337625
1867,-17.38449610798923
1868,-20.945863443946827
1869,-18.555751457168054
1870,-21.78912351210695
1871,-28.549333349750853
1872,-16.531107683903386
1873,-21.55394455459261
1874,-16.343931064523034
1875,-17.09358669964985
1876,-18.462751002618585
1877,-19.463237081703817
1878,-21.714651720802458
1879,-19.841077348129563
1880,-18.64687736143758
1881,-28.776021039025245
1882,-16.70490105233924
1883,-10.920050200232712
1884,-18.009310964559006
1885,-16.47895871977855
1886,-23.12388924371054
1887,-13.896510388690636
1888,-19.855493021356505
1889,-6.0064400432175304
1890,-11.449746566721569
1891,-12.640377423865957
1892,-15.96105254477677
1893,-17.926060482694428
1894,-15.227053070316327
1895,-5.351189198169108
1896,-11.252693248800222
1897,-18.155425396490546
1898,-13.880026683716062
1899,-13.494088338557587
1900,-6.02741498419142
1901,-5.843124073056497
1902,-11.587186417325253
1903,-11.136482122635027
1904,-16.710408774621595
1905,-21.216581189434624
1906,-20.659796376023344
1907,-16.134180476885714
1908,-16.902052409380772
1909,-11.141151697653203
1910,-9.53263303236145
1911,-0.11908282842681604
1912,-1.7662293788400696
1913,-17.030010466686814
1914,-21.891284917618997
1915,-24.284098316030335
1916,-24.324796142260755
1917,-17.39108054419043
1918,-13.31016831927347
1919,-8.571186148884648
1920,-12.117553702313607
1921,-9.966485946432957
1922,-7.404179103229952
1923,-9.689576165358792
1924,-9.280957801254516
1925,-13.475476037602425
1926,-8.012816084558352
1927,-12.598588401410218
1928,-0.2108498054820052
1929,-2.6486393161962067
1930,-5.867829871992492
1931,1.4736721870913843
1932,-8.952160435712901
1933,-5.946657105640691
1934,-5.379249221467987
1935,-7.087068275654395
1936,-5.3748981290657065
1937,-16.20660546216153
1938,-4.184946916892208
1939,-1.0433366559863675
1940,5.393289622798946
1941,7.758952711242983
1942,-3.8513424015641986
1943,-1.5483270818912873
1944,-4.315218378562497
1945,-0.4573914152505969
1946,-3.619924039892464
1947,8.05282526183678
1948,-0.8414694549414536
1949,4.091188907440736
1950,-2.343158390439167
1951,-2.223758428399259
1952,6.980742165268265
1953,5.885831333400081
1954,6.241674140210035
1955,8.959987735116954
1956,10.685543094005311
1957,14.638417548899284
1958,7.416841060688384
1959,10.743035631558557
1960,14.69570353610264
1961,18.376047534783112
1962,4.26367582534487
1963,9.813544590262175
1964,13.981695549967725
1965,11.500320969166685
1966,4.254613222426939
1967,8.852114501467389
1968,13.010602801230842
1969,17.709840470679627
1970,12.088634094593568
1971,10.027280574703768
1972,14.292172784049558
1973,17.230378763317113
1974,19.285813766599624
1975,12.032830511343798
1976,15.56646879894067
1977,21.576258220412875
1978,13.46330412591031
1979,13.353324739388365
1980,12.346126963893377
1981,17.90258040077556
1982,13.162475414963717
1983,14.643910238355302
1984,14.753012538099199
1985,11.32443273693125
1986,15.228550092755498
1987,20.857251368359947
1988,17.142540517719638
1989,30.724291698944914
1990,30.69222749460745
1991,40.5194195312142
1992,31.244319401339776
1993,24.214004278950526
1994,20.699261398174368
1995,10.504321982762958
1996,27.63411033715353
1997,32.12984373378848
1998,31.14850572748373
1999,36.53151739893227
2000,44.957383910682935
2001,41.4042850547095
2002,27.11853616498213
2003,29.73566153656316
2004,26.669069349304078
2005,26.642807425464653
2006,25.43543811486512
2007,22.003327963984418
2008,30.199483935738115
2009,36.364695377006484
2010,26.861664775275983
2011,36.227949295586185
2012,34.08100674916261
2013,36.2588558858027
2014,34.86929069790361
