year,amoc_true,amoc_pred,is_used,is_train,is_test,split_year,alpha,test_r2,model,target,mode,features
1850,18.659671783447266,,False,False,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1851,18.748952865600586,0.029901033605724135,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1852,18.50411033630371,0.06087992905736302,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1853,18.515214920043945,0.030708669619543105,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1854,18.695425033569336,0.014221796993197899,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1855,18.786893844604492,0.04992582380149969,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1856,18.935640335083008,-0.08221343600791348,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1857,18.66299819946289,-0.06262434071921172,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1858,18.8231143951416,0.010454768762056152,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1859,19.010068893432617,-0.1412128584905675,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1860,18.900175094604492,-0.20328617166254143,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1861,18.908618927001953,-0.17752779773456526,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1862,18.82257843017578,-0.1399588161973109,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1863,18.7718448638916,-0.08776735501286285,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1864,18.47487449645996,-0.11755388406992139,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1865,18.534059524536133,-0.12381003089645626,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1866,18.465036392211914,-0.17568028633111638,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1867,18.49117660522461,-0.18712663066524896,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1868,18.705060958862305,-0.16217900112712072,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1869,18.805200576782227,-0.11117028085650574,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1870,18.63743782043457,-0.07282284261692698,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1871,18.376188278198242,-0.15053666755789014,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1872,18.476224899291992,-0.16949349271943057,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1873,18.85028839111328,-0.1712831698816257,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1874,18.6151123046875,-0.07728214933484845,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1875,18.7650146484375,0.007310497740906742,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1876,18.744346618652344,0.07524224626435783,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1877,18.7955322265625,0.16064316966943243,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1878,18.630895614624023,0.023798161476715474,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1879,18.721965789794922,0.003715766838747378,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1880,18.691781997680664,-0.013707621710614237,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1881,19.04667854309082,0.06753267857905025,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1882,18.581308364868164,0.13498056341325979,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1883,19.145973205566406,0.22192135387219536,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1884,19.297334671020508,0.23883496271457672,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1885,18.811487197875977,0.22054542304013422,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1886,18.765256881713867,0.14255388730200905,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1887,19.321178436279297,0.0003976216107316109,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1888,19.64646339416504,0.03053904809191645,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1889,19.217668533325195,0.09350548461821152,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1890,18.850688934326172,0.05215808535437302,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1891,18.91914939880371,0.007711679556150309,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1892,18.907560348510742,-0.04077755988537736,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1893,18.861669540405273,0.02558096112783131,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1894,18.987703323364258,0.022530523635068356,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1895,19.051076889038086,0.07269634980906034,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1896,18.894283294677734,0.09044324499243495,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1897,18.654163360595703,-0.01961462465909356,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1898,18.694562911987305,0.055971621220665915,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1899,18.886369705200195,0.17543085076851034,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1900,19.023149490356445,0.13070989939474462,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1901,19.10771369934082,0.10095871342895883,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1902,18.80496597290039,0.10159213195096752,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1903,18.540197372436523,0.03186380808948406,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1904,18.775251388549805,0.04842277462724286,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1905,18.891389846801758,0.09436276064878829,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1906,19.32297706604004,0.02305923237146398,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1907,19.04157257080078,0.09936802129123182,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1908,18.90134048461914,0.12472282856461488,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1909,19.074832916259766,0.10508720775411196,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1910,18.974571228027344,0.07218187212971673,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1911,18.972637176513672,0.10047825595864508,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1912,18.717172622680664,0.06583184216964696,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1913,18.751331329345703,0.03959628540131235,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1914,18.71657371520996,0.04237151427689806,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1915,19.090660095214844,0.13547820197138877,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1916,19.367774963378906,-0.01004647295697126,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1917,19.363725662231445,-0.06521651910050762,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1918,19.511384963989258,0.13088475688515264,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1919,18.96562957763672,0.17561757727654115,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1920,18.908382415771484,0.12636616878155904,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1921,19.131940841674805,0.07823518665033019,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1922,19.273799896240234,0.07327494481398256,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
1923,19.256481170654297,0.10268950820407684,True,True,False,1989,10.0,-0.36020809973889745,MPI-ESM1-2-LR,AMOC_26N_ensmean,ensmean,so W60p0 EOF1 lag1
