n_features,test_r2,delta_r2,max_lag_used
1,0.5513466919459633,,2
2,0.615413788730903,0.06406709678493971,2
3,0.6427304430365954,0.02731665430569241,3
4,0.6301173426847074,-0.012613100351888007,7
5,0.6135728349486809,-0.01654450773602656,7
6,0.6088710067868737,-0.004701828161807198,8
7,0.7360780259765853,0.12720701918971167,8
8,0.7273768307417225,-0.00870119523486279,8
9,0.7378802399803943,0.010503409238671768,8
10,0.7359549724197985,-0.0019252675605958558,8
11,0.7375248438328776,0.0015698714130791824,8
12,0.7385457865487908,0.0010209427159131312,8
13,0.7366230309697843,-0.0019227555790064521,8
14,0.8247818381566725,0.08815880718688818,8
15,0.8196092391812008,-0.005172598975471732,8
16,0.8359930923483042,0.016383853167103446,8
17,0.8377852350279184,0.0017921426796141393,8
18,0.753549920780906,-0.08423531424701236,15
19,0.7590874676972539,0.005537546916347891,15
20,0.7865884438327687,0.027500976135514832,15
21,0.7911053190096033,0.004516875176834634,15
22,0.7937106715428343,0.002605352533230909,15
23,0.7891315242706572,-0.004579147272177009,15
24,0.7692611955695703,-0.01987032870108696,15
25,0.7721757072311703,0.002914511661600061,15
26,0.7861150272509723,0.013939320019801915,15
27,0.7858088244076978,-0.00030620284327442793,15
28,0.7664832094297407,-0.01932561497795715,15
29,0.7661354955249127,-0.00034771390482801756,16
30,0.7692991417992019,0.0031636462742892224,16
31,0.677522368820602,-0.09177677297859987,16
32,0.6678680182975021,-0.00965435052309993,16
33,0.681878309533195,0.014010291235692862,16
34,0.688231577939175,0.00635326840598005,16
35,0.6894601748759588,0.001228596936783788,16
36,0.7033716713783034,0.013911496502344578,16
37,0.7500719465574295,0.046700275179126116,16
38,0.7412220892599966,-0.008849857297432928,16
39,0.6862579848610224,-0.054964104398974145,16
40,0.7295946715910003,0.043336686729977925,16
41,0.7309288043452156,0.0013341327542152337,16
42,0.7680327921920298,0.037103987846814235,16
43,0.8209135694469651,0.05288077725493534,16
44,0.7824510187243571,-0.03846255072260807,16
45,0.7815365190171013,-0.000914499707255767,16
46,0.8033099199279335,0.02177340091083224,16
47,0.8035050115672059,0.00019509163927233786,16
48,0.7822312319841962,-0.02127377958300969,16
49,0.7678724082690555,-0.014358823715140745,16
50,0.8126199256212725,0.04474751735221705,16
51,0.8116932415608603,-0.0009266840604121862,17
52,0.8151073995997286,0.0034141580388682424,17
53,0.8048014288479903,-0.010305970751738225,17
54,0.7785562819289208,-0.02624514691906954,17
55,0.7823077315627814,0.0037514496338606484,17
56,0.8213220330879538,0.03901430152517238,17
57,0.7355905982532323,-0.08573143483472156,17
58,0.7747797868933165,0.03918918864008425,17
59,0.77414797334972,-0.0006318135435965377,17
60,0.7601673930361819,-0.013980580313538105,17
