year,value
1850,-15.18232309593822
1851,-11.060428932338935
1852,-7.636956172799172
1853,-3.085355589597781
1854,-6.852731344781443
1855,-12.780698897048584
1856,-13.582033470257993
1857,-16.667084412273898
1858,-9.844245382113295
1859,-12.618425257750228
1860,-10.21363127265616
1861,-10.49717247029324
1862,-15.064318532772875
1863,-13.450031376879469
1864,-20.350238244642842
1865,-5.527163857162885
1866,-0.3545187435249574
1867,-5.24104528462394
1868,-1.8571215341828824
1869,-4.278896477861474
1870,-9.07466687160396
1871,-7.337636370891258
1872,-6.396828044491903
1873,-8.051520715418752
1874,-6.6112303401329
1875,-12.239249740785487
1876,-15.885489667041332
1877,-20.326399225821312
1878,-13.927587663971478
1879,-19.94535609105052
1880,-16.171434075972964
1881,-8.848573771443455
1882,-18.151331985262388
1883,-18.91081960756264
1884,-18.418045069339495
1885,-14.335051961323567
1886,-18.645752017878287
1887,-16.171381083936264
1888,-17.56660138720406
1889,-19.6352820148112
1890,-15.824267173992082
1891,-13.739567903819609
1892,-8.2248166028774
1893,-8.19635945984284
1894,-14.335827907745774
1895,-16.609119919113787
1896,-15.255685141483578
1897,-6.092467215180834
1898,-8.155357381407088
1899,-7.875208875265978
1900,-10.451095378946153
1901,-15.06571770524299
1902,-15.050149602165122
1903,-15.794915211526968
1904,-16.29316537677758
1905,-7.020603344438031
1906,-11.87229142515682
1907,-17.189613620889908
1908,-13.039250297021248
1909,-14.098182037857876
1910,-11.83487708181389
1911,-10.708185491510154
1912,-11.493679030068698
1913,-12.481051362358727
1914,-8.806531988108839
1915,-5.131384555060892
1916,-7.442209432799947
1917,-9.271750953675467
1918,-20.549360214332733
1919,-17.832876936405963
1920,-12.405273994179334
1921,-14.044714951026492
1922,-16.55337028681858
1923,-13.57243651917332
1924,-17.699047577592776
1925,-10.380022224893578
1926,-3.46667463938952
1927,-5.4896240062439725
1928,-10.520490047970204
1929,-11.81975980192453
1930,-4.779836390723144
1931,4.54823601584851
1932,4.783245676549271
1933,5.72534949582455
1934,0.6935909697358763
1935,9.662844462791684
1936,-1.2026054672683315
1937,-2.7300901959831974
1938,-0.7029324709538957
1939,0.8250483151103983
1940,-0.06379914307948613
1941,7.029389036980102
1942,7.157629098362746
1943,10.53135338607674
1944,6.935680061436487
1945,5.53128030193369
1946,-0.062732610947763
1947,-6.99248846798512
1948,-12.019881839029038
1949,-12.598133083593131
1950,-6.524199833451903
1951,-4.057905916062305
1952,5.245842017807638
1953,-0.7498071428706082
1954,-0.9366624546462995
1955,-2.81032345665786
1956,-4.612490156189024
1957,-4.751449484501429
1958,0.7948030315320376
1959,-9.135124776488174
1960,-13.015674295651218
1961,-12.651383864630164
1962,-7.086911626627146
1963,-3.6956195788908692
1964,-1.5478969715673165
1965,-10.534536432455225
1966,-13.169656818631255
1967,-0.5061225953880493
1968,1.941688122647305
1969,0.09129468288464077
1970,-0.3085500568184431
1971,3.3313625129813933
1972,1.1140667485071405
1973,1.5652537770142412
1974,-6.976327749028302
1975,-7.7433137807985615
1976,-5.218455072021778
1977,-2.789879158404141
1978,-5.946980839270725
1979,0.6048816906351454
1980,-2.1574518659310242
1981,7.557467374262566
1982,7.327001389376287
1983,8.02037931088867
1984,10.483433314507783
1985,12.068002961483643
1986,12.744098695927333
1987,15.589557280161847
1988,12.391186811401429
1989,17.271174978177587
1990,26.565708879949074
1991,24.8839188858477
1992,22.139020564578306
1993,18.516963084986504
1994,13.398178787372943
1995,14.74186792886821
1996,32.232846469683054
1997,33.826198998568515
1998,35.284992820560625
1999,34.903042438481975
2000,29.979960678228785
2001,24.328998852449683
2002,37.89430753693069
2003,35.78680843789404
2004,42.77462327364129
2005,48.88174201521009
2006,41.49029570430458
2007,49.650103940007746
2008,51.76398716643227
2009,57.589219621719415
2010,54.776732666293206
2011,55.12211548970734
2012,54.40928633735489
2013,55.63276289513835
2014,54.42212539996164
