model,target,rank,lag,global_score,n_analyses_contributing,top_lon,top_lon_share,top_var,top_var_share,top1_varlon,top1_share,best_mode,best_mode_abs_corr,best_mode_varlon
IPSL-CM6A-LR,AMOC_45N_ensmean,1,17,14.026387591336595,10,W40p0,0.21292157117328078,thetao,0.5371423195641922,thetao_W40p0,0.11858324793433052,9,0.6741324486330246,thetao_W30p0
IPSL-CM6A-LR,AMOC_45N_ensmean,2,18,13.929361718031394,10,W40p0,0.21466253643236513,thetao,0.5406192755256396,thetao_W40p0,0.1201720153642594,8,0.6657003947379847,thetao_W40p0
IPSL-CM6A-LR,AMOC_45N_ensmean,3,16,13.872469799833238,10,W30p0,0.21897274234206934,thetao,0.5387986502384146,thetao_W40p0,0.12108755062799524,9,0.693009696886527,thetao_W30p0
IPSL-CM6A-LR,AMOC_45N_ensmean,4,15,13.682172398374604,10,W40p0,0.21598667560376947,thetao,0.5380291400784544,thetao_W40p0,0.12187514908438872,9,0.6779366068437775,thetao_W30p0
IPSL-CM6A-LR,AMOC_45N_ensmean,5,19,13.616075302529882,10,W40p0,0.21254635006902145,thetao,0.5378420558009565,thetao_W40p0,0.12168028790414383,8,0.6352999377374596,thetao_W40p0
IPSL-CM6A-LR,AMOC_45N_ensmean,6,20,13.58817134037851,10,W40p0,0.21380940688263192,thetao,0.5453614172224289,thetao_W40p0,0.1199811627598373,8,0.6160690840839405,thetao_W40p0
IPSL-CM6A-LR,AMOC_45N_ensmean,7,11,13.43962886371005,10,W10p0,0.21256474427907118,thetao,0.5296830948966796,thetao_W30p0,0.11315605746783293,9,0.6642544840078612,thetao_W30p0
IPSL-CM6A-LR,AMOC_45N_ensmean,8,12,13.405051935905735,10,W30p0,0.21362307344763798,thetao,0.5305892331176378,thetao_W30p0,0.11469345573046087,9,0.6663948487223953,thetao_W30p0
IPSL-CM6A-LR,AMOC_45N_ensmean,9,13,13.314059440941113,10,W30p0,0.21631477294712106,thetao,0.530466018981528,thetao_W40p0,0.11794183313775147,9,0.6615513296695559,thetao_W30p0
IPSL-CM6A-LR,AMOC_45N_ensmean,10,21,13.289567583038586,10,W30p0,0.2067449432971414,thetao,0.5543220046464513,thetao_W30p0,0.12415340880534882,8,0.6330770469857607,thetao_W40p0
IPSL-CM6A-LR,AMOC_45N_ensmean,11,14,13.247096561324117,10,W30p0,0.21710074242170244,thetao,0.5348446864918852,thetao_W40p0,0.12034543624894467,9,0.651801816859811,thetao_W30p0
IPSL-CM6A-LR,AMOC_45N_ensmean,12,10,13.237384926497707,10,W10p0,0.22577105000303302,thetao,0.5292043687545552,thetao_W30p0,0.11476001931773801,1,0.6493610779436513,so_W60p0
IPSL-CM6A-LR,AMOC_45N_ensmean,13,1,13.201241359759752,10,W10p0,0.23705551446357015,thetao,0.5243684776568637,thetao_W10p0,0.13359436339470546,9,0.6490692536254554,thetao_W10p0
IPSL-CM6A-LR,AMOC_45N_ensmean,14,2,13.181645927483435,10,W10p0,0.2379763599408377,thetao,0.5182109560923881,thetao_W10p0,0.13211870174996534,9,0.6418971979193385,thetao_W10p0
IPSL-CM6A-LR,AMOC_45N_ensmean,15,3,13.124191763607037,10,W10p0,0.23477805978187313,thetao,0.5162266431217304,thetao_W10p0,0.1287142345360476,9,0.6218610428388172,thetao_W10p0
