model,target,var,lon,varlon,rank,lag,score,best_mode,best_mode_abs_corr
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,so_W10p0,1,10,1.4778451921429947,8,0.5110076307654118
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,so_W10p0,2,7,1.4341800495545565,8,0.49776467245305844
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,so_W10p0,3,17,1.4233528899111,9,0.5123439177074891
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,so_W10p0,4,9,1.419422928463937,8,0.4948082399452191
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,so_W10p0,5,0,1.4121454409056649,1,0.5683329794275183
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,so_W10p0,6,2,1.3953781689847524,1,0.4907417466817829
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,so_W10p0,7,3,1.3920019817080254,4,0.47010871803047427
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,so_W10p0,8,11,1.388321321415467,9,0.48354778131410703
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,so_W10p0,9,12,1.381965729380615,4,0.49752950177601923
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,so_W10p0,10,18,1.3770994153210485,9,0.5075623480530311
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,so_W10p0,11,8,1.370192172716703,4,0.4856602318711264
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,so_W10p0,12,16,1.369556346717964,9,0.5126049103266278
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,so_W10p0,13,1,1.365815626618752,1,0.5203996859741169
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,so_W10p0,14,15,1.3462839067730683,9,0.4944139180357851
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,so_W10p0,15,13,1.3447475054821967,4,0.4890618449534596
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W20p0,so_W20p0,1,18,1.3041100455964827,10,0.5012337693638134
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W20p0,so_W20p0,2,28,1.2953245931445094,9,0.4968182043223791
