model,target,var,lon,best_mode,best_lag,best_corr,best_abs_corr
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,1,0,-0.5683329794275183,0.5683329794275183
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W20p0,9,27,0.5566855599684366,0.5566855599684366
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W30p0,5,14,0.6109821514820516,0.6109821514820516
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W40p0,8,13,-0.5822758915421654,0.5822758915421654
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,1,8,0.6587678090863441,0.6587678090863441
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,9,48,0.7265292696687278,0.7265292696687278
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,5,16,0.6315452340981529,0.6315452340981529
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,16,-0.693009696886527,0.693009696886527
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,8,18,-0.6657003947379847,0.6657003947379847
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,10,6,-0.66238490430279,0.66238490430279
