model,target,var,lon,mode,lag,corr,abs_corr,mode0
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,16,-0.693009696886527,0.693009696886527,8
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,15,-0.6779366068437775,0.6779366068437775,8
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,17,-0.6741324486330246,0.6741324486330246,8
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,12,-0.6663948487223953,0.6663948487223953,8
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,8,18,-0.6657003947379847,0.6657003947379847,7
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,11,-0.6642544840078612,0.6642544840078612,8
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,10,6,-0.66238490430279,0.66238490430279,9
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,13,-0.6615513296695559,0.6615513296695559,8
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,10,7,-0.6590477030311249,0.6590477030311249,9
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,1,8,0.6587678090863441,0.6587678090863441,0
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,2,0,-0.6544448523776394,0.6544448523776394,1
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,1,9,0.6536295818812016,0.6536295818812016,0
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,10,15,-0.6535533998120798,0.6535533998120798,9
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,10,8,-0.6522801330976147,0.6522801330976147,9
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,14,-0.651801816859811,0.651801816859811,8
