model,target,var,lon,mode,lag,corr,abs_corr
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,16,-0.693009696886527,0.693009696886527
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,15,-0.6779366068437775,0.6779366068437775
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,17,-0.6741324486330246,0.6741324486330246
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,12,-0.6663948487223953,0.6663948487223953
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,8,18,-0.6657003947379847,0.6657003947379847
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,11,-0.6642544840078612,0.6642544840078612
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,10,6,-0.66238490430279,0.66238490430279
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,13,-0.6615513296695559,0.6615513296695559
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,10,7,-0.6590477030311249,0.6590477030311249
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,1,8,0.6587678090863441,0.6587678090863441
