var,lon,mode0,lag
so,W60p0,0,5
so,W60p0,0,6
so,W60p0,0,7
so,W60p0,0,8
so,W60p0,0,9
so,W60p0,0,10
so,W60p0,0,11
so,W60p0,0,12
so,W60p0,0,13
thetao,W10p0,8,0
thetao,W10p0,8,1
thetao,W10p0,8,2
thetao,W10p0,8,3
thetao,W10p0,8,4
thetao,W10p0,8,5
thetao,W20p0,4,13
thetao,W20p0,4,14
thetao,W20p0,4,15
thetao,W20p0,4,16
thetao,W20p0,4,17
thetao,W20p0,4,18
thetao,W20p0,4,19
thetao,W20p0,4,20
thetao,W30p0,8,2
thetao,W30p0,8,3
thetao,W30p0,8,4
thetao,W30p0,8,5
thetao,W30p0,8,6
thetao,W30p0,8,7
thetao,W30p0,8,8
thetao,W30p0,8,9
thetao,W30p0,8,10
thetao,W30p0,8,11
thetao,W30p0,8,12
thetao,W30p0,8,13
thetao,W30p0,8,14
thetao,W30p0,8,15
thetao,W30p0,8,16
thetao,W30p0,8,17
thetao,W30p0,8,18
thetao,W30p0,8,19
thetao,W30p0,8,20
thetao,W40p0,7,13
thetao,W40p0,7,14
thetao,W40p0,7,15
thetao,W40p0,7,16
thetao,W40p0,7,17
thetao,W40p0,7,18
thetao,W40p0,7,19
thetao,W40p0,7,20
thetao,W40p0,7,21
thetao,W40p0,7,22
thetao,W40p0,7,23
thetao,W40p0,7,24
thetao,W60p0,1,0
thetao,W60p0,1,1
thetao,W60p0,1,2
thetao,W60p0,9,4
thetao,W60p0,9,5
thetao,W60p0,9,6
thetao,W60p0,9,7
thetao,W60p0,9,8
thetao,W60p0,9,9
thetao,W60p0,9,10
thetao,W60p0,9,12
thetao,W60p0,9,13
thetao,W60p0,9,14
thetao,W60p0,9,15
thetao,W60p0,9,16
thetao,W60p0,9,17
thetao,W60p0,9,18
thetao,W60p0,9,19
