model,target,var,lon,best_mode,best_lag,best_corr,best_abs_corr,split
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,5,16,0.7503155506546981,0.7503155506546981,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W20p0,10,20,-0.6589681407353198,0.6589681407353198,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W30p0,5,17,0.6056587036089566,0.6056587036089566,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W40p0,3,0,-0.7068612424921403,0.7068612424921403,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,1,1,0.6707547030545806,0.6707547030545806,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,1,25,-0.6658938042328497,0.6658938042328497,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,3,25,-0.6933298187820875,0.6933298187820875,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,16,-0.7311843739505652,0.7311843739505652,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,3,0,-0.6869278344590198,0.6869278344590198,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,10,6,-0.6662360305811602,0.6662360305811602,TRAIN_ONLY
