model,target,var,lon,mode,lag,corr,abs_corr,split
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,5,16,0.7503155506546981,0.7503155506546981,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,5,21,0.7312022488648229,0.7312022488648229,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,16,-0.7311843739505652,0.7311843739505652,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,5,18,0.724357653616251,0.724357653616251,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,5,15,0.7218174919722189,0.7218174919722189,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,15,-0.71721954314783,0.71721954314783,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,5,17,0.7164678358550717,0.7164678358550717,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,5,20,0.7081883092753234,0.7081883092753234,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W40p0,3,0,-0.7068612424921403,0.7068612424921403,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,5,14,0.7057624694443212,0.7057624694443212,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,17,-0.7008127786394415,0.7008127786394415,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,5,19,0.69763385085697,0.69763385085697,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,5,23,0.6935005441005236,0.6935005441005236,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,3,25,-0.6933298187820875,0.6933298187820875,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,3,24,-0.6900987198228157,0.6900987198228157,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,5,22,0.6871393436391887,0.6871393436391887,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W40p0,3,0,-0.6869278344590198,0.6869278344590198,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,3,23,-0.6761117224942835,0.6761117224942835,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,14,-0.6718273608445248,0.6718273608445248,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,1,1,0.6707547030545806,0.6707547030545806,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,10,6,-0.6662360305811602,0.6662360305811602,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,1,25,-0.6658938042328497,0.6658938042328497,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,3,16,0.6644824583656987,0.6644824583656987,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W60p0,10,7,-0.6607429743518082,0.6607429743518082,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,3,17,0.6596131771686347,0.6596131771686347,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W20p0,10,20,-0.6589681407353198,0.6589681407353198,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,13,-0.6586378903670705,0.6586378903670705,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,3,18,0.656176500189061,0.656176500189061,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W60p0,1,2,0.6548487158478641,0.6548487158478641,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W20p0,3,22,-0.6544125124748629,0.6544125124748629,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W40p0,3,2,-0.6528522805881248,0.6528522805881248,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,18,-0.6526955565779564,0.6526955565779564,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,1,24,-0.6526581872651638,0.6526581872651638,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W10p0,3,15,0.6524960172280035,0.6524960172280035,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,so,W10p0,5,24,0.6509736289159054,0.6509736289159054,TRAIN_ONLY
IPSL-CM6A-LR,AMOC_45N_ensmean,thetao,W30p0,9,12,-0.6482332331258917,0.6482332331258917,TRAIN_ONLY
