N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used
50,1,100.0,-0.22417055785814,0.2719141608940142,0.2324218080794888,0.40153958007698964,87.5,25.0,4
50,0,100.0,-0.24016684354312964,0.2197097603948105,0.21703154880639275,0.39576565143508896,50.0,25.0,4
50,2,100.0,-0.24990036120576448,0.2844986963163625,0.2692186367898186,0.4116802571167162,121.25,25.0,4
40,2,100.0,-0.26023345729893166,0.2936591400786187,0.213860201395519,0.412023172934507,99.75,25.0,4
40,0,100.0,-0.2941279608693097,0.21165089542055737,0.16263175802010288,0.3944462649618155,40.0,24.75,4
30,0,100.0,-0.30765686196125236,0.15585779460798516,0.1842312051093665,0.3741650191327861,30.0,24.25,4
40,1,100.0,-0.30796850760140027,0.3169885576849011,0.14690197230474789,0.41207438261404983,71.75,25.0,4
50,3,100.0,-0.34515122923137675,0.34792606778094964,0.23020145851038626,0.4296190392494771,152.75,25.0,4
20,0,100.0,-0.3664480288885491,0.14947587527300168,0.1415833738051532,0.37630789218495825,20.0,22.75,4
40,3,100.0,-0.40695627613652824,0.40423843285249517,0.15289226441669468,0.4314097375071222,125.75,25.0,4
10,0,100.0,-0.42383401345773497,0.617537593889187,0.1592899628809229,0.3219525703753925,10.0,20.5,4
15,0,100.0,-0.4436598169236269,0.44495817836249546,0.09585508020367942,0.3470852440983447,15.0,21.5,4
50,3,1000.0,-0.4628108622243059,0.7014761200424054,0.14902299654938128,0.25917132503463725,152.75,25.0,4
5,1,100.0,-0.4731449863241553,0.4127801048584943,0.188403429493125,0.35967371985778734,11.25,21.25,4
40,3,1000.0,-0.48597284796504214,0.7242931467803584,0.1080144897624356,0.265406619406053,125.75,25.0,4
50,2,1000.0,-0.48700884604531147,0.6997616853273229,0.14319985010918965,0.2499176708751818,121.25,25.0,4
30,2,100.0,-0.49392210412276866,0.2252317258738303,0.18094163444091094,0.4324937420341677,82.0,25.0,4
5,3,100.0,-0.49503682886714684,0.36059898811528723,0.18477665719532804,0.3789026414273877,22.0,23.0,4
30,1,100.0,-0.5030630289649605,0.2066948269948088,0.12647548887185006,0.43060365989605387,57.25,24.75,4
5,2,100.0,-0.506583454885875,0.40389647066164525,0.18560304784492088,0.3750853087924068,17.25,22.25,4
30,3,1000.0,-0.512424711274749,0.7917040341879557,0.08663193641749221,0.24675223020952539,103.75,25.0,4
10,1,100.0,-0.512994611510805,0.5111845533309249,0.13341844135930098,0.3891305269472268,22.5,21.5,4
40,2,1000.0,-0.5202758678179694,0.7545976741593243,0.09530379441388667,0.2547123421843672,99.75,25.0,4
10,3,100.0,-0.5204759712520559,0.29125535076927384,0.127277995027897,0.4382322050321684,44.25,23.25,4
40,2,10.0,-0.5271389207143821,0.4145541568682947,0.2580215623596829,0.5541374666767639,99.75,25.0,4
50,1,1000.0,-0.5299395066063527,0.759455315061374,0.11669553882070946,0.23717580683052256,87.5,25.0,4
30,2,1000.0,-0.5305868667072788,0.8106593943283291,0.0942284310668952,0.23149800197124595,82.0,25.0,4
40,0,10.0,-0.5320695268476052,0.6158020684119394,0.28387916283860504,0.6939511501853431,40.0,24.75,4
10,0,10.0,-0.5417348100966144,0.3824830500323618,0.10488892650915557,0.4521122262269539,10.0,20.5,4
20,1,100.0,-0.5482967783726738,0.13093405570157532,0.12499187360549079,0.439457764284223,40.25,23.5,4
50,3,10.0,-0.5516911653660898,0.319895397025765,0.2718844185294996,0.5814288052965674,152.75,25.0,4
15,1,100.0,-0.5742538082969022,0.44022628117172885,0.09176612348991435,0.40167887425774035,31.0,22.25,4
30,1,1000.0,-0.5858139118194474,0.8890585287962872,0.08703815888241652,0.20972354549933547,57.25,24.75,4
50,2,10.0,-0.5881719892292223,0.2702899924342874,0.24926954260620943,0.5521703988207786,121.25,25.0,4
10,2,100.0,-0.5922982170245366,0.4200065498957995,0.09372321393502386,0.41951292770235366,34.25,22.5,4
5,0,100.0,-0.5935333140679794,0.6455358471418554,0.1535497711443678,0.3136337019172906,5.0,20.25,4
40,1,1000.0,-0.593978155047372,0.852253971700092,0.06601022225169174,0.2380633056463105,71.75,25.0,4
20,3,1000.0,-0.6090456645942113,0.8469646247734448,0.07025039454653696,0.23037211474777408,76.0,24.75,4
