rank,feature_index,feature,coef_std,abscoef_std,cluster_root,cluster_size
1,57,thetao W60p0 EOF8 lag5,-0.0382711928394312,0.0382711928394312,57,1
2,1447,so W60p0 EOF8 lag14,0.0362950187005426,0.0362950187005426,1447,1
3,1838,so W30p0 EOF9 lag1,-0.0345530958074019,0.0345530958074019,1838,1
4,1297,thetao W10p0 EOF8 lag25,-0.0331346379517712,0.0331346379517712,1297,1
5,1769,so W40p0 EOF10 lag20,-0.0324100906626882,0.0324100906626882,1769,1
6,1423,so W60p0 EOF4 lag12,-0.0322012369818272,0.0322012369818272,1423,1
7,2591,so W10p0 EOF2 lag25,0.0311909177049129,0.0311909177049129,2591,1
8,1019,thetao W20p0 EOF10 lag23,0.0297627207765626,0.0297627207765626,1019,1
9,1177,thetao W10p0 EOF8 lag13,0.0296592052864971,0.0296592052864971,1177,1
10,1828,so W30p0 EOF9 lag0,-0.0296161309037939,0.0296161309037939,1828,1
11,38,thetao W60p0 EOF9 lag3,0.0292860848020491,0.0292860848020491,38,1
12,1794,so W40p0 EOF5 lag23,-0.0290680458729604,0.0290680458729604,1794,1
13,148,thetao W60p0 EOF9 lag14,0.0288247083106741,0.0288247083106741,148,1
14,1353,so W60p0 EOF4 lag5,0.0287262651140876,0.0287262651140876,1353,1
15,9,thetao W60p0 EOF10 lag0,0.0280354016566416,0.0280354016566416,9,1
