repeat,n_holdout_members,K,A_trainYears_r2,A_trainYears_corr,A_trainYears_var,B_testYears_r2,B_testYears_corr,B_testYears_var,C_allYears_r2,C_allYears_corr,C_allYears_var
0,2,15,0.04955689371692584,0.28773863637062075,0.02768424912449742,0.014806185173555031,0.13172848136254717,0.033084569513683555,0.04636547345066366,0.25722842138504176,0.028639113478269623
1,2,15,0.02261261833546324,0.16752959755704683,0.04594724913810016,-0.1734639514686549,0.13338248041471745,0.049704730993260234,0.019171038696017773,0.1520042361243397,0.04582507963318939
2,2,15,0.08065432538026462,0.35492155442019835,0.029287717710792832,0.05922655707060431,0.30617282135953006,0.023204644702923584,0.09052020153385365,0.3624241377095741,0.029274728623851175
3,2,15,0.04955689371692584,0.28773863637062075,0.02768424912449742,0.014806185173555031,0.13172848136254717,0.033084569513683555,0.04636547345066366,0.25722842138504176,0.028639113478269623
4,2,15,0.0983891435152987,0.3677078575478515,0.034412037681537264,-0.06378119573564112,-0.02573138180163064,0.029493232011599084,0.07817240292921235,0.305200716268774,0.033905709249629545
5,2,15,0.04371207584826087,0.35561259496906256,0.02293230733043014,0.06012071699168697,0.33512276505220695,0.024812434761765506,0.050021463489792084,0.3536638063215579,0.024709119435592234
6,2,15,0.031216070590991518,0.27387396568014843,0.03987785698655455,0.08568877734536096,0.3239952267828002,0.03747781074167119,0.05406916328247846,0.3004851052117797,0.041521470036431356
7,2,15,0.04955689371692584,0.28773863637062075,0.02768424912449742,0.014806185173555031,0.13172848136254717,0.033084569513683555,0.04636547345066366,0.25722842138504176,0.028639113478269623
8,2,15,0.03389821595783249,0.19067350500828412,0.057247748312925326,0.055931661576753,0.24966174662256171,0.030025931198262634,0.03848662016027027,0.1985305034795001,0.052329583611699176
9,2,15,0.06528251780605088,0.27119124318075793,0.033788820735215885,-0.1068022836015432,0.020728409458654153,0.030145128721437937,0.04939686455995029,0.23020884743102216,0.032590033649959375
10,2,15,0.10581695236663735,0.401843166701725,0.02802102494304736,-0.05367498653166791,0.11892059762968062,0.03619279925849613,0.0837063372843585,0.32959191142805133,0.0300247410389099
11,2,15,0.06528251780605088,0.27119124318075793,0.033788820735215885,-0.1068022836015432,0.020728409458654153,0.030145128721437937,0.04939686455995029,0.23020884743102216,0.032590033649959375
12,2,15,0.04884826295638567,0.30131667621882474,0.029243037419719203,-0.0026361219743413766,0.09276000903938815,0.024677596232049074,0.047521912713563874,0.2668553503778914,0.02853387745678249
13,2,15,0.058857672020179996,0.2516664309960001,0.06754360632703117,-0.0810185761312241,-0.08636898404202095,0.034292931915976786,0.040595718891625054,0.20734227239696593,0.06086688441682172
14,2,15,0.10987666064483914,0.4793021563843909,0.019603234228728603,0.006326111095785958,0.23942869123940777,0.03484650657776017,0.09913943559983096,0.43585304747960824,0.021882333625763594
15,2,15,0.07668693311244967,0.3540754965161109,0.026710618390752415,-0.007243473146101298,0.27217907492353277,0.055805118871908095,0.06903068738115103,0.33837814769578467,0.029756946456797374
16,2,15,0.05933727924024723,0.2769780056506857,0.02317017932408456,-0.14903779692727714,0.181542732565783,0.03834963926055899,0.05363448733203957,0.2513592453777409,0.024507874077549886
17,2,15,0.058857672020179996,0.2516664309960001,0.06754360632703117,-0.0810185761312241,-0.08636898404202095,0.034292931915976786,0.040595718891625054,0.20734227239696593,0.06086688441682172
18,2,15,-0.025229057986413173,0.16035342728171173,0.041800035250415375,-0.00870916761266538,0.1077969609241152,0.028416005028626443,0.019941645315770695,0.1949615421419479,0.03966186493995658
19,2,15,0.04371207584826087,0.35561259496906256,0.02293230733043014,0.06012071699168697,0.33512276505220695,0.024812434761765506,0.050021463489792084,0.3536638063215579,0.024709119435592234
20,2,15,0.04955689371692584,0.28773863637062075,0.02768424912449742,0.014806185173555031,0.13172848136254717,0.033084569513683555,0.04636547345066366,0.25722842138504176,0.028639113478269623
21,2,15,0.03389821595783249,0.19067350500828412,0.057247748312925326,0.055931661576753,0.24966174662256171,0.030025931198262634,0.03848662016027027,0.1985305034795001,0.052329583611699176
22,2,15,0.012409234316449913,0.17342148606309768,0.04685043938319818,-0.02884134568671426,0.08470354239426735,0.04693052990678765,0.01582961320383458,0.1569490799312678,0.046341338118389516
23,2,15,0.058857672020179996,0.2516664309960001,0.06754360632703117,-0.0810185761312241,-0.08636898404202095,0.034292931915976786,0.040595718891625054,0.20734227239696593,0.06086688441682172
24,2,15,0.058857672020179996,0.2516664309960001,0.06754360632703117,-0.0810185761312241,-0.08636898404202095,0.034292931915976786,0.040595718891625054,0.20734227239696593,0.06086688441682172
25,2,15,0.05967848290229405,0.2849632015147235,0.03581506296509231,0.010465005369517999,0.32345306424855047,0.022360481743913346,0.0553072815048703,0.2944631054625821,0.033244011062074204
26,2,15,0.058857672020179996,0.2516664309960001,0.06754360632703117,-0.0810185761312241,-0.08636898404202095,0.034292931915976786,0.040595718891625054,0.20734227239696593,0.06086688441682172
27,2,15,0.03270902320003255,0.19968618374305142,0.0381246910847105,-0.09766889252924904,0.09252453154077474,0.054125042339319446,0.02919218011681801,0.1746595472822284,0.0397955737744029
28,2,15,0.07668693311244967,0.3540754965161109,0.026710618390752415,-0.007243473146101298,0.27217907492353277,0.055805118871908095,0.06903068738115103,0.33837814769578467,0.029756946456797374
29,2,15,-0.021833714171741514,0.11725774982024639,0.05673971707801147,-0.01608649245137772,0.06943910165967328,0.04167585630872916,-0.013083539446218095,0.11253426809598167,0.05355839481737263
