rank,feature_index,feature,coef_std,abscoef_std,cluster_root,cluster_size
1,57,thetao W60p0 EOF8 lag5,-0.03827119283943123,0.03827119283943123,57,1
2,1447,so W60p0 EOF8 lag14,0.036295018700542685,0.036295018700542685,1447,1
3,1838,so W30p0 EOF9 lag1,-0.03455309580740197,0.03455309580740197,1838,1
4,1297,thetao W10p0 EOF8 lag25,-0.03313463795177123,0.03313463795177123,1297,1
5,1769,so W40p0 EOF10 lag20,-0.03241009066268824,0.03241009066268824,1769,1
6,1423,so W60p0 EOF4 lag12,-0.03220123698182726,0.03220123698182726,1423,1
7,2591,so W10p0 EOF2 lag25,0.031190917704912963,0.031190917704912963,2591,1
8,1019,thetao W20p0 EOF10 lag23,0.02976272077656267,0.02976272077656267,1019,1
9,1177,thetao W10p0 EOF8 lag13,0.029659205286497167,0.029659205286497167,1177,1
10,1828,so W30p0 EOF9 lag0,-0.029616130903793923,0.029616130903793923,1828,1
11,38,thetao W60p0 EOF9 lag3,0.029286084802049132,0.029286084802049132,38,1
12,1794,so W40p0 EOF5 lag23,-0.029068045872960458,0.029068045872960458,1794,1
