K,r2,corr,var_ratio
1,0.0006351677585201276,0.03866016635899878,0.004620789140665795
2,-0.0024203368535946623,0.03730693606888067,0.009810803992363202
3,-0.010756924490257447,0.01969521433707956,0.015691138395329263
5,0.002634878898103432,0.08183782684953914,0.021192364014557073
8,0.007980605876874769,0.11047087073389927,0.03078518798500362
10,0.012971660418040765,0.1267852732247797,0.0333020393914711
12,0.030531567520297065,0.17608559540262186,0.03915262091577312
15,0.02623375751607737,0.16649642428874512,0.042050415451657434
20,0.02987773598580179,0.17915650925840593,0.051196375115103936
30,0.02686314695679215,0.1773167591396,0.06001437674882882
50,0.008547973425139133,0.15362234313172515,0.07634629469993176
80,0.020567443009865016,0.19136556662305415,0.1011668304191756
120,0.0073863576887126525,0.177438052084372,0.11067136206021813
