rank,feature_index,feature,coef_std,abscoef_std,cluster_size,cluster_root
1,265,thetao W40p0 EOF6 lag0,-0.0977826741740806,0.0977826741740806,1,265
2,262,thetao W40p0 EOF3 lag0,0.0818338188907397,0.0818338188907397,1,262
3,521,thetao W30p0 EOF2 lag0,-0.0751873486771455,0.0751873486771455,1,521
4,1828,so W30p0 EOF9 lag0,0.0729051994524921,0.0729051994524921,1,1828
5,7,thetao W60p0 EOF8 lag0,-0.0712898782644947,0.0712898782644947,1,7
6,1560,so W40p0 EOF1 lag0,0.0693516578945063,0.0693516578945063,1,1560
7,275,thetao W40p0 EOF6 lag1,0.0651020257184223,0.0651020257184223,1,275
8,6,thetao W60p0 EOF7 lag0,-0.0638556509981181,0.0638556509981181,1,6
9,1563,so W40p0 EOF4 lag0,0.0630548354986724,0.0630548354986724,1,1563
10,529,thetao W30p0 EOF10 lag0,-0.0595499415454801,0.0595499415454801,1,529
11,2088,so W20p0 EOF9 lag0,0.0590292638679291,0.0590292638679291,1,2088
12,1309,so W60p0 EOF10 lag0,0.0575461532638517,0.0575461532638517,1,1309
13,788,thetao W20p0 EOF9 lag0,-0.0567043046471536,0.0567043046471536,1,788
14,1307,so W60p0 EOF8 lag0,0.0545459701899961,0.0545459701899961,1,1307
15,1318,so W60p0 EOF9 lag1,0.0512037023683234,0.0512037023683234,1,1318
16,525,thetao W30p0 EOF6 lag0,0.0511088661735052,0.0511088661735052,1,525
17,1302,so W60p0 EOF3 lag0,0.0503792990624731,0.0503792990624731,1,1302
18,527,thetao W30p0 EOF8 lag0,-0.0501212195342161,0.0501212195342161,1,527
19,520,thetao W30p0 EOF1 lag0,0.0487378314222604,0.0487378314222604,1,520
20,528,thetao W30p0 EOF9 lag0,-0.0476996383371695,0.0476996383371695,1,528
