repeat,n_holdout_members,K,A_trainYears_r2,A_trainYears_corr,A_trainYears_var,B_testYears_r2,B_testYears_corr,B_testYears_var,C_allYears_r2,C_allYears_corr,C_allYears_var
0,8,15,0.5062876575836399,0.7534971142705854,0.2958948672350677,0.39699383824869117,0.6606932603532162,0.4204576792274637,0.49186713296220275,0.7376190967026999,0.3123682626533114
1,8,15,0.5361898597336516,0.742763359039229,0.382939958309771,0.39170916863885485,0.6543627395305284,0.3626428894475845,0.5251387758701657,0.7354166098394825,0.3793484420416159
2,8,15,0.5476435045491306,0.7588403862313645,0.3708250739559057,0.5335011227496004,0.748843778901352,0.34422938025537453,0.5532609939262672,0.7619016975122335,0.3686887409497768
3,8,15,0.5242130396141409,0.7454205962890662,0.34288097241906806,0.38744064661162314,0.6764104476468374,0.4497078825647801,0.5127719284423111,0.7372643500372148,0.3560890004447901
4,8,15,0.5756792022474717,0.7708893055583316,0.40451432328312414,0.5492173581470267,0.7524832056259584,0.38900503210676596,0.5716375983120506,0.7678413829272832,0.40264909265190874
5,8,15,0.6117022011653237,0.7930958057181046,0.4575453512706035,0.5138424269351949,0.7250843587282119,0.3998974361164692,0.596523589833299,0.7828527204462167,0.44899899696141277
6,8,15,0.5922125800245241,0.7976833050973798,0.3767864652405329,0.3400140593716665,0.6172303197396306,0.3680619365046794,0.559394190694246,0.7739746614453777,0.37544838419310733
7,8,15,0.5244945504954404,0.7636792356771154,0.33807763477381364,0.52389146245183,0.7462241828580819,0.387664593939171,0.5258524528348001,0.7619122616396417,0.3444612172597984
8,8,15,0.5144865737382973,0.7305454094539426,0.3519608736209306,0.46938268437135044,0.690248541337641,0.588609495675003,0.5098250645430809,0.7218730338469832,0.3798143808839733
9,8,15,0.5781635665985316,0.7860976637068974,0.41521772350628094,0.4913942425869279,0.7252167612833242,0.43460366216938606,0.567205926060362,0.7782149320877948,0.41780885823266456
10,8,15,0.5572586460195265,0.7656594451769702,0.3889097866446732,0.5231365776180571,0.7335108603208544,0.46522322182642606,0.5529140794196792,0.7607628252872614,0.3993882938942206
11,8,15,0.5869989123695781,0.7881601907071363,0.4506058547894433,0.5145791845024841,0.7313898764659552,0.3556704201510289,0.5824512507191169,0.783049623541872,0.43599412547130845
12,8,15,0.5422919359174962,0.7668450121466441,0.353890205584696,0.3902246044441463,0.6503757064798252,0.4771841263246769,0.5292802592380507,0.7542726678860388,0.3666336240384396
13,8,15,0.5074624926850049,0.7401586503550586,0.358073473958401,0.3257935790277773,0.6553910210683295,0.3868382527023882,0.48292641748650766,0.7263872536816904,0.36131202634490334
14,8,15,0.5371977999121845,0.7985380147004338,0.3606163201909397,0.5177646544691541,0.7655874942832009,0.5411334326882028,0.5346758400675816,0.7911221926646869,0.3844344224067938
15,8,15,0.585448120075237,0.7849805598749382,0.37174099703409463,0.3651978318468062,0.626882280121078,0.41737103772376344,0.568047898272986,0.7698487760210634,0.3771953645944134
16,8,15,0.6009745279191754,0.801744723005984,0.3626525754021235,0.4812540549690256,0.706428944691035,0.33677763999517735,0.5853838939096403,0.7891278442029452,0.3612836933480879
17,8,15,0.5517793284031833,0.770596632398402,0.3409714098186683,0.34731336144290326,0.6666605281672044,0.5576103604125228,0.538426061486853,0.7587456022527643,0.3619680877895149
18,8,15,0.5517355005992821,0.7671056901923197,0.4514342876638053,0.5607965560919572,0.766232446287743,0.3996567872391583,0.553762744741927,0.7665127365399287,0.44233098936201476
19,8,15,0.6045246959309166,0.7983010452623173,0.38139143039228723,0.665181180228942,0.8453800356699791,0.4078743775908938,0.6148378689311058,0.8052419272310263,0.388563927845681
20,8,15,0.5712475972222552,0.7757937284236873,0.37570160820896276,0.35559441610839604,0.6019603769115847,0.4652378385171541,0.5508447637914948,0.7557236419457949,0.3910619940861689
21,8,15,0.4368805827503609,0.782738858836294,0.38167094162993304,0.465160146251008,0.7372845295063575,0.5554638080761789,0.45211631664204976,0.7784896417722622,0.40190685733860243
22,8,15,0.5264579825949203,0.7687557678494027,0.3642526151717181,0.3403140555917038,0.6159676883996449,0.31542361727616747,0.5039382395411708,0.7504354020773532,0.3603971180946821
23,8,15,0.5490723795964676,0.7795730755192409,0.3830097537993396,0.4273106908838187,0.6865523344005581,0.39648424893271605,0.5288627966872363,0.7637110016560349,0.3860941531618807
24,8,15,0.551764858945339,0.7721516067895723,0.3261159152992267,0.48881796192669,0.7232737625233473,0.30511180135421256,0.5439880068381211,0.7657634596239521,0.3251337069187829
25,8,15,0.545961293519752,0.7670090049828772,0.394114376580874,0.49810029808236855,0.7359899069855006,0.3470611694451497,0.5402183721156084,0.7629866391757073,0.38975623860280245
26,8,15,0.5330089707097541,0.744971981881121,0.44191455407495606,0.6354733558288606,0.8291368322562658,0.3696947861619719,0.5516766480907722,0.7582795731850929,0.42876184624981534
27,8,15,0.47991206537946496,0.7219898837152833,0.3556539488938327,0.507367778232827,0.7335643480796116,0.42277432655197655,0.48890555755354626,0.7267300984153306,0.368550687684181
28,8,15,0.593079006537608,0.7947698774293263,0.3610714693113497,0.5317941135064377,0.7359439648999325,0.4115902730451734,0.5850627562146982,0.7860803377857959,0.36907592395662375
29,8,15,0.5603981527438271,0.7779680118257433,0.3407686620900655,0.5174058182217992,0.7364452179515876,0.370277308634774,0.5550896420039231,0.7721302027821534,0.3461147036525657
